start	end	text
1002	2363	Yes.
3243	6385	So this is the first of Wealsun.
7526	18692	Jude has just been escorted from the small fishing village of, I think it's, what is it called?
18712	23235	I'm not sure what it's called.
23995	24115	Eram.
24135	25396	No, it's Enrar.
28408	31211	To the gates of Monmurg, right?
31731	40980	Now, you got off the boat probably around 10 and he saw you and you went to him and he basically said, I'll take you to Monmurg's Gate.
41400	42661	And that's where you are right now.
42901	51950	And if I remember correctly, you were basically saying to him, I want you to come in and talk to Lord Jamis and tell him what you've seen.
53905	64934	Is it too late to have maybe asked if I need to get a hold of Olin Black from NRAR, if I need his services at all?
64974	69137	Is it too late to try to see if there's, you know, do I place up a flag over the end?
70038	70518	What do you mean?
71479	79705	I mean like if, like I know he didn't really come to shore, but if I need to, if I need to go back or if I need to, you know, his services,
84961	89067	He didn't really seem like he was gonna be contactable.
90168	91250	Right, once he dropped me off.
91270	99702	That was my impression, but I wasn't sure because we did have that exchange where when he asked me if I was familiar and I'd mention that it was probably because he might know.
105914	109839	You know, I told him, I said if you find them, she was looking for him.
110419	114064	He said that if I found them, to remind them.
114564	115185	The captain.
116627	119010	That he was available for duty, basically.
122326	124067	Like the captain meeting counts, right?
124167	125408	Yeah, exactly.
126109	127810	Okay, but no real way.
127870	131693	I mean, he kind of dropped us off practically right off the beach in the surf.
131933	132653	Pretty much.
132693	139978	I mean, he took you aboard on a longboat, and you wanted to be as close to the village as you could, and people saw you get off, right?
140358	142260	So they knew that.
144392	144672	Anyway.
144732	145012	All right.
145272	145472	Yeah.
145492	148453	So I would like, what is this, the young person's name that's with me?
148553	152215	Is it the son of the Tanner or is it the Tanner himself?
152255	153455	No, it's Tanner himself.
154075	154335	Okay.
154836	154996	Right.
155016	155216	All right.
155236	155516	Yeah.
155716	157416	I would like him to actually come in.
158897	159137	Okay.
159177	161558	So what do you say to him?
162498	167160	I am happy to come with Costa to stay with your cart.
168160	173642	I have somebody that I would like you to talk to and to communicate what you told me.
174703	175704	And who is this person?
177865	179786	Someone that it might be beneficial for you to know.
180766	183148	Uh, Lord Jamis.
184328	185449	Ah, I see.
185469	189031	Is that acceptable for you?
189731	191672	Well here, let's walk to the gates.
193693	193813	Okay.
194274	200637	Uh, what was there, is there a card that we need to, probably we don't need to take this card in, but if we need to stable this card or something like that.
200857	202338	We'll see if we can get in the walls.
204720	206742	Are they fortified?
207743	210585	Well, I mean, the gates are actually open, but there are guards there.
211326	211566	Okay.
213587	221894	Okay, so you guys get off the cart, and you and the Tanners, you don't really know.
222035	223276	He hasn't really given it to you.
225277	229721	How might I introduce you to Lord Seamus, should he give his audience?
233328	240274	I think that he should know the town I'm from, and I'll give my name to him if I feel comfortable.
241215	245439	Is Ensar at odds with Monmurg?
245519	246359	Oh, no, no, no.
246399	247300	Of course not.
247600	249522	It's in the Sea Principalities.
251104	252105	Of course, yes, of course.
252125	256789	I wasn't sure if there was something... We know Prince Jeon, and we...
259803	261004	Enjoy his protection.
261465	264167	So anyway, you and Horace get off the card, right?
265248	268051	And Horace asks you, Jude, should I bring the wine?
269052	270233	Yeah, of course.
271133	275417	Well, I mean, shit, how much stuff do we have to pack if I don't want to leave it on the card?
275537	277679	Well, basically you have that crate of wine.
279481	279781	Yeah.
280702	283965	Is there a dolly or something like that that we can rent?
286744	288944	In the stables, wherever we leave his cart.
289125	298666	So basically, Tanner says, I'm sure we can find a porter when we enter the city.
299747	299987	Yes.
300347	300547	Yes.
300707	301007	Please.
301267	301767	Please, Horace.
302147	302987	Bring the one.
303007	303267	Okay.
303647	308548	So Horace takes the one out the cart, and the three of you start walking into the front gates, right?
309129	309349	Yeah.
309409	312569	I'll shoulder my backpack with my clothes and stuff like that.
312989	313289	Okay.
313789	316010	Now, do you have your character up in Roll 20?
318252	319033	Not in World 20.
319113	320534	It never got posted back again.
320654	325596	So we discovered that I had been exiting the game and that that had jacked things up.
326057	327818	I stopped doing that when I log out.
328258	331620	I know how to log out now and not leave Journey of the Stone.
333221	334602	But we never did get it posted up.
334642	335442	I have a hard copy.
335502	336503	I see Jude here.
337183	337523	You do?
337844	342166	When I go to it, let's see the character sheet.
342246	344588	Is the character sheet the third icon in?
346043	352510	Okay, so there's character sheet, which is where I put the PDFs, and I see all three PDFs there.
353691	358396	I see marketplace purchases, there's premium assets, would it be in my library?
358576	361339	Okay, no, so you will need to look at the...
361739	363201	The journal.
363221	364062	No, not the journal.
365418	366679	Well, actually, no, the journal.
366699	368159	The third one over, right?
368219	368900	Yeah, third one over.
368940	372101	So, mine is blank, like, legit blank, straight up.
372241	375643	I see your character sheet, and I open it up, and I see your character sheet.
376223	378724	I see three PDFs.
378744	380705	I see historical information for Jude.
381145	382085	Let me do something.
382886	384086	This might be the problem.
387028	390109	This is, yeah, okay, so this might be the problem.
396992	398740	Okay, here we go.
430201	431202	Damn it, sorry about that.
432343	432884	You still there?
433765	434626	Yeah, I can hear you.
434726	435507	Can you hear me?
435527	436188	Yeah, I can hear you.
454302	459887	I think what happened is that when you reset it, the permissions on it reset as well.
461008	464351	And I just need to basically say you have access.
465912	478803	So I am showing the first PDF to you, which is your main character sheet.
479844	481545	Now I am showing the
487548	488688	Spell sheet to you.
490269	491370	I still don't see anything.
491390	492890	I might need to leave and then come back.
493490	494371	Yeah, try and do that.
494411	495211	Try and reconnect.
495951	496252	Okay.
513558	513839	Dang it.
514239	514979	You're not showing it.
516472	519293	And then let me actually try and get your character sheet.
520234	522635	And you are still Stephen W., right?
523875	525616	Yes, Stephen W., period.
526857	544885	The period after W. Okay, so... Now I'm doing the main character sheet, which I see you do not have, and I'll say can be controlled by...
548388	549310	Okay, try that.
549370	552576	But I've given you access to the character sheet.
579586	580106	There it is.
580186	580747	I see Jude.
581987	589171	Okay, let's go with that, and I'll add the permissions to the PDF because for some reason you can't see the character sheet folder.
590672	598036	Yeah, like all I see is Jude now, so I just see my name, but when I click on it, it's bio and info, but it's kind of blank.
598176	600878	I mean, like I don't see actually any writing at all.
601318	605160	Okay, so what you want to do is go over to where it says character sheet.
607341	608422	Oh, I don't even see that.
609095	611597	Up at the top.
613138	620564	Compendium, jukebox, collection, my settings, art library.
621405	624187	No, no, no, no, no.
625268	628030	Okay, you got your thing that says Jude, right?
628671	628871	Yeah.
629091	630052	And there's a plus sign.
630932	631133	Yeah.
631613	632253	Or minus sign.
632293	633815	You hit the plus sign, right?
634723	641849	And there should be a character sheet folder underneath there, a historical information for Jude folder, and then something that just says Jude.
642990	644851	All I see is the thing that says Jude.
645392	646453	Okay, you click on that.
646593	648414	It should pop open another window.
649015	652598	It does pop open another window, but that window is blank.
652638	654880	So I see bio and info, like a tab.
655500	656501	It says Jude at the top.
