start	end	text
1140	1381	Hey.
2442	5567	Hey, all right, cool.
5607	6348	All right, good.
6368	14762	All right, so I'm keenly aware that because of Horace's ties, especially some of his merchanting, that
17023	28532	That the offer, as where we left off, the offer of portage to the Sea Princes would be alluring, but I need to tread a little bit carefully with Horace, at least, because he's going to know what that means, right?
28572	33396	Now, it's not the collapse of Scant, but it is going to rival Scant.
33436	34117	Is that what you said?
35277	37359	Yeah, absolutely.
37499	44605	I mean, I think the thing is that what you would be offering to the Sea Principalities, if you wanted to use
46556	55119	Dean and Naree is basically no taxes, right?
55239	55900	Yeah, right.
56340	64843	And their investment, well, their investment to re-fortify and partially, I mean, be part of rebuilding
65717	66978	So here's the deal, though.
66998	69759	I mean, this is an important thing, right?
69799	72500	The Sea Principalities have lots of money.
72520	73461	Lots of money.
73501	73681	Right.
73761	75522	And a underdeveloped country like Idee...
95611	97113	Subtitles by the Amara.org community
121625	122685	Are not that scary.
122965	126706	I mean, they're not nearly as scary as Keoland, right?
126766	128447	Well, they're a bit of a paper tiger.
129547	132508	But they've got troops.
132808	133508	Yeah, exactly.
133708	134828	They're a paper tiger.
135609	141470	Idee is kind of a paper mouse, is the problem, right?
141950	143831	Especially after we got wiped out.
143991	148172	Idee lost a huge part of our population, which used to serve in our levees.
149309	154671	Then begun how to fight in the name of the Iron League and 4AD and now we don't have that.
156351	156851	Exactly.
157591	161893	And, you know, they're not nearly as rich as Irongate or Onwal.
162893	164853	They're very exposed, right?
165634	172055	But the one thing that the sea principalities are very good at, they have two things that they're very good at.
172515	177857	They've got a very good navy and they really know how to build.
179455	180475	Now, the deal is this.
180535	182856	They're not going to attack the South Province.
207403	208984	No, of course not.
209404	211045	They're not going to war with the South Province.
211386	220452	What they would do is fortify a port and give you a half-orc, right?
220472	220912	Give what?
221212	224755	Give you a half-orc for their troubles.
227253	230434	Well, I'd like maybe some money to hire mercenaries.
230454	231455	That would be awfully nice.
231535	234316	Well, yeah, I mean, that would be part of it.
234356	237898	I mean, definitely, if they fortified a place, they would want to put mercenaries there.
237918	241119	And if you said, we'll give you this and blah, blah, blah.
241139	249183	But really what it is, is they would literally, I mean, Jamis basically told Karmirg he had to leave.
250695	253077	Because of what he did, right?
253258	257782	He was banned from Monmurg for one year, and he was told he could never be a citizen of the city.
257802	258082	Right?
258142	259603	And so, if Jamis says to Karmirg,
278225	281546	You go help these guys and build a port.
281986	284347	Build a port for us.
285067	287347	Make this place a place for Monmurg.
288768	289748	You'll be a citizen.
291329	292309	That might work.
295710	297830	Except for I do need Karmirg in the field.
298951	303892	But what I also feel like is if we had mercenaries, so I, what my thoughts are is that
