start	end	text
711	13115	Evening on the 27th of Flocktime, Jude and Horace leave the castle of the Earl of Redshore and head back into town.
17596	18656	Well, what does he think, Horace?
21057	24158	Well, I don't know.
24198	25638	An interesting man, I guess.
27098	29379	It hearts a little bit to his man-at-arms.
30331	31752	I think it's an old family.
33152	39035	Yeah, I got the impression they were tied in with the Sules, the Suel.
40135	50660	Yes, apparently the Lord himself actually, some of his ancestors were, but I think they're holding on to greatness.
52301	58924	He seems quite irritated with me when I mentioned that the poor princess
59860	67604	The sequences, actually, especially Prince Jeon, wanted to stop slavery, but that it was Toli's.
68044	70206	He seemed irritated with that information.
72147	72907	That's interesting.
72967	73707	I'll see why.
73727	75728	Well, right.
76509	83232	It sounded to me when I talked to the Earl that the entire premise of this war was to abolish slavery.
83813	84853	So there is a war?
86054	87655	Yes, most definitely.
88651	99140	He spoke emphatically that the uh... that... that... that Ernst Jeon should take uh... Coraxon seriously.
101042	102883	I think that was great.
103284	113232	Well, it's well known that the um... the Kingdom of Keoland definitely looked unfavorably on slavery.
113993	116715	I look unfavorably on slavery, however...
117591	138196	What shocked me, well it didn't shock me, I took special note of, simply, was just that by his language when I talked with him alone it just seemed that he wanted to deal with the poor princes specifically, you know, Jeanne and the princess of Tips and the other poor princes.
138856	146638	And he said then they would deal with Toli, but it almost sounded like he wanted to eradicate the poor princes.
152239	165162	I know a little about the politics of the sea pressures.
165602	167243	Jude, you must inform me.
168063	169003	What are your thoughts here?
170184	175645	My understanding is that, especially, I think that, alright, I've been
176768	193174	In some considerable contact, as you might know after a year of hanging with Conmurg and perhaps with myself, we had worked under Lord Seamus, who is tied in greatly with Prince Jeon.
194235	206099	And my understanding, just personally so, is that especially Prince Jeon, the other princes have made more money since they've stopped pirating.
206451	208872	And began in trade.
210133	222418	And that they also kind of consider slavery to be somewhat onerous and unnecessary as the political ones are now gained through trade and dominance of trade rights.
224299	231082	But the polies still have a scramble hold on slavery from the jungles in the south.
233683	234564	Well, in the south,
236002	241285	Not the Prince of Monmurg, powerful enough to stop this crisis?
242245	244466	I am uncertain.
244486	245987	Am I certain?
246087	258753	Especially when I am uncertain of after seeing this, what hate is why Prince Siena and the Prince was tolerated abroad with any kind and not sally forth and burdened.
259674	261094	That's what troubles me too.
261154	262335	From what I understand,
262990	265811	The Prince of Monmurg and his fleet is powerful.
266271	270832	Probably the most powerful on the Azure Sea, if not in this little day.
270852	271872	Right.
272353	275974	So, I am equally shocked.
276574	280575	And the way the Bureau of Dreadshore proclaims it is there's a state of war.
280795	284976	It's not just simply embargo of certain stocks, trade stocks.
285356	288437	It's brought out kind of cool non-embargo because of war.
289686	290587	What are we to do?
290647	295871	Are we going to stay in this little fishing village?
296592	297452	No, of course not.
298193	299214	We've got two options.
299334	304858	The first is that you and I discussed before we left the ship.
306159	314346	I explained to the Earl that I was an envoy from Medhi, which very much so I am, that I was seeking
315223	335720	He asked if I held any influence to sway over anybody, and I said simply that I would be a treaty with Laura Jamis, who is over the poor, in the same way that I gained audience with the Earl.
335740	339443	I would hope to gain audience with Jamis.
339584	341365	As you can tell, I love the influence.
343335	366870	And in my discussion with him, he suggested that I should look for one individual, Owen Black, who it seems understands the photographs of both and is somewhat of a smuggling, I assume, would be premature to Europe.
367630	370452	Perhaps even higher than Europe.
372203	393568	So, we are seeking now from this other block, and most of my understanding, if we head to any of the named Hugs, then perhaps ask, or if there's a little bit of a coin, we could probably find out who he is.
394851	404736	Although I'm sure I am worried about bringing an assassin to old Seamus's very kill steps, so I'm not entirely sure if we do get a smuggler to guide us through.
406217	421185	I still think that if the merchants want to go, if you take the smuggler, if he agrees, on our ship, pay the loot, and have him guide the loot through the lines.
421886	423847	However, once we're Monmurg, I
424728	443694	Well, I mean, do you think the man would need to have even an acquaintance with Lord Janus?
443934	451896	What I'm worried about is that we go to the Earl of Red Shorts Nightman and that he kills us and takes whatever money you have.
455018	455778	Possibly.
456138	457599	Um, Knight Man?
457779	458539	What is the Knight Man?
459020	460120	Knife Man?
460320	461581	Oh, Knight.
463741	469544	Well, it seems like he could have thrown us in the dungeon from here as he...
470084	475626	This is true enough, and probably if he wanted to, taken everything on our ship as well.
476306	478147	Why is it that they gave you this information?
480676	493481	I simply entreated with him as Olemicum Idee, and when he asked who I would entreat with in Monmurg, and I said Lord Jamis was being over the Quorum Quarter, I think he was trying to enlist me as a spy.
494362	503245	He said that he would pay handsomely for any information or insight into the mind of Lord Jamis, and by extension, Prince Jeon.
503926	506747	And furthermore, he seemed to intimate that
507433	512074	Keoland would be better allied with Keoland than the Sea Princess.
512654	517555	However, that was after in our conversation.
517835	523956	In the beginning part of our conversation, he actually said that he was born when I told him about the war over the last year in Edithi.
525076	528357	So, I think that he wants to simply...
529477	533638	I think he sees me as an ugly rule.
533698	535338	Either that or an opportunist.
536007	537388	Maybe perhaps both.
537868	539369	He's an opportunist.
540590	542471	Ah, so I think I see what he's doing now.
543292	544893	Basically, you are a long shot.
547735	558842	Aye, but that would assume that they're having some troubles, and apparently the Sea Princess haven't found a report, which yet, as you admitted, is a huge mystery to both of us.
560202	567208	I think that we have to see a port of Monmurg for ourselves, and I approach that with some trepidation.
567928	576355	If they have troubles, we will see those troubles with dark sails in the harbor.
576775	577716	It's my suspicion.
580939	583721	Well, do you trust with someone black?
583761	588565	Do you trust this suggestion, or is there some other course you'd like to take?
591037	608321	Well, as I see it, we either head back to the Loot and press upon the entrance to swing around the wild seas around Chetton Island and try to approach Monomer and go south and hoping that there's no blockade in the lower bay.
610541	618583	Or we slay Lord Dredshore's camp and perhaps see where it might unfold.
618683	619543	I'm sentenced to
620735	625596	Engage this old and black and find out.
626456	634938	Well, there's no trouble, I mean, there's no risk in meeting the man, I assume, or at least a little.
637758	639919	Well, um...
639959	645020	It is as you said, if the Earl wanted to do us harm, he would have done it to us in his own castle.
645800	647120	I think he could have used it to us.
650508	653329	The ship's captain to complain.
656190	662373	Yes, and as of yet, I think none know my capabilities.
663673	671517	So we might, should things go south, you know, present a difficult quarry.
674678	675098	True.
675798	678299	As long as you keep a knife from the knife.
678779	679940	I'll cover your back, Jude.
681993	686632	I think I can inflame anything for a crop.
687925	700970	All right, so we go to probably, I'm guessing, one of the finer establishments on the beach, or at least one of the ones with slightly more luxurious company.
701390	706632	Yes, so you travel back to the city through the night, right?
706652	715755	And reach the outskirts of the town, which is, you know, as I've said before, obviously a fishing slash whaling town.
717255	721437	With, you know, little use for deep docks for trading.
722278	735864	And again, you shake your head as to wondering why somebody would think that this would match the docks of Monmurg, which are at least 20 times greater in both their efficiency and their size.
737184	744808	And you're like, wow, these toy ships probably would already have been unloaded in their cargo in the great market.
745563	746524	In just a day.
747484	748665	Yeah, absolutely.
751207	758431	Anyway, you walk into town, and do you want to walk alongside the shoreline, or what do you want?
758951	767697	I'd like to go inland a little bit more where I can see where you'd said that there were a lot of temporary places that are along the shoreline.
768157	770879	I'd like to see if there's more established a tavern, a bar,
772590	775332	In which place to maybe find a smuggler?
776692	786076	Well, I mean, what it is is kind of strange because along the shoreline there are like obviously places like fish markets, stuff like that, right?
787317	793400	But many of them have kind of been converted into makeshift open-air inns.
796261	798502	And it just seems like any old
799480	811408	Merchants or, you know, wogues can put a keg of ale down on the beach and sell it for whatever he wants.
811468	817572	And they're like parties of people sitting around at night because there are keggers.
818512	831163	Basically like teggers, with people charging you money for teggers, or even merchants just walking up and down the beach with, you know, carts with barrels of ale and so on, right?
831483	832263	Okay.
832323	846275	Will across one of the merchants that the, perhaps like maybe some wine or something like, you know, smell like vodka, and he tried to purchase on him
846986	849548	And make an inquiry about Stone Black.
849849	852671	Okay, so you go up to one of the merchants, right?
853272	855634	Just randomly, or is there any kind of look you want?
857676	859077	I would like a little bit...
865350	866331	Maybe a little bit well off.
867011	873836	Mostly because since I'm dressed nicer myself, not like super noble-ish, but, you know, I'm wearing some silts and shit.
874337	877999	So I'll approach somebody that would seem like it'd be normal for me to approach.
878119	880221	Okay, so there's a guy that's kind of a cart.
881281	895030	And he looks, what I would say is he's definitely a radian, but he looks, his clothing and dress are a little bit different than what the Red Shoreians are wearing, right?
895371	898713	They wear very drab, kind of looking clothes.
899033	902676	This guy has a little bit more finery, right?
902916	910721	And he has actually two guards by his cart that seem well on, wearing breastplates and, you know, with swords on them.
911355	914317	You have some libations, sir.
914997	918340	He looks at you and he says, quite certainly.
918380	919641	What would you like, my friend?
920921	925645	I have yellow wine from the Stendrip Isles, if that interests you.
926705	928166	You look like a man of means.
930308	931689	Most certainly.
932609	940815	I have recently come across from the eastern shores of the Azure, something from the west, something
941547	942968	Global, but still exclusively.
943668	944649	From the West.
945129	948111	Well, the Stindra and Weals are from the East, my friend.
948631	949952	But please, try this.
950532	961899	And he goes over to a very small keg and puts a little bit of a yellow liquid in a crystal glass and says, taste it.
962079	963040	Very refreshing.
963800	965001	It's called Chardonnay.
968431	977217	I give it a sniff and hand that glass over to another one for myself, please.
977397	979338	Would you like your entire glass, my friend?
980539	982460	It's a silver coin per glass.
983361	985402	Oh, yes, most certainly.
985422	986363	Here's a few silvers.
987464	993027	Absolutely, unless he pours two of them and he goes, I must say you are my most discerning customer.
993067	995189	He gives you music glass and says,
996127	1000896	You'd be surprised what these foolish yokels think or drink here.
1001497	1004322	I must say, Cullen Moore is the most cursed lamb.
1006306	1007328	Hmm, Cullen.
1008178	1011139	I have never been here before to be fair.
1011259	1016362	I'm surprised that our ship was that loaded to Red Shore.
1016442	1018162	Quite the surprise, quite the surprise.
1018222	1018883	Me as well.
1018963	1023064	If I was in Monmurg, I'd be selling my wares right and left.
1023124	1025065	Unfortunately, it was forced to stop here.
1025385	1029067	I thought I would at least try to make a little money as I were here.
1029107	1035750	Unfortunately, these Luffians would drink fermented fish water if they could get their hands on it.
1038171	1041893	She's done in some mare's milk.
1042053	1042833	Very much so.
1043474	1044354	They're not dwarves.
1044374	1045715	They're not that bad.
1047335	1058941	You know, myself, I had brought some of the finest wine from Céline as a gift for one of my friends in Monmurg, but it seems like that too, so I'm not yet friends with that.
1058961	1059721	Are you a merchant?
1061730	1070116	Nay, nay, I'm an ambassador from the, the, uh, that embattled countries, the, well, country of the Iron League.
1070156	1073238	It seems like they have lost some of their allies in the Iron League.
1073838	1078502	Oh, I've heard some rumor of the puddle wave that ravaged that post.
1079202	1081804	No, much, much more, super-local.
1082444	1089009	Only, uh, surpassed by the prison of the South Province and was opportunistic.
1090891	1095376	I apologize for the troubles that your nation has endured.
1095396	1100240	I ask, what did you come this side of the world for?
1100260	1109670	Oh, two and three, of course, but the sequence is set for money and funds and some investment or interest that they might have.
1110662	1115823	Ah, this tribulations follow you, my friend.
1116163	1123485	Idean ruins and now this cursed war between the three principalities in Keoland.
1124485	1129946	I, I, this war, there's nothing other ways to describe it.
1130187	1136508	And yet Monmurg, please, does not sally forth and destroy the Keolandish
1137986	1148008	Yeah, and I look around, those just respect to any field language that might keep us in hearing, but I'm surprised that there's been no mention of any resistance from the sea princes.
1148568	1149969	This is my mind, too.
1149989	1159531	And I'll tell you, I've been here a week, seeing that this cursed war would lift, and the Monmurgans would sally forth, as you say, and yet they have not.
1160151	1162551	I don't know how much longer I can wait myself.
