start	end	text
1792	3193	Second of Wealsun.
6055	8036	Jude at Lord Jamis' office.
8076	15340	They had just had a discussion and he had basically suggested there were several things he wanted Jude to look into.
15360	22724	Okay, so do you have any other questions for him or do you want to clarify anything?
22744	25366	What I wanted to double check is he gave me that ring.
26465	28765	And did you ever determine what that ring was?
28845	30546	I think I thought it was invisibility.
30566	31926	Do you know, is it lesser or greater?
32326	33206	Or do you know yet?
35907	36447	Uh, yeah.
36487	38387	The ring of invisibility he took from you?
39387	39627	Yeah.
41588	42868	He was talking about giving it back.
42908	45668	He said he kind of opened up a drawer and all that.
47549	47829	Yes.
48209	55910	So, obviously we have to, um, modify these for the 5e rule, right?
56493	57113	Mm-hmm.
57133	66839	Right.
66939	71241	For me, what I'd like to know mostly is, is it, like, limited charges?
71401	73983	Is it greater or lesser invisibility?
74103	75804	It is a ring of invisibility.
75844	77445	It's just normal invisibility.
77745	79626	It's not greater, right?
79726	82608	But while you're wearing it, you can turn invisible as an action.
83048	84709	So there are no charges involved.
86035	96162	However, if you attack or whatever, you lose that invisibility.
96543	99825	You can also use a bonus action to become visible again.
100105	110993	Okay, so if I, just hypothetically, if I was in combat with it, if I want to, I can't become invisible with a bonus action, right?
111799	113961	No, that takes, that's an action.
113981	115662	That takes a full action, okay.
115702	115962	Yes.
116142	117623	So, all right, gotcha.
118684	118984	Okay.
119344	122046	Yeah, I think I understand how to make that work.
122967	124868	Okay, let me do something really fast.
129131	130972	Spell-wise, is it just gonna be verbal?
131072	134594	Like, to initiate it?
135035	135555	What do you mean?
136616	138497	Like, I just say a word, and I become invisible.
138577	139878	I just wanna make sure I don't have, like,
141210	141671	No, no, no.
141731	145752	There is no... You don't have to say or do anything.
145812	149914	Basically, it's like you put on the ring or you turn the ring on your finger.
151075	151835	Right?
152055	154076	So there's no word.
154656	155657	It just takes an action.
163131	170255	The other thing is I want to make sure, Jameson had said, just to clarify with you, that I have access to funds.
170456	179661	He gave me sort of access to, or at least I could ask for, I can't remember what our code name was, but for the torturer.
179921	180962	One thumb.
181142	182883	One thumb.
185584	189547	But he also said something about securing our own food.
190768	192649	He said he couldn't be able to provide food.
193149	203813	Now, that's fine, but what I'm wondering is, is the state of the city, at least, when it comes to the... Now, what he said to you was he could not provide you good food.
203833	205974	Oh, good food.
206374	216058	Right, he said, you know, I can give you things like grain or oatmeal or whatever, right, but he's not going to be able to give you...
219239	220681	Quality, basically.
220821	231296	You're not gonna starve when you're under his care unless things get really bad, but you're not gonna eat well, is what he was saying.
232035	233175	Okay.
234376	238077	And he understands that I'll be operating largely out of thirds, correctly?
238678	238998	Correct?
239018	244340	I mean, so he understands that that will be sort of the base of operations for me, if he needs to get in touch with me.
244640	256125	Yeah, he basically, you know he knows where your haunt was in the old days, and he expects you probably to go back there.
256465	258746	And if he needs to find you, if you're anywhere in the...
260167	261389	Well, in the city, pretty much.
261409	264316	I mean, he's got spies everywhere, right?
266401	267103	Well, so...
269293	276097	As I'm moving through, did he clarify a little bit more on what he would like me to try to discern?
276257	278658	I know that I'm supposed to meet that other person of his.
278718	282481	He's not sure he can trust her completely.
