start	end	text
1650	1930	Alright.
3631	4092	Jude.
4272	5513	What was Jude's last name?
7074	8835	You know, I never had one.
9775	10996	Jude the Mysterious.
14098	22043	Someday, in the middle of the month of flock time, in the 576th year of the Common Error,
26385	49424	Jude, returning from Idee to Monmurg to try and find his friends, well, associates anyway, Gouge and Karmirg, who had abandoned him on Ogmotton and Celeborn Landroval to their fates.
50954	53835	In Idee and the southern province.
54716	58117	He's on a mission to try and get Karmirg to come back.
58537	64379	He doesn't really care about Gouge because Gouge doesn't really care about any of those people.
66720	70882	To assist in the war in the southern provinces.
72242	73283	Okay, so.
76110	83152	You've taken a ship with your henchman, and I think, if I remember correctly, your henchman was called Horace Boltpate?
85353	85853	Uh, I like it.
86333	87133	Do you remember this name?
87153	89674	Uh, I remember Horace.
90434	90714	Yes.
90994	95736	So, Horace Boltpate was a guy that actually hung out with you many times.
96896	100517	And he hung out with Celeborn too, and he went through some weird times.
101698	106180	Right, but he was the guy you guys hooked up with in Greyhawk.
108081	110101	And, do you remember this?
111002	111982	Yeah, no, I totally do.
112342	123447	Okay, and from what you understand, you were never a part of this part of the adventure, but there was some strange necromancy involved.
125448	130850	And in fact, your companions, basically on Loth-Ug-Motn,
132593	138476	Was a little freaked out by Horace because he said he was killed at one point.
138897	140778	Anyway, he's with him now.
140798	142579	Okay.
142819	147922	But there's nothing that's ever made me think that somehow he was undead or anything.
150563	150863	Well...
153645	158748	He definitely wasn't like... What's his face?
159088	161209	Like the Revenant?
161229	161870	Vladnag.
165682	167563	That's kind of your bar, right?
167643	169264	So you're okay with it, right?
169905	171506	Well, I'm totally fine.
171746	176930	But let me know if he's off to pursue some vengeance trip, even if he does look and smell better.
178338	178598	Yes.
178778	182321	Well, he does definitely look and smell better than Karmirg.
182902	185524	So that's another bar that you have.
185624	194071	And, you know, he's a human and from the sea, so basically he's a guy that's sailed around and been a traveler.
194871	204499	He's probably, I would say, about 40 years old, a little bit past his prime as far as fighting goes, but knowledgeable about the world, and that's what you like about him, right?
204920	205140	Yeah.
205620	208922	Well, is he like a certain level of fighter?
209362	210222	He's fifth.
210362	211463	He's the fifth level fighter.
212484	214685	He actually hails from Onwal.
216546	219367	And Onwal is like a premier traveling city.
219387	221848	I know Onwal.
221868	223609	Yeah, you know Onwal well.
223689	227011	And that's why actually... That's from Scamps, right?
227231	228251	Aren't they part of the Iron League?
228611	229172	Exactly.
229968	230469	Exactly.
231189	234772	Onwal, Scant is the city, Onwal is the country, right?
235793	248564	And Horace Boldpate hailed from there, and actually he met up with you guys when you, way before that, when you guys were in the Pomarj, right?
249004	250646	Because he was sailing around there.
251326	254049	But when you met him later in Greyhawk,
254973	257294	And actually recruited him to come with you.
257634	266018	He basically said, yeah, I'd rather hang out with you because Anlauf Ogmotton and Celeborn have like weird feelings about me.
266718	266998	Right?
267919	270360	So he's been very useful.
270380	274882	You don't really, I mean, he's not a Karmirg level fighter.
275959	282842	No, of course not, but he's capable of covering my back while I'm cast and made, you know, magic spells on a battlefield.
282962	286104	Well, I mean, more like in an alleyway.
286704	287424	More than that.
287865	288605	You know what I mean?
289705	294968	On a battlefield, you know, it's like, you'd want a hundred guys around you, right?
297242	307609	One guy wouldn't do much, but, you know, you trust him enough to basically have him hold your bag of coins, is what it comes down to.
308410	310151	Well, and guard my back in an alleyway.
310331	313253	Yeah, yeah, yeah, totally, totally.
314654	315875	You know, even in Scant.
316235	319398	Scant's a pretty honest city, so, you know, no big deal.
320307	332393	Now, just for me, is there anything, like, does he have a family or kids that we're, you know, sending gold home to, or is there anything, like, or is he just complete, sort of, free, you know, unattached?
332853	343598	Well, so, he's actually been a merchant from Scant, and he may have some extended family, but he does not have a wife and child, right?
344358	347320	So, you think he might have some, like, cousins or whatever.
348276	354680	And he's connected in the city, but he's not tied down, so to speak.
355161	355441	Okay.
355621	355961	Gotcha.
358003	360124	Do you want to investigate further or do you care?
362105	368349	No, I like to, I mean, I'm thinking in terms of knowing who's got my back in an alleyway.
368730	369130	Right.
370131	373093	I was never very comfortable with a gal shoving my back.
376399	377359	No, he's not tight-lipped.
377379	380800	I mean, I just think that you figure he doesn't have a lot to say.
381001	388023	I mean, he has some extended family, cousins and whatnot, but he mainly has kind of acted like a merchant in the past.
405465	406847	Shipping or land marching?
407328	408469	Shipping, mostly.
408710	410212	Out of Onwal, it's all ship.
410272	416560	In fact, the Anwalian Navy is pretty serious, right?
419340	422942	So, um, you know, he's a good, he's a good sailor.
423002	423983	He knows how to sail.
424403	429386	And that's what you really like about him, is the fact that he's been around a lot of the seas.
429647	432528	Like, he picks the ship that we're gonna go back to Monmurg on.
432989	434550	Well, and actually that's the thing.
434630	444336	It's like, uh, you, you like the fact that he knows his way around not only the Iron League and the cities around the Iron League, but most ports.
445559	446219	A good guy to know.
466144	471548	Is it something that I could talk to you more to get us some information about while we're sailing?
471689	472769	Well, let's role-play it.
473070	474471	Let's role-play it, alright?
474651	480917	So, basically, what it is, is he has booked passage.
481237	482558	You want to go back to Monmurg.
483319	489624	And he had traveled through Irongate to the city of Scant, and he's gotten you passage.
490844	494826	Um, from Scant to the west.
495726	496066	Okay?
497867	510251	And, um, you guys are like hanging out on this boat, this Unwolling Merchant that is going to be taking off in what is late winter to go to Monmurg to trade.
512452	512772	Okay?
513712	514913	And it's got, you know,
517471	529177	Lots of goods from, you know, Irongate, which is a big trade city, but also from Nyrand and a lot of Eastern nations.
529777	545525	And they're going to trade in Monmurg for Dwarvern metals and steel that come down from the Yeomanry and the Yeotan Mountains because they know there's a good
548035	550737	A good market for it there.
551798	574971	So, the two of you are hanging out on this Lonwallian Trader and you paid your passage, which is like maybe ten gold coins for the journey and then, depending on what you want, you know, a gold coin per day if you want to live like a noble or a silver coin per day if you want to live like a normal person.
578151	581373	Um, we'll, we'll share a room.
581433	583435	I mean, I don't need, we don't need two separate rooms.
583535	584255	I'd rather have them.
584335	591881	But, um, I mean, I don't want, like, a, you know, rat, I mean, it's a ship, so there's probably rats on it, but, you know, um, a good room.
592401	592701	Okay.
593442	600466	So, you know, a fine room where, and you don't mind being with Horace, your servant, and you're, you guys are, like, hanging out.
600626	605590	So, this is, like, your first day traveling, uh, to the West.
607422	609403	So if you want to ask questions, ask questions.
610383	616685	So Horace, did you ever see this ship that Karmirg and Gaj left on?
617806	619266	Ah, yes I did.
620026	620847	We saw it together.
623107	624228	What do you think of that ship?
624408	627129	I mean, he's going reefing, right?
627329	628749	He's going to pirate?
629630	633711	Well, it looked to me like to be a Cossair from the Sea Principalities.
636477	642640	I'm sure he does, actually.
642680	651683	In fact, I spoke to the Dockmaster and definitely when he collected Karmirg, he was looking for him specifically.
652343	658766	I think he's got himself a letter of mark and not one or two rough sailors, I would call them.
667057	672919	And what I'm trying to think about, and I need your help a little bit with this horse, because you've sailed all over.
673960	688286	It seems to me that, politically speaking, the Great Kingdom, especially through the South Province, the Herzog of the South Province, if they are able to defeat a D, then they cut off the Iron League.
688366	690386	Sun D from the Iron League.
690426	691767	It'll be cut in two.
693025	704315	And even if the northern half can survive, the southern half maybe, but even more importantly, that's going to give the Great Kingdom, through the South Provence, ports on the Azure Sea.
705536	707597	Specifically in Nerea, Nerea Falls.
708779	716285	Now, right now, it seems to me, and I'm not entirely sure, you're from Onwal, but it seems like the Great Kingdom only can get into the Sea of Grenad.
717007	732899	And so if they need to be somehow bottled up or try to, you know, be restricted should any larger war break out, it would be coming out of the Sea of Grinant through that, whatever you guys call it, that tighter gap.
733299	735521	It's not that tight, but...
735541	743007	So I guess what I'm wondering is that, in your experience, how well prepared is Anwar to keep
744234	748257	I mean, does Onwal keep the Great Kingdom out of the Azure Sea?
748938	749778	Absolutely not.
749878	756463	In fact, to be true, I don't think the Great Kingdom has much want to go on the sea.
757344	758144	They're armies.
758685	760286	They don't have navies, per se.
763028	769513	Honestly, I think their mind and their eyes go to Nyrand and the countries in between.
770735	788081	The South Province and the Herzog wishes to subjugate Idee and Sundee and Irongate and even Onwal, but really, once he gets it, once he takes it, if he ever can, he'll let it rot.
788841	793623	He has no care for the sea or the trade we have, just the wealth it can steal from us.
795445	797966	I doubt they even think of it, to tell you the truth.
798207	803129	What they think about the Great Kingdom is the wealth that they get from the king himself.
803149	806191	The Great King will steal wealth from all the lands around him.
822193	831457	And I know this for true because I see it pass through not only our ports but the ports of Nyrand and other places.
832618	848025	These evil traders definitely wish to deal with the Sea Principalities for, in truth, as Onwal is the center of trade for the Eastern Lands, Monmurg is three times that.
848974	858583	Not only do the western kingdoms trade there, but kingdoms to the south, far beyond the Azur Sea, come there.
859064	863528	Foreigners, strange people, so great is the market there.
865270	870495	Are you referring to like also the slave trade coming out of the jungles in the south?
872163	876425	I know little of that, but truthfully there are slaves that trade there.
877306	879067	Few are bought by my people.
880447	882368	Some do go to the Great Kingdom.
883529	893394	However, from my understanding, the Toli purchase the lot of them in most cases.
895315	896996	Right.
897136	900838	That's also my understanding, that was at Prince Jeon.
901893	906134	I know little of the politics of the Sea Principalities.
906154	908795	You would know more than I, but from what I understand,
924436	927758	Huge number of slaves that are pulled out of the immediate jungle.
927898	932881	Most of them stay in the sea principalities, even though some are shipped south.
933541	935102	Few make their way to the east.
936763	939244	Have you ever been, or do you know much of the sea barons?
941305	943146	Oh, I do know of the sea barons.
943746	944947	They're a powerful force.
947208	953752	From what I understand, actually, the sea barons are breakaway Aradians from the sea principalities.
955201	960764	Leaving the outer islands maybe 50 or 60 years ago.
964185	964505	Right.
966406	977691	I'm trying to find a reason for Monmurg, maybe not all of the Sea Princes, but at least perhaps Prince Jeon with Monmurg.
977911	980572	I'm trying to find a reason for them to maybe want to help.
980652	983233	I mean, I'm looking for Karmirg, of course.
985496	988039	I'm wondering, like, I can't see an angle.
988320	991003	The only angle that I can think of is kind of shot down.
994888	1004440	Meaning, you know, to keep the South Province out of the Azure Sea, but if you don't really think that the South Province has any designs on the Azure Sea,
1009417	1011739	Well, I'll be honest with you, Jude.
1012680	1015423	The greatest navy in the world comes from Monmurg.
1016664	1022190	Their ships have once and again defeated all the other navies of the world.
1022511	1027817	In fact, their only rival is Gratzl, from Gratzl, from Keoland.
1028970	1031831	The unwalling fleet is powerful, true.
1032551	1034812	Mainly our ships are deep sea traders.
1035532	1046815	And even though we can delve farther and deeper in the oceans than the sea principalities, we're actually quite equivalent as far as that goes.
1047715	1051776	And by the way, they are much better warriors on the sea than we are.
1053297	1053537	Right.
1054703	1055544	I know my history.
1056044	1059107	I'm familiar with their battles, their sea battles with Keoland.
1062770	1063471	But I see no...
1065613	1073700	I see no reason for them to get embroiled in anything with the Iron League.
1073720	1081727	What I'm worried about is that, like I said, Sudi being like, or Sundi being isolated if the D falls.
1082617	1084518	Onwal and Irongate are strong.
1084859	1086960	They can probably hold out indefinitely.
1087961	1092643	But I can't imagine that Sun D will last too much longer after a D falls.
1093364	1098827	I just don't see an angle on why Monmurg or the Sea Princes...
1099708	1101289	I can see two angles, actually.
1103170	1104011	One is trade.
1105291	1105972	One is trade.
1106953	1110455	Onwal is a wonderful trade partner with Monmurg.
1111107	1118292	And in fact, I would say we represent at least a quarter of the market that happens in Monmurg.
1119533	1120574	So there is that.
1123116	1126198	Now, would that be something they'd be willing to fight a war over?
1128240	1129261	Or even finance.
1130401	1132223	Finance, possibly.
1134324	1138868	But truly, from what I know,
1141833	1143693	The Monmurgians love money.
1145774	1147754	So they would have to be trade concessions.
1149454	1149655	Yes.
1149675	1155956	I mean, with the Iron League, I would think overall, even just to have them, you know, help to finance.
1155996	1167418	Now, my understanding hitherto is that we have a friend, the Iron League has a friend in Nairon, but Nairon is, are they secure in their fighting against the Great Kingdom?
1170317	1179261	Well, you know as much as I do, the King of Nairant is a powerful man, and he rallies the forces against the Great Kingdom.
1180441	1180721	Why?
1181181	1191926	And, in truth, to be honest, the Great Kingdom is a corrupt and debauched country.
1193426	1194527	Their leaders are insane.
1195278	1198081	Well, their king is insane, this is true.
1198521	1206408	But even their lords care more about themselves than they care about war or competency.
1206949	1213835	In truth, their only advantage is mass and the number of men that they command.
1215116	1215337	Now,
1216795	1217915	I'll be honest with you.
1218255	1226217	I think that even a count in the Great Kingdom has enough men to be able to crush a D if they were loyal to him.
1226837	1228977	The Harazog too is a powerful man.
1229958	1232658	He has many people that he can command.
1233318	1242500	But these are slaves or peasants that he puts together.
1243883	1249346	If there is a leader that's strong against him, he can definitely be resisted.
1256871	1258892	But Jude, I will tell you this.
1259932	1270819	He is taking advantage of the great wave that destroyed a thee, and that's why that country is in such dire need.
1272239	1274220	Many died in that tsunami.
1277583	1280625	Do you remember that tidal wave that came in and destroyed everything, NID?
1280665	1281766	It was destroyed.
1281826	1282746	Naree was destroyed.
1297875	1303138	Okay, so was there attempts to even rebuild Nereo over the last year?
1304319	1304939	Absolutely.
1304999	1320629	I mean, basically that's kind of what, you know, Paradil has been trying to do, is to get the people to live and be safe and basically rebuild the kingdom.
1321089	1324851	That's most of what his effort's been, and that's been really hard, right?
1326072	1326312	Yeah.
1330065	1336047	Have you ever traveled to the jungles in, I think it's Amedeo?
1337548	1338208	The Amedeo?
1339268	1339488	Yeah.
1339868	1340869	No, I've never been there.
1341489	1346351	These are near the Great Kingdom, I mean, near the Sea Principalities, correct?
1348251	1349272	Yes, yes.
1349732	1356234	From what I understand, the Amedeo jungle is... A place where...
1357682	1364188	The Sea Principalities rip resources from... My understanding.
1364529	1365510	What's my understanding?
1367472	1368433	Port Toli is...
1368933	1372076	Port Toli is the place where...
1373698	1378202	They use the Emedio as their place to take wealth from the...
1379831	1383034	The natives and the savages that live there.
1383215	1384075	Yes.
1384135	1388840	My understanding is the slaves largely come from those tribes in the Emidio.
1389181	1402054	And by the way, I'll tell you Jude, the reason that the Sea Princes have such wonderful ships is the woods they find there are amazing.
1405117	1412439	The sailmasters and shipwrights of Monmurg revel in creating ships from that wood.
1413399	1413899	They've made...
1415199	1422141	I will tell you, it's like, there are few forests in the world that can rival what the Amedeo jungle makes.
1424862	1426382	So them having a...
1427705	1431586	Well, in truth, Anlauf Ogmotton makes all of its ships from wood taken from the Meteor Jungle.
1431626	1433967	That's one of the main things we trade with them.
1452513	1459477	What did the Iron League or a D have for trade or for export of value?
1461358	1464880	Well, a D has silver and gems.
1466781	1468062	There's good trade there.
1469923	1472685	Some D has foodstuffs and so on.
1474386	1480467	But truthfully, the elven artisans make great things from there.
