start	end	text
2932	7594	Jude in Flock Time, just coming to Retro Island.
28145	28385	Hey.
32336	33156	Hello, hello, hello.
33436	34377	Hey, you ready on?
34997	35897	Yep, can you hear me?
36117	36657	Yeah, I can.
37277	38018	Alright, awesome.
38258	39018	Okay, great.
39978	51261	Yeah, so I stand in line and in the background, if you hear seagulls, it's because I've got my phone set to D&D music on YouTube.
51881	53562	So if you hear seagulls, you're not going crazy.
53882	54202	Awesome.
60212	64235	Alright, I'll stand in line and wait patiently, of course, to talk inside.
64915	67637	Alright, so what happens is, this is kind of evening.
67917	69138	You know, it's nighttime.
70278	78063	And, um... Basically, there may be two or three other people that wanted to leave the ship.
78944	84107	And, uh, you know, the captain comes up to you and says, uh, what are your plans, sir?
86093	87133	I haven't made any yet.
87314	91337	Are you meeting with the other merchants as a group to make a decision?
92558	93739	We are, actually.
94760	95601	Are you doing that now?
97723	99624	I think we'll have a decision by tomorrow.
100886	108352	So, I wasn't going to go ashore, but I was going to talk to the good sergeant about if diplomatic...
111919	116421	Are there any more adventurous merchants among your crew?
137055	139716	Well, we're speaking to each other about this.
139736	146440	In truth, it seems that the Earl of Red Shore is trying to make a marketplace here, even though this portage is much smaller than that in Monmurg.
147020	149141	I don't see how it will work.
169214	175638	Well, the truth is, as many of the ships that we see here, we'd want to have trade with.
178000	180701	So if there was a place to trade, we would do so.
181342	191328	I have a feeling that to salvage what we can from this journey, we'll be sending out invoices to the ships in this area and seeing what deals can be struck
193367	193887	That way.
195588	196509	Do you have a minute?
196829	201892	I can forego talking to the sergeant for perhaps 10 or 15 minutes.
201912	203554	Would you come back to my cabin with me?
204774	205435	Certainly, sir.
205935	207056	Perhaps for a glass of wine.
207716	208157	Certainly.
209898	212840	So I come back to the cabin with him.
213380	214601	I pour him a glass of wine.
217859	219100	Let me speak plainly.
220301	229708	As an envoy from Idee, and as you know coming from Scamp, the situation of the war in Idee this past year, that's where I've been.
230869	241098	We're in dire need of assistance, and it had been my hope to travel to Monmurg, since they are wealthy and seem...
241991	254059	To understand many things about defense of a city and rebuilding, which certainly Marie is in desperate need of, and to entreat with them for assistance or aid.
255180	266728	Is there any chance that any of the merchants would wish to perhaps not honor the blockade of the Duke of Branson?
270496	272336	You mean try and run the blockade?
273317	274157	Yes, of course.
278018	279558	It's a dangerous undertaking.
281098	281719	Absolutely.
282159	282659	Absolutely.
283979	290861	So you say you are a ambassador, as it were, traveling to Monmurg?
291981	293441	I do, yes.
293501	295562	I've been fighting in the D against the South.
304498	313061	So my question to you, sir, is why is not the Monmurgian Navy escorting the ships that ply these trade lines?
314962	322724	They usually are patrolling the oceans all the way up to Gradsul.
322804	326325	As I told you, I've been in the deep for the past year.
326665	328446	This is my first time returning.
328937	332238	I'm not an envoy from, or a diplomat from Monmurg.
332538	336380	I'm traveling from the D, because I have dealing time.
337360	341542	Therefore, this comes as much of a shock to me as to you.
341682	342102	I see.
342402	345563	So do you have some influence with Prince Jeon?
350645	352606	That is possible.
