start	end	text
2268	18396	Alright, Jude, um, some random day in Fluk time, near the end, uh, basically, um, in the Azur Sea on a, on Wallian Trader, heading south.
19916	21337	Okay, do you remember where we left off?
22133	40861	Yeah, there was two, uh, man-of-wars, uh, Keoland man-of-wars that were, uh, dropped off ten troops, boarded us, our captain seemed, uh, maybe just either weak-minded or confused, and he, uh, agreed to go to, I think it's Sandichar, but Morrison was a shithole.
41502	42042	Red Shore.
43382	43883	Red Shore?
44123	44443	Yeah.
45693	54819	Okay, so anyway, basically what it is, is you and Horace are down in your state room, right?
55519	56300	Yeah.
56620	62364	And Horace has been going in and out, basically talking to you about what's been happening, but what do you want to do?
64285	70849	Okay, I tell Horace, I say, listen, I can magically ensorcer the captain and get him to turn.
72150	75012	Are both ships, are we like in the center of the two ships?
76392	79134	I think I need to get a bird's eye view on this.
79155	82958	Okay, so let me go ahead and show you what the map is of the ship.
83718	83999	Okay.
84559	90825	Okay, and I will change the actual map that you're on to be able to see it.
95289	96370	I will make it a...
103838	104658	Okay, there you go.
105259	109340	So your map should change, right?
109721	111701	Yeah, yeah.
111781	113222	And this is the layout.
113762	121566	You and Horace are here in your stateroom, right?
122186	124227	And this is the door right here to the main deck.
125813	127615	Okay.
127735	129677	Our stateroom, which one was it again?
129957	130778	This one, 14.
130798	132160	14, okay.
132420	133421	J4, actually.
134002	134662	Okay, J4.
135143	137385	Do you see it, where I've got you and Horace?
137405	138847	Yeah, I can see it.
138987	139668	I can see our names.
140048	142110	So you can zoom in and out if you wish.
145454	148237	So basically the two of you are in this room together and...
150279	158305	Horace has just come in and basically said, you know, the captain is capitulating with these guys, and they are turning the ship towards Ridgeford.
160006	162308	Okay, um, how close is the man to Horace?
163749	164149	100 feet?
164369	164930	Do you ask him?
164950	165490	300 feet?
165590	166511	Yeah, I ask Horace.
166911	171414	He goes, um, well, from what I saw, they're off the bow.
171534	175457	They're maybe, uh, I would say 100 feet, 120 feet away from each of us, yes.
180017	181298	And so they've got us in the middle.
181418	184000	So if we try to turn, we're going to crash into one of them.
184020	184580	Is that correct?
187822	188563	I would say so.
188583	190844	We'll have to get close to one of them, definitely.
192426	194967	What we've got to do is we've got to let the wind out of our sails.
194987	202592	We've got to slag, you know, like lose all forward momentum and then put up our sails again.
202812	204754	He says, what are you planning, Jude?
205454	206595	I want to make a run for it.
209636	212317	I mean, I don't think I want to end up in like, what did you describe?
212417	212897	A shithole?
213097	218059	I mean, we could, but who the hell knows how long we've got to sit there for.
219560	223241	Are you thinking like that this is, you said it's not really standard.
223261	225082	We could have run, but the captain didn't.
225442	226682	Why don't we talk to the captain?
226762	230084	Perhaps the captain can like... Well, there are Marines up on board.
232865	234405	Well, I mean, they already know that we're here.
234425	236126	They're going to have the manifest, correct?
239702	247489	That may be the case, but in truth, they don't seem to be very interested in passengers, per se.
248710	254094	So you're saying, like, perhaps we could just lay low and just see what's going on?
254514	267885	Well, what I can tell you is I've only been talking to several of the mates, and from what I can tell, the... Marines have told the captain
269037	272979	That currently Monmurg is being embargoed.
274160	274280	Oh.
274500	279383	And that all shipping needs to travel either back to Gradsul or to Red Shore.
282145	286808	So they just want to check our hold to maybe see that we're not carrying embargoed goods?
289209	290030	In Monmurg?
290090	292631	I mean, is that what an embargo is?
293092	293892	I'm not a sailor.
294012	296153	I'm not a merchant either, so...
296173	298455	He says, well, I can try and find out more.
300173	303334	From what I've been told, we're being diverted to Red Shore.
304074	305434	Okay.
305454	312095	If I act, I can't guarantee that I won't have to burn both ships and kill everybody on both of those ships.
313415	315036	I'd rather not have to do that.
315216	316076	I just, uh...
317036	319497	I'm just not entirely sure why we're being diverted.
319637	324057	You made a comment that the sailors were saying that ships have been going missing.
324738	327258	I don't want to be quote-unquote missing.
329178	329918	I understand.
330258	335300	I don't think... Shall I find out more?
336001	337241	Yeah, yeah.
337281	338321	Try to find out some more.
338521	341102	I'll not nerd anything or blow anything up.
341242	343423	I'll see if I can get a mate to come down and talk to us.
344704	344884	Right.
344904	346024	I appreciate that.
346344	348145	Okay, so do you want to stay in your stateroom?
349499	357010	Uh, no, I mean, also, I'll follow them out and just stand in the doorway, you know, just so I can kind of see the deck and stuff.
357150	358311	Like, I don't know, what's happening?
358372	361556	I mean, are we the only passengers on this ship?
361716	362537	No, there are other.
362978	364160	There are others, definitely.
364793	369675	Okay, I mean, I can't imagine that the others aren't, like, maybe curious as well.
369795	374077	Well, you know, I think most of the... you've kept to yourself for the most part.
