start	end	text
711	13115	Evening on the 27th of Flocktime, Jude and Horace leave the castle of the Earl of Redchor and head back into town.
17596	18656	Well, what did you think, Horace?
21057	24158	Well, I don't know.
24198	25638	An interesting man, I guess.
27098	29379	It harks a little bit to his man-at-arms.
30331	31752	I think it's an old family.
33152	39035	Yeah, I got the impression they were tied in with the Suleys.
40135	50660	Yes, apparently the Lord himself actually, some of his ancestors were, but I think they're holding on to greatness.
52301	58924	He seems quite irritated with me when I mentioned that the poor princess
59860	61881	That's interesting.
61901	63022	I don't see why.
63042	64102	So there is a war.
88651	99140	He's so emphatically that the, uh, that, that Prince Jeon should take, uh, Coraxil seriously.
101042	102883	I think that's the thing.
103284	113232	Well, it's well known that the, um, the kingdom of Keoland definitely looked unfavorably on slavery.
113993	116695	I look unfavorably on slavery, however.
117591	132695	What shocked me, well it didn't shock me I guess, what I took special note of simply was just that by his language when I talk with him alone it just seemed that he wanted to deal with the four princes specifically.
132915	138196	You know, Jeon and the Princess of Tipsum and the other four princes.
138856	146638	And that he said then they would like deal with Toli but it almost sounded like he wanted to eradicate the four princes.
147038	154920	And then somehow treats with Toli as if Toli is not the impetus behind maintaining slavery in the Seahawks.
157240	165162	I know a little about the politics of the Seacrests.
165602	167243	Jude, you must inform me.
168063	169003	What are your thoughts here?
170184	175645	My understanding is that, especially, I think that, alright, then
176768	193174	In some considerable contact, as you might know after a year of hanging with Karmirg and Travis and myself, we had worked under Lord Seamus, who is tied in greatly with Prince Jeon.
194235	206099	And my understanding is, personally so, is that, especially Prince Jeon, the other princes have made more money since they've stopped pirating.
206351	208292	Well, I must ask,
236002	241285	Not the Prince of Monmurg, powerful enough to stop this crisis?
242245	243806	I am not certain.
244406	258753	I'm not sure that, especially when I'm certain of after seeing this blockade was why Prince Sion and the Princess tolerated the blockade of any kind and not sallied forth and parted.
259674	261094	That's what troubles me too.
261154	262335	From what I understand,
262990	265811	The Prince of Monmurg in his fleet is powerful.
266271	270832	Probably the most powerful on the Azura Sea, if not in this little day.
270852	271872	Right.
272353	275974	So I'm equally shocked.
276574	280575	And the way the hero of Gershore proclaims it is there's a state of war.
280795	284956	It's not just an embargo of certain stuff, trade stuff.
285356	288437	It's a flat-out kind of cool-down embargo because of war.
289686	290587	What are we to do?
290647	295871	Are we going to stay in this little fishing village?
296592	297452	No, of course not.
298193	299214	We have two options.
299334	304858	The first is to get you and I to discuss before we left the ship.
306159	313365	I explained to the Earl that I was an envoy from the D, which very much so I am.
315223	325011	He asked if I held any influence this way over, you know, any other in-course.
325312	335720	And I said, simply that I would be treating, uh, with Laura Jamis, who is both poor and poorly, but that in the same way that I had gained audience with Earl.
335740	339443	I would hope to gain audience with Jamis.
339584	342406	As you can tell, I love Jamis pretty much.
343335	360826	And in my discussion with him, he suggested that I should look for one individual, Owen Black, who, it seems, understands the full routes of clothes and is somewhat of a smuggler.
361626	366870	I assume would be the premature hero.
367450	369792	Perhaps even higher than the hero.
372203	393568	So, we are speaking now from this oven rock and my understanding if we head to any of the named pubs and perhaps ask or use a little bit of a coin, we could probably find out who he is.
394851	404736	Although, in truth, I am worried about bringing an assassin to Old Seamus' buried hillside, so I'm not entirely sure if we do get a smuggler to guide us through.
406217	421185	I still think that if the merchants want to go, we can take the smuggler if he agrees on our ship, pay Balut, and have him guide Balut through the mines.
421886	423807	However, once we're Monmurg,
424728	443694	Well, I mean, do you think the man would, um, need to have, uh, even an acquaintance with Lord Janus?
443934	451896	What I'm worried about is that we go to the Earl of Redforge Nightman, and that he kills us and takes whatever money you have.
455018	464102	This is true enough and probably if he wanted to take in everything on our ship as well.
464842	466803	Why is it that he gave you this information?
480676	493481	I simply entreated with him as Olymcom E.D., and when he asked who I would entreat with in Monmurg, and I said Lord Jamis was paying over the foreign quarter, I think he was trying to enlist me as a spy.
494362	503245	He said that he would pay handsomely for any information or insight into the mind of Lord Jamis, and by extension Prince Jehon.
503926	506747	And furthermore, he seemed to intimate that
507313	508813	Either that or an opportunist.
538028	542471	So I think I see what he's doing now.
543292	544893	Basically you are a long shot.
547735	551877	Aye, but that would assume that they're having some troubles.
552138	558842	And apparently the Sea Princess haven't found a report, which yet, as you admitted, is a huge mystery to both of us.
560202	564145	I think that we have to scheme a court of Monmurg for ourselves.
564826	567208	And I approach that with some trepidation.
567928	576355	If they have troubles, we will see those troubles with dark sails in the harbor.
576775	577716	It's my suspicion.
580939	583721	Well, do you trust Lucille and Black?
583761	586463	Do you trust this suggestion?
586543	588565	Or is there some other course you'd like to take?
591037	608321	Well, as I see it, we either head back to the Loot and press upon the entrance to swing around the wide seas around Chesson Island, try to approach Monmurg from the south and hoping that there's no blockade in the lower bay.
610541	618583	Or we slay Lord Dreadshore's camel and perhaps see what might unfold.
618683	619543	I'm tempted to
626456	633677	Well, there's no trouble, I mean, there's no risk in meeting the man, I assume.
634038	634938	Or at least a little.
637758	639919	Well, um...
639959	645020	It is as you said, if the Earl wanted to do us harm, he would have done it to us in his own castle.
645800	647080	I think he could have easily done it.
650208	650368	True.
650408	651869	I'll cover your back, Jude.
681993	686632	I think I can... enslave many things for our craft.
687925	700970	All right, so we go to probably, I'm guessing, one of the finer establishments on the beach, or at least one of the ones with slightly more luxurious company.
701390	706632	Yes, so you travel back to the city through the night, right?
706652	715755	And reach the outskirts of the town, which is, you know, as I've said before, obviously a fishing slash whaling town.
717255	721437	With little use for deep docks for trading.
722278	735864	And again, you shake your head as to wondering why somebody would think that this would match the docks of Monmurg, which are at least 20 times greater in both their efficiency and their size.
737184	744808	And you're like, wow, these 40 ships probably would already have been unloaded in their cargo in the great market.
745563	746524	And just a day.
747484	748665	Yeah, absolutely.
751207	758431	Anyway, you walk into town, and do you want to walk alongside the shoreline, or what do you want?
758951	767697	I'd like to go in a little bit more where I can see where, you said that there were a lot of temporary places that are along the shoreline.
768157	770899	I'd like to see if there's more established taverns and bars.
772590	775332	In this place to maybe find a smuggler.
776692	786076	Well, I mean, what it is is kind of strange because along the shoreline there are like obviously places like fish markets, stuff like that, right?
787317	793400	But many of them have kind of been converted into makeshift open air inns.
796261	798502	And it just seems like any old
799480	811408	Merchants or, you know, rogues can put a keg of ale down on the beach and sell it for whatever he wants.
811468	816071	And they're like parties of people sitting around at night.
818512	831163	Basically like Teggers, with people charging money for Teggers, or even merchants just walking up and down the beach with, you know, carts with barrels of ale and so on, right?
831483	846275	Okay, we'll approach one of the merchants with the, uh, perhaps, like, we'll pay to eat with some wine, or, uh, just something such as, like, you know, snow, like, vodka, and, um, just try to purchase from him
847186	852671	Okay, so you go up to one of the merchants, right?
853272	855634	Just randomly, or is there any kind of look you want?
857676	859077	I would like a little bit...
865330	867211	Okay, so there's a guy with kind of a cart.
881281	895030	And he looks, what I would say is, he's definitely a Radiant, but he looks, his clothing and dress are a little bit different than what the Red Shorians are wearing, right?
895371	898713	They wear very drab kind of looking clothes.
899033	902676	This guy has a little bit more finery, right?
902916	910721	And he has actually two guards by his guard that seem well-armed, wearing breastplates and, you know, with swords on them.
911355	914317	You have some libations, sir.
914997	918340	He looks at you and he says, Quite certainly.
918380	919641	What would you like, my friend?
920921	925645	I have yellow wine from the Stingriff Isles, if that interests you.
926705	928166	You look like a man of means.
930308	931689	Most certainly.
932609	939754	I have recently come across from the eastern shores of the azure something from the west.
941567	942968	Local, but still exclusive.
943668	944649	From the west.
945129	948111	Well, the cinder clouds are from the east, my friend.
948631	949952	But please, try this.
950532	961899	And he goes over to a very small keg and puts a little bit of a yellow liquid in a crystal glass and says, taste it.
962079	963040	Very refreshing.
963800	965001	It's called Chardonnay.
968431	977217	I give it a good sniff and hand that glass over to another one for myself, please.
977397	979338	Would you like your entire glass, my friend?
980539	982460	It's a silver coin per glass.
983361	985402	Oh, yes, most certainly.
985422	986363	Here's two silvers.
987464	989825	Absolutely, and like he pours two of them.
989845	993027	He goes, I must say, you are my most discerning customer.
993067	995189	He gives you each a glass and says,
996127	1000896	You'd be surprised what these foolish yokels think or drink here.
1001497	1004302	I must say, Cullen Moore is the most puss-bram.
1008178	1016362	I have never been here before and to be fair, I'm surprised that our ship has been loaded to Red Shore.
1016442	1018162	Quite the surprise, quite the surprise.
1018222	1019503	Me as well, I think.
1019943	1023064	If I was in Monmurg, I'd be selling my wares right and left.
1023124	1025065	Unfortunately, we're forced to stop here.
1025385	1029067	I thought I would at least try to make a little money as I were here.
1029107	1035750	Unfortunately, these Luffians will drink fermented fish water if they could get their hands on it.
1036350	1038191	Are you a merchant?
1061730	1070116	Nay, nay, I'm an ambassador from the, the, uh, the embattled countries, the, well, country of the Iron League.
1070156	1073238	It seems like they have lost some of their allies in the Iron League.
1073838	1078502	Oh, I've heard some rumor of the puddle wave that ravaged that coast.
