start	end	text
251	2133	First session with Paul Rivero.
2214	8341	This is Julian's character and kind of background information on this.
8841	12586	I'll let you know that I record most of the session basically to take notes.
12606	14088	That's awesome.
14548	17872	And I have this program where I put it through a translator.
18862	27284	That puts it into text, and then I summarize it using the AI, and I give it to my players to be able to read, to remember.
27504	28744	Okay, so you do this for everyone?
28884	29444	What happened.
29485	30285	Yeah, everybody.
30305	32065	I've got programs that take care of all this stuff.
32245	32505	Wow.
32705	33085	All right.
33105	33525	That's awesome.
33545	33766	Wow.
33886	34546	A whole new level.
34786	37986	So you'll get an email.
38187	43568	Probably what I'll do is create a Google Docs that you can go and click on and just see the history of everything that's happened for you.
43668	44028	Awesome.
44428	45708	So you don't have to take notes.
45808	48029	I mean, if you want to take notes, you can take notes as well.
49269	61313	Now, what I don't do, and this is really a huge part of the game, is I do not allow characters to listen to sessions where they're talking to other characters.
61814	63034	Like one-on-ones?
63334	64855	Well, conversations.
64875	68036	Or conversations with one character specific is what you're saying.
68316	72357	And the reason I do that is I like to have
75252	85268	I like to have the interactions of people that are disagreeing about things and the way they view it and see it without there being a definitive God message, right?
85288	87431	Well, yeah, it's like you know but you don't know.
87772	89594	If there's something you do by yourself...
91061	100746	Or if there's a conversation with an NPC that's very important, I will sometimes let people go through and look at the transcript of that so they can remember that.
101106	106049	But that's basically because NPCs are NPCs.
106089	117555	However, other player characters, if you have a conflict or if there's a misunderstanding or whatever, because oftentimes, and I'm not saying everybody does this, but oftentimes there'll be disagreements.
118486	120088	And somebody will act unreasonable.
121028	128836	And I don't want to point that out continuously for them, because I don't want their character to be affected by the fact that they are an asshole.
128936	130317	I want them to be able to be that.
131278	134161	And actually, that's a whole part of the game.
137780	141483	It's important to be mindful when you're playing with other player characters in this situation.
141503	148228	Because, I mean, usually you do not get in conflict with other player characters in a way where it's like you're fighting them.
148609	150730	Even though it does happen, it has happened.
150750	155674	I think it's only ever happened once in all seven D&D campaigns I've ever played.
155775	156035	Right.
156195	159918	But in this game, there are a lot of disagreements between friends.
160899	164982	And a lot of it occurs because of misunderstandings and miscommunications that occur.
169689	172872	And he's misremembering, which is part of the game.
172972	177596	So that is something I want to tell you up front.
178036	182901	Okay, so, background of your character, right?
183481	191449	All right, so first off, you are
193182	198706	He's part of the noble family of the Prince of Monmurg.
199767	210214	In fact, your mother is his younger sister, who is very beloved by Prince John II.
212036	212936	Oh, okay.
213116	215978	He's only part of the noble family.
216239	217940	You are part of the royal family.
217960	220021	You are very much part of the royal family.
220261	221382	Yeah.
223640	246796	Even though your sister is beloved and her name was Lady Elaria, you're sort of in a strange place because when your mother was very young, probably the age of 17, 16 or 17, she became pregnant with you.
253313	261358	Out of woodlock, and it was a scandal.
262439	264540	A big scandal.
264560	269983	And she refused to say who the father was.
270664	275347	Now, Prince John II did his best to
277311	285334	And truthfully, a woman having a child out of wedlock in the principalities is not nearly as horrible as it is in some places, right?
285394	291896	Your culture of piracy and all of that, so bastards and whatnot, that occurs.
293177	301920	Normally, however, the way Prince John would have taken care of this is basically said, my sister was raped, I'm gonna fucking kill that guy, right?
302420	303381	And taken care of it.
303741	305241	That's always been kind of his
309160	311122	Take on this.
312963	321790	He's always kind of seen you as an unknown lineage.
323912	327255	He does not hate you.
327675	328976	I'm not going to say he hates you.
330177	336383	However, there's always been that tension between him and his sister.
338696	340657	Regarding who the father was.
341057	343639	And she has never told, she would never tell him.
344160	346221	She would never tell him who the father is.
346621	360611	Now because of this, and actually because your mother, for whatever reason, seemed to really love the guy that was your father.
364734	365935	Never took another
367740	369841	In fact, never got married.
371162	371983	Never remarried.
372423	378786	Prince John didn't push it.
378966	383129	He felt like she was damaged goods anyway.
383169	385150	There weren't many people in the other
386313	395297	In the Isles, which he could have made alliances with the Commodores of the Outer Islands or even some of the princes from bigger cities.
396658	399279	For one, he never really wanted to subject your mother to that.
399599	405301	You know this about him, because these are rough men and he wanted to keep her inside the city.
406062	411924	He could have married her to a merchant or even some noble from another country, but because of her
420181	433968	Forlorn love of this person, whoever it was, and you, this never happened and she never remarried, right?
434988	448855	Now, you, however, you were always adored by your mother.
