start	end	text
11293	21278	That opium stick, it was black, kind of thick.
23019	23599	Tainted with?
24899	25700	I don't think that.
26920	30422	You awaken, you don't know at what time.
30522	36945	You awaken and actually your dreams have been very, very vivid.
39486	40687	You remember a time
45667	49329	You remember a time in this room when you were a child.
49549	50750	The memory came back to you.
51710	64136	But obviously this incense that you've been using is much stronger than the ones you're used to.
66778	74902	So you get out of bed and wonder what time it is putting your hands on your eyes, kind of wiping them off.
80106	89408	You feel a scratching and an itching in your skin, and you scratch on it, but you soon realize that it's not really your skin that's itching.
92689	94970	It's your mind that's itching.
96130	99011	There's something that you remember as a child.
99271	100391	It's a nervous response.
101151	102952	Well, it's a realization.
103692	107753	And it's like, you ask the question, do I have any kind of memory as a child?
109521	112524	One of them comes rushing back.
116849	117690	It's your friends.
118390	119391	Your little friends.
121033	122014	The little gnome guys?
122515	123115	Exactly.
126118	126399	Alright.
128201	128681	Where am I?
128701	131164	Am I in like a magical forest or...
132080	133261	No, you're in a room.
133661	135121	A room filled with...
135582	136922	In my dream, in my dream, I mean.
137202	138243	I'm saying that.
138823	147827	You're in a room filled with... Well, wondrous things.
149648	151889	And your mother is close.
154630	160053	But through a door, there's just so many interesting things.
160193	160753	Bottles.
162979	163679	Devices.
164540	165160	Potions.
166601	170002	It draws you to them.
172403	173623	Anyway, you sit up in bed.
175664	176365	Do an int check.
195020	196020	There's something missing.
196120	196420	Seven.
198541	198941	Okay.
202342	203323	The opium smoke.
203343	206164	I was going to say that opium really hit me.
206744	207984	It's heavy in this room.
208104	210065	I need to cut those sticks in half.
210445	214807	What do you want to do?
216257	218560	I want to get out to my balcony.
218620	220442	Fresh air.
221523	224206	I am off my hinges right now.
224546	226108	Okay, so you rushed the balcony.
230320	234182	Basically, come out here and look down.
234662	238284	You look down to the Royal Docks and there are ships down there.
238984	244767	These are where select merchants come and take the palace supplies and stuff like that.
245128	250470	You see that they're down there unloading and so on.
250911	254933	Lower down on the cliff, you see lights.
256413	259694	In the residence that's lower down than you.
259854	267076	And you know that that residence actually belongs to Lord Jamis, one of Prince John's most trusted men.
