start	end	text
8417	22522	Unknown date, to be cited later, when your character is 23, when Paul is 23, his mother dies.
24803	30345	This is you at her deathbed with Prince John.
32466	32846	With what?
33346	34747	With Prince John the second.
34767	34967	Okay.
37408	37668	Okay.
39095	41576	So, your mother is dying.
43936	57620	And Prince John is standing there as you grab her right hand and he is holding her left hand.
60281	60621	Right?
60641	64562	And she is coming in and out of consciousness at this point.
66775	70456	What kind of sickness is it?
70696	81560	Can I physically see that she's unwell or is it just a tiredness kind of sickness that I can't really see?
81680	85401	Is she physically decaying or is she just being torn up inside?
93764	94504	Your mother has
100757	107860	Always, since you'll remember, had way too much to drink.
110121	123467	And that, with the grief that she's been dealing with, has aged her considerably, especially in these last few years.
127715	135238	John is a man that's probably about 45 years old now.
135278	136299	48 years old now.
136319	137940	Okay, how old's my mom?
138340	139940	About that age, 45.
140221	146543	But the way she has basically lived, she's at least 20 years older and not in good health.
147224	152686	Okay, so... What's killing her is a sickness.
153026	153627	It's not...
157120	160162	It's something that would normally kill a healthy person.
160963	162644	It's some kind of a flu.
162745	176596	However, because of her weakened state and the way she is in her grief, she has basically not been able to deal with this sickness.
178998	179338	Anyway.
183826	193536	She has a moment of clarity and she looks at you and says, Paul, what will you do without me?
198622	199062	Please.
202226	203107	I can't believe you.
205790	206190	Okay.
210857	212477	Am I supposed to respond to that?
212897	214198	You don't have to if you don't want to.
214758	216218	I'll be okay, Mom.
217259	219319	Did you say I'll be okay, Mom?
219919	220259	Okay.
221199	224320	She looks over at Jeon and goes, You will take care of him, won't you?
224340	227021	Jeon, please, this is my brother.
227041	228841	This is your duty.
231262	236783	The prince looks at you and says, Of course he will be taken care of.
237783	239644	He is my blood, as are you.
242557	243640	I will do right by him.
249272	250856	If you tell me who his father is.
255798	258640	Okay, so she kind of looks back.
258660	259641	Right here, right now.
260622	265426	She looks back, she looks at John and says, I know you've hated me for years, John.
266207	269470	She doesn't say, I know you've hated me.
269690	272612	I know you've wanted to know this history for years, John.
275455	279999	Paul, know that your father was a good man.
280019	281740	Okay.
282060	283362	And I loved him greatly.
283482	283722	Yep.
