start	end	text
993	10919	Paul Rivero decides at 10pm at night he is going to venture into the great marketplace to find himself quality clay to create his homoculi.
14801	16342	After two failed attempts.
16843	26689	After two failed attempts of creating them with inferior clay given by the servants of Prince John, he dresses himself in a dark cloak.
27769	28930	Do you wear a mask?
31181	31441	No.
32382	33503	You're just going to go with your face?
33543	34824	I'm going to go with the face mask.
35825	38408	Maybe I can... Oh, so you want to put on the thing?
39148	42271	Like one of the face masks and do up a costume?
42732	43953	No, that takes too much time.
44273	44974	Okay.
45094	46115	It's already 10 at night.
46155	47776	I need to go get the clay and go to bed.
47816	50759	Okay, but you do pull a fake skin over your head.
51039	51299	Yeah.
51680	55904	Alright, so as long as somebody's not looking at you directly...
56734	65498	They'll think you're just a face, but if they look at you and take any kind of time to look at your features...
65538	67259	They can see the cracks.
67279	69600	Yeah, they'll see the cracks and stuff like that.
69640	74602	They'll think it's weird, but actually, they'll probably think it's less weird than your face.
74622	77183	So... Yeah.
77363	78204	That's the way it is.
79684	80625	Alright, so...
84685	86346	You throw on the cloak, put on your boots.
86546	88267	Are you taking your short sword and your dagger?
88387	88727	Of course.
88947	90468	Okay.
90828	91388	Anything else?
92549	93289	Nope.
93309	94590	Just my money.
94870	95870	Your coin purse.
96371	97031	Yeah.
97051	98992	How much coinage do you want to take with you?
101873	104855	I'm assuming it's then this barrel of money that I have.
104875	107936	Well, I mean, you probably have a hundred gold coins in your room.
107996	109277	Sure, so I'll just take that.
109577	112878	Okay, so you take a hundred gold coins and put it on your pouch?
113058	113258	Yep.
113699	114039	Okay.
115300	120565	And again, you walk through the thing.
120645	121686	There are not many servants.
123508	139722	The guards let you out of the doors of the palace, as they always do, and you walk out of the protection of the fortifications of the palace of Jeon.
141209	144251	Down the hill towards the Market District, correct?
144751	144951	Yes.
145351	145651	Okay.
146652	151094	Now, what path to the Market District do you want to take?
152575	153515	I just need to get there.
154436	156657	Okay, there are two ways you can go.
158418	163520	You can go through the Harbor District, which is kind of the longer way around, which has more guards.
164981	166742	Or you can go through the Foreign District,
168183	178767	Which is very dangerous because it has the foreigners, isn't watched by guards and is shorter to get to the Grand Market.
178787	182809	I can see where this is going.
184049	186250	What is the time difference between these two?
186630	187590	I would say 20 minutes.
192181	197024	So it's like, what, 20 minutes for the quick wrap, 40 minutes for 45 minutes?
197104	208572	Yeah, it's about 10 minutes for the foreign district because you actually... To go to the harbor district, you have to go down the seawall all the way around to the harbor district and up to the thing.
208872	211094	In the foreign district, you just go down like that.
212054	220299	The foreign district is right up against the Grand Market because the Grand Market is where all the foreigners go to trade and do their stuff.
221179	223040	I'll go through the foreign district.
223981	224281	Okay.
225322	234227	So, you pass through the fortifications of the Royal Hill.
235396	239097	That's where all the nobility in Monmurg lives.
240158	242518	Through the Great Wall that protects it.
244259	246360	There's a short bit of fortification.
248600	259084	As you go through that fortification, the guards on the wall, one of them calls down to you, who goes there?
261296	266680	He knows you're walking from the Royal District though, so he's polite.
267280	269682	If you're walking the other way, he would not be.
270683	274065	I'd walk up to him and discreetly say, I'm Paul Rivera.
282151	287055	He looks you up and down and says, Sir.
288762	289683	You're out late tonight.
290463	290663	Yes.
291064	293185	I have important matters to attend to right now.
295667	296768	Important matters, hey?
297148	297329	Yes.
299750	300251	This way?
300271	300751	Yes.
300771	302373	He points to the 4th District.
302493	302733	Yes.
305955	307657	Well, alright.
308677	310659	Will you be passing this way again tonight?
311059	311840	Yes, I will.
313881	317144	If I don't, then I will be going through the Harvard District.
319771	324395	Should I have a messenger sent to the Harbor District to say that you will come through?
325175	329159	I'll either be going back to the Harbor District or back this way, so yes, please.
329719	333162	Sir, to be honest with you, I'm concerned.
336465	338046	How will the guards know it is you?
338066	341349	Tell them.
346613	347754	I'll get the word out tonight.
355663	365506	You realize that this is actually a very special thing for him to open the gate for you.
365526	366267	Okay.
366727	367147	Because...
368687	369788	They never open the gate.
369928	370208	Well...
371749	384880	As soon as the gate opens, off in the distance, like 80 feet away, you see a weird form run across from one alleyway to the next on this dark indie street.
386841	389503	All right.
391705	393527	I'm in too deep now.
393607	394968	I can't puss out now.
395836	396696	All right, I go in.
397237	397777	I go in.
398097	399077	All right, so you walk in.
399278	399498	Yeah.
399918	402439	Okay, and start walking down the streets.
402459	405040	I'm gonna play the part, look cool, look dangerous.
407101	415865	You know, I've got a, well, I guess I can't do a don't F with me face, but... You walk with confidence, right?
419646	421007	Your hand on your short sword.
421347	421667	Yeah.
427467	428007	Let's go.
428027	429928	Let's just keep going.
431529	442553	So anyway, you walk down the streets of the foreign district and the smells are...
444174	445174	Burning tires.
445374	447175	You wish it was burning tires.
447235	450076	The only kind of thing that human filth can possibly be.
450316	452417	It's like...
452437	454197	They range from pools of
456624	465812	Fetid vegetable that smelled like a coconut took a shit in seaweed.
466473	471557	Which is actually good to rotting fish and worse.
472278	475201	As you walk down the street though, there are
476719	488890	Places that are open, light streaming from them, people that you can hear partying, taverns, foreign voices.
489530	493994	If you stick to the main street, you feel somewhat safer.
494094	496977	And there are patrols that come through, though not many.
498678	502742	When the patrol comes through, it is mercenaries.
504282	508746	Coming from the Harbor District that are well armed.
509486	513190	Twelve men with a place to go to do something.
513590	515892	Like capture somebody and beat them.
516212	517633	Or something like that.
518454	522377	Now do you want to dally in this district and look at it or just go to the Grand Market?
522397	522497	Nope.
522517	524259	Just passing through.
524459	525620	No little perception check.
526121	527462	No side conversations.
527562	531365	No, hey, look at this rock I've got.
533833	534393	None of that.
537534	544197	As you walk, you get the feeling that there's somebody following you.
544217	545477	That's nice.
545657	553620	Out of the corner of your eye, as a group of guards pass, you turn, and someone darts into an alleyway.
554380	557942	Was it for you, or was it the guards that it was avoiding?
559222	559982	Okay.
560422	560622	Not.
562613	565155	Sticking around to find out.
565395	566136	You keep moving.
569418	585531	Again, later on down the road, maybe another 100 feet, the corner of your eye catches a dark form moving into an alley behind you, trying to keep abreast, not abreast of you, but trying to keep close to you, maybe 60 feet behind.
588513	589093	I keep going.
589754	591115	Let me know if he gets closer.
596214	602675	You don't notice it anymore, and they reach the gates of the great market.
604236	611937	Tents from all over the place are set up, however, less than you remember from last year.
613077	622959	I would say maybe a quarter of the tents are here that you remember from the last great trading cycle, which is strange at this point in the year when there are usually quite a few.
622999	624860	Economy's not too good, I guess.
627827	629368	All right, I go in looking for some clay.
629588	631068	Okay, so you walk around.
633229	636210	The merchants are still trading, however, at this time of night.
636571	636731	Yep.
637051	638992	There are still deals to be had.
639992	646235	You look for artisan supplies or something.
647175	647875	Some clay.
649516	650476	So roll.
651737	652917	You carouse.
653878	656739	Roll a in check.
658110	658891	See what you find.
658911	660252	This is the first hour.
661272	663454	It's gonna be 18.
665175	676624	You find yourself attracted to a pottery display where large ceramic pots and cisterns are created.
677505	683809	The merchant speaking in some strange accent, but in common.
684750	687132	You think it's backloonish, but you're not sure.
688507	690848	A ton from far west.
693230	693510	Cool.
695371	696292	Do you sell clay?
697392	698353	The man looks at you.
700894	703916	Dark skin, strange, bristly red hair.
705737	708399	He looks at you and goes, Clay!
711100	711941	I have clay.
712961	713622	What do you wish?
714322	717164	He reaches down into his thing and brings up a pot.
718787	723492	I need some good, solid, valuable clay.
726015	727257	What kind of clay do you wish?
727597	729459	Do you wish artisan clay?
729479	734265	And he points to this vase that was created, exquisite.
734865	736908	Do you want something that is more durable?
737995	740838	He slaps on another large pot.
740978	744081	He goes, Oils, whale oils, can be kept here.
744501	746223	They will not rot.
746443	748565	Sealed with wax.
750006	751428	The oil will not rot.
752609	753990	What do I think I need?
754811	756893	Well, what do you think you want your homunculae to be?
757413	757854	Durable.
759905	761106	Do you want it to be strong?
761527	764529	Do you want it to be waterproof?
764749	768453	Do you want it to be smooth?
768533	770795	Waterproof would probably be good.
770815	776940	Because that would suck if it just rained and dissolved.
778722	779543	That would be lame.
779583	780824	Yeah, waterproof.
781444	782025	That would be good.
782966	784067	You wish it to hold water.
788994	789694	I would say this.
790514	794035	He pulls out this lump of clay and puts it down.
794075	798636	He goes, the best bowls, the best containers are made from this.
798716	801916	This pot, and he claps on the large thing, is made from this.
801936	807917	That'd be funny if it just shattered.
808917	811118	That'd be really funny.
811498	815499	As it goes, oh yeah, I don't want that clay.
819543	820925	Um, how much?
823087	823967	For this much, Clay?
825789	826570	A gold coin.
827811	832715	This is from the far nation to the west.
835077	836298	The Bakloonish Empire.
838600	839301	How much is this?
840462	841283	How much is this, Clay?
841823	842604	One gold coin.
843124	845286	No, how much is in weight?
845727	845827	Oh.
847008	848849	Uh, I would say about ten pounds.
849069	850630	Oh, for a gold coin?
851951	860896	Alright, give me like... Give me like two or three gold coins worth in case I mess up again.
860916	869882	I have to... You would have heard it, Sen. You're interested in making art, I take it.
870517	872481	Yes, if you could say so.
872662	880237	So he goes over and brings out more clay, puts it down, and goes, very well, thirty pounds for three gold coins.
883680	884380	All right, the clay...
884400	885661	I want a bag for this or something.
886221	888742	Do you ask, do you say, give me a bag?
888902	890403	Yeah, do you guys have a bag for this?
890563	890963	Of course!
890983	893484	And he goes, I'll throw that in for free.
893504	895585	And he throws it down in front of you.
896085	899547	I give him a gold coin, I put it away and... Three gold coins, right?
899627	901207	I give him another gold coin for the bag.
901647	901747	Oh.
902468	903148	Just being generous.
905989	908570	Sir, you are very generous to me.
909090	909471	Thank you.
910171	910691	No problem.
911371	912552	You must be a great lord.
915744	916425	Ah.
916465	917445	Wealthy merchant then.
917906	918366	Obviously.
918726	920088	Would you have a good eye for clay?
920788	921128	Thank you.
922650	925131	I take my clay and I get on my way.
925152	927073	Okay, so you don't want to see anything else?
929755	930836	Actually, no.
930856	932177	What else do they have here in this version?
932257	933318	I should take advantage of this.
935680	936500	What do you want to look for?
936520	937181	I don't know.
937201	937982	What do they got?
938082	939403	Do they got weapons?
941104	942185	Oh, there are weapons.
942245	943786	There are weapons around.
943867	962760	You see mini weapon shops with strange swords, hammers, flails, lances from the East, the Great Kingdom, whips, harpoons.
962820	963921	What do we got for daggers?
964622	966063	If I go up to one of them and ask them.
967043	969204	Where's one of your best daggers?
970024	972385	Do you want to go to a weapon maker and ask for a dagger?
974946	977147	So the man says, what kind of weapon would you like?
978527	979888	Would you like something for cutting?
980988	982849	Do you wish to have a stiletto?
985070	985630	No, a dagger.
986800	988501	A stiletto is a dagger he pulls out.
988541	998629	It's a stiletto, which he shows to be a long knife, probably about 12 inches in length, but very thin.
1001131	1008396	Basically, it's a stabbing dagger, used not necessarily for combat, but for backstabs.
1009257	1010858	And he goes, how about this?
1012319	1013340	He puts the tip down.
1016935	1025239	The metal, Dulkheim steel, from the Crystal Mist Mountains, the dwarves made it.
1026460	1031263	Forged by the assassins of Earty.
1031763	1032844	Do I think he's telling the truth?
1034224	1035045	Can I roll insight?
1035125	1035365	Sure.
1035745	1039627	I'm gonna say, like, this... 14.
1039647	1039747	14.
1042251	1048075	Probably not forged by its acids, but the quality of the metal is actually very good.
1050716	1052097	And it's an upgrade from mine?
1054659	1056340	Yeah, actually.
1057041	1059042	It's sharp, and the tip
1060355	1064718	It looks like it could go through chain mail easily.
1065098	1065378	Okay.
1065878	1066639	Without breaking.
1066919	1068640	Does it come with a sheath?
1069741	1070802	Did you ask him that?
1070822	1070902	Yes.
1071602	1073763	A sheath will certainly serve her.
1073783	1076645	He reaches back and says, here we are.
1077686	1081168	Iron wood.
1081348	1085671	Held together with the finest irons.
1087027	1090088	It's actually kind of a nice piece.
1090408	1090988	Okay, yeah.
1091668	1093128	You know, what's it look like?
1094368	1098809	Well, the blade itself is that long, like I said, with the handle, but the handle is small.
1099089	1100829	Only one hand, right?
1101209	1113452	And there's a cross guard that kind of tips out like that, and you realize that's to make sure that anybody's sword does not come down and cut off your finger or another blade, right?
1113472	1114672	Yeah.
1116837	1119680	You could probably get the entire blade into somebody.
1121321	1132451	The metal seems very hard, and the blade at the tip is very sharp, even though lower down on the blade it basically just turns into a round dagger.
1132932	1140178	So once you get the blade in, you can shove more in to the wound, but it's not bladed itself.
1142160	1146161	So really, probably only that much of it would be something you'd want to stick in.
1147101	1150482	But the good thing about that is this part of it is sturdy.
1151122	1151902	It will not break.
1154963	1161825	And the sheath itself is well-made and the wood seems to be pleasing to you.
1162905	1166486	And even though it's very simple, it doesn't have carvings or anything like that,
1168917	1176059	It is made of very good material and the utility of it is attractive to you.
1176759	1184041	I think what's most attractive to you, however, is the fact that both the sheath and the metal is dark.
1185121	1189542	And only the sharp edge reflects light.
1191323	1193143	So this could be used in the shadows.
1194884	1195764	Alright, I like this.
1195784	1196124	How much?
1199003	1199844	He kind of looks around.
1201264	1202385	Fifty gold coins.
1203226	1203506	Thirty.
1206087	1207048	Do a charisma check.
1208109	1211050	All right.
1213952	1214973	Now six.
1215153	1216434	Six to four.
1216894	1218475	You insult me.
1220876	1221657	Forty-five.
1225439	1226720	That is not an insult.
1227943	1229063	That is not an insult.
1230764	1231484	However, watch.
1232445	1233925	He takes the blade, right?
1234926	1252052	And he walks over to a suit of chain mail that is kind of, obviously it's like a suit that is used to show how good his weapons are.
1252552	1254353	And he goes, watch this.
1255033	1256754	And he shoves the dagger into it.
1258453	1272401	You can tell that the guy is actually an expert with a dagger and this easily goes through the chain and the leather underneath it.
1274643	1282007	Obviously this is for attacking armored people and you can see how it would cut through most of those things.
1282748	1286270	He pulls a knife out and he says, try that with your blade.
1289597	1293078	So you pull your broad dirk out.
1293759	1295339	Which is a very sharp weapon.
1296219	1306123	And actually against unarmored opponents it can be both as a slashing weapon or a stabbing weapon.
1308304	1310785	But it's broader and it doesn't have that kind of tip.
1311245	1314386	I don't expect it to do much.
1315525	1316085	Do you stab?
1316325	1316606	Sure.
1316826	1318907	Okay, so you take your weapon and stab it.
1319207	1320468	Roll your 20 so I die.
1322529	1323049	Oh, five.
1323329	1323710	A five.
1324210	1330774	Okay, so the blade, the tip of the blade is stopped by the chain.
1333195	1336137	This would go into a normal suit of leather.
1336197	1338698	However, a chainmail would stop it completely.
1342281	1342601	Okay.
1342661	1346644	There's a good purpose for this, and he like puts the thing back in the sheath.
1348185	1349326	50 gold coins.
1349366	1349646	46.
1351748	1354370	You're a man that won't stop.
1354390	1357972	I've already spent a fair amount of my gold.
1359513	1361435	Is it 46 that you have now?
1361455	1362496	46.
1362556	1364457	Or are you just looking for dinner?
1368502	1371424	I'm four gold pieces off fifty.
1372024	1376127	If you're really gonna fight me tooth and nail for those four gold pieces, then...
1377648	1385372	I don't know what financial situation you're in, brother, but... Well, this year has been poor.
1386393	1388174	The barricade has made things difficult.
1392957	1395639	I'm trying to make as much money as I possibly can here.
1396419	1397500	I thought... Me too.
1399332	1400593	Roll the Kurtzman check again.
1402595	1408580	Let me just clear all this stuff out of the way.
1410401	1411242	He puts it down.
1411382	1413884	I just need to get a scary, deadly mask.
1413944	1414685	That's what I need.
1420329	1421830	I will give it to you for 48.
1422911	1423232	Done.
1425073	1426014	He puts the deck again.
1429137	1430458	Put down 48 gold coins.
1430558	1430778	Yep.
1430918	1432999	So you've spent 51 so far.
1433019	1433079	52.
1433199	1434980	52 so far.
1435000	1435880	You give the guy a tip.
1436060	1436260	Yeah.
1436380	1436881	For the bag.
1437161	1437341	Yeah.
1439422	1443043	He goes, here's to hoping that things improve for us merchants.
1444944	1445364	I agree.
1445805	1447065	This has been a bad year.
