start	end	text
251	2133	First session with Paul Rivero.
2214	3515	This is Julian's character.
5217	8341	And kind of a background information on this.
8841	12586	I'll let you know that I record most of the session basically to take notes.
12606	14088	That's awesome.
14548	17872	And I have this program where I put it through a translator.
18862	27284	That puts it into text, and then I summarize it using the AI, and I give it to my players to be able to read, to remember.
27504	28744	Okay, so you do this for everyone?
28884	30285	What happened, yeah, everybody.
30305	32065	I've got programs that take care of all this stuff.
32245	34546	Wow, that's a whole new level.
34786	37986	So you'll get an email.
38187	43568	Probably what I'll do is create a Google Docs that you can go and click on and just see the history of everything that's happened for you.
43668	44028	Awesome.
44428	45708	So you don't have to take notes.
45808	48029	I mean, if you want to take notes, you can take notes as well.
49269	61313	Now, what I don't do, and this is really a huge part of the game, is I do not allow characters to listen to sessions where they're talking to other characters.
61814	64855	Like one-on-ones and... Well, conversations.
64875	68036	Or conversations with one character specific, is what you're saying.
68316	72417	And the reason I do that is I like to have...
75252	85268	I like to have the interactions of people that are disagreeing about things and the way they view it and see it without there being a definitive God, you know, message, right?
85288	87431	Well, yeah, it's like you know but you don't know.
87772	89574	If there's something you do by yourself,
91061	100746	Or if there's a conversation with an NPC that's very important, I will sometimes let people go through and look at the transcript of that so they can remember that.
101106	106049	But that's basically because, you know, NPCs are NPCs.
106089	117555	However, other player characters, if you have a conflict or if there's a misunderstanding or whatever, because oftentimes, and I'm not saying everybody does this, but oftentimes there will be disagreements.
118486	120088	And somebody will act unreasonable.
137780	141483	It's important to be mindful when you're playing with other player characters in this situation.
141503	147888	Because, I mean, usually you do not get in conflict with other player characters in a way where it's like you're fighting them.
147948	148228	Yeah.
148609	149690	Even though it does happen.
150170	150730	It has happened.
150750	155674	I think it's only ever happened to me once in like all seven D&D campaigns I've ever played.
155775	156035	Right.
156195	159918	But in this game, there are a lot of disagreements between friends.
160478	160678	Yeah.
160899	164982	And a lot of it occurs because of misunderstandings and miscommunications that occur.
169689	172872	I just misremembered, which is part of the game.
172972	177596	So that is something I want to tell you up front.
178036	183661	Okay, so background of your character, right?
185163	191449	Alright, so first off, you are
193262	198706	Part of the noble family of the prince of Monmurg.
199767	210214	In fact, your mother is his younger sister, who is very beloved by Prince John II.
212036	213477	Oh, okay.
213597	215978	So I'm part of the noble family.
216239	217940	You are part of the royal family.
217960	220021	You are very much part of the royal family.
220261	221382	Yeah.
221582	222063	However,
223640	229904	Even though your sister is beloved and her name was Lady Ilaria, right?
234408	246156	You're sort of in a strange place because when your mother was very young, probably the age of 17, 16 or 17, right?
246196	247677	She became pregnant with you.
253313	254114	Out of wedlock.
257556	261358	And it was a scandal.
262439	264540	A big scandal.
264560	269983	And she refused to say who the father was.
270664	275607	Now, Prince John II did his best to like...
