start	end	text
1893	11677	Paul Rivero awakens the next day after finding the letters in the secret lab and thinks about what he wants to do.
11817	12817	It is 11 a.m.
17019	18679	Okay.
21520	22941	So I'm fully healed up and all that?
23641	24921	Yes, you have all your hit points.
25202	25482	Nice.
28154	34361	I guess I'll get up and look for Jamis and Miss Jamis.
35182	44594	Okay, so you get up and walk through the palace, ignored as you usually are.
44794	45495	Nothing special.
46807	47988	No, nothing special.
48008	53713	The servants stay out of your way but are, you know, polite to you.
53773	54113	Of course.
54574	62160	As you go down and do you want to just basically go to the residence of Lord Jamis?
62421	62621	Yeah.
63001	74351	Okay, so you walk out into the streets of the Royal District and walk without being molested down the hill towards the residence of Lord Jamis.
76417	84323	Basically, the guards look at you because you're rarely outside the royal palace.
84363	96072	However, they know exactly who you are and they give you a wide berth, nod to you, and allow you to pass through both gates without any problem.
96392	96732	Nice.
97773	106975	You walk up to the smaller palace of Lord Jamis, which is still a very impressive residence.
107035	109876	In fact, I wouldn't say it's the second most impressive residence.
109896	113376	There are very powerful merchants that live in the city.
113496	120338	However, it is one that is probably most strategically positioned to overlook the bay.
121102	122683	Which is Lord Jamis's domain.
122743	126145	He's the harbormaster of Monmurg.
126325	132969	And he is responsible for keeping security going on there.
137538	151606	Very important job, and he's also the admiral, so he has quick access to the docks, quick access to the royal docks, and his residence actually has a private road that goes down to the harbor district from where you're at.
153187	156729	Anyway, the day is clear and pretty.
156749	159611	A little hot for you, but it's okay.
160411	166955	And you find yourself at the entrance to the residence
168509	174634	So you come up to it and knock on the door.
177377	177697	Alright.
178277	180800	So you knock on the palace door.
182201	192850	And the porthole opens up and a servant looks out and says to you, What can I help you with, sir?
193930	196673	I need to speak to Lord Jamis and Miss Jamis.
199493	199773	Please.
200474	201454	Do you have an appointment?
204776	205977	No, I don't.
209959	218144	It seems strange that you come calling in the morning on the great Lord Jamis and have no reason to say who you are.
218264	219285	Can I ask who's calling?
221667	222727	Paul Rivera.
224568	225909	Paul Rivero John?
227010	227250	Yeah.
229804	230625	Please wait here, sir.
232086	233007	He closes the door.
234868	240433	You can detect a hint of fear in his voice as he shuts the door.
241374	242275	He shuts the portal.
242635	243236	Okay.
245057	245438	Okay.
245498	245818	Weird.
246779	247920	So, you wait.
249061	249561	Not long.
249841	251083	Maybe about five minutes.
252844	256467	And then he comes back and the door opens and he says, Please, sir.
256727	257128	Follow me.
260570	261711	Now, I have a question for you.
263412	264512	Are you bringing the letters?
266513	267634	I am bringing the letters.
267854	268194	Okay.
268655	269395	What about the book?
269895	270676	I'm not bringing the book.
270796	271556	Okay.
271596	274338	The homunculus... You want to read that later.
274358	275318	That thing stays with me.
275598	276499	Okay.
276799	277520	The letters come.
278020	278300	Okay.
279481	286264	So, he takes you through a couple of hallways, and... Have I never been to...
288270	299755	Long ago, I mean, you don't, you know, you've been here before, but it's not like you make a point to come to this place, right?
299775	301215	Yeah.
303276	316342	He leads you into a study, and sitting at a table, well-pointed table with wines, cheeses, fruits,
317424	319346	Is this older woman?
322308	324390	I would say she's probably in her 70s.
324410	327732	60s, mid-60s, 70s.
328853	330475	This is about the age of Lord Jamis.
330555	332256	They're around the same age, right?
335218	337901	Obviously, at one time, she was beautiful.
339522	341263	But, you know, time... She's that old.
341704	342164	Of course.
342264	344746	Time has taken away her looks.
344786	346828	However, her hair... Is this Miss Jamis?
347840	349161	Yeah, this is Lady Jamis.
349201	355223	Her hair is kind of a combination of white and red streaks, right?
355263	357324	So you could tell that at one point she was a redhead.
358024	359765	And she is Suel, okay?
359785	366328	So Lord Jamis, actually, who is an Oeridian, was married to Lady Jamis, who was Suel.
366388	369469	Normally, this kind of a marriage is very uncommon.
371950	376292	Instantly, you realize that what this means is if this woman is
377815	378656	Present in this scene.
378676	379716	Present in this scene.
379736	380537	Present in this scene.
380557	383619	Present in this scene.
383639	384599	Present in this scene.
406104	407226	You've noticed in the past.
407286	408648	You knew it in the past.
408668	411032	It just now occurred to me.
411052	412434	You realize what this means.
414148	414428	Okay.
414868	421791	Okay, so anyway, you walk in and she basically stands and she says, Please, Paul, join me.
422451	429333	And she motions to a very comfortable-looking, well-appointed chair, which, you know, you've seen many of in your day.
429373	430153	It's not like this is.
430213	438516	But she's affording you the amenities that your station deserves.
439796	440216	Okay.
440236	441497	She sits down and she says,
443917	449523	Please leave us, she says to her maidservant.
449923	454188	And she goes, and please, Paul and I wish to have a private conversation.
454308	455529	Please close the door behind us.
457351	459753	All right, so he walks out of the room and the door shuts.
460714	465820	And Lady Jamis sits down and says,
468351	475861	I am flattered that you have come to give me an audience, even though this is somewhat unexpected.
475941	486375	I hope that my offerings to you are amenable to someone of your station, Paul.
488500	495222	I am sorry for coming unannounced and on such short notice, but I have come up with information that I must ask you about.
496162	497962	I assume it's very urgent for you.
498162	499363	It is very important for me.
502463	510785	I have been going through things of my mother, Alaria, and her possessions, and I have found... By the way, my condolences for her death.
512326	517487	I thought Lady Alaria was very kind.
520868	524609	I've had several conversations with her over the years.
524689	527850	I've found her to be most amenable.
530251	531652	I'm sorry for your loss.
531672	532712	It's greatly appreciated.
533212	540715	But I have come with news and reason to believe that you are my grandmother.
543248	550433	Oh, well, that seems to be a very interesting... You have a son named Grayson.
551574	553055	I had a son named Grayson.
553655	556377	Yes, unfortunately we lost Grayson many years ago.
558438	559899	You think Grayson is your father?
559919	562761	These letters prove that he was writing to my mother.
565503	567604	You just flopped them down right on the table.
567865	568105	Yeah.
569005	571287	And she's like, she looks at them,
574209	575229	Do an insight check.
575750	580332	Your insight is plus zero, but I want you to do an insight check.
581212	581572	Eleven.
584033	590056	To her, you can tell that she is actually kind of scared at what she's seeing.
590676	591056	Okay?
594397	600120	And... She says...
602340	603661	Well, the rumors are true.
603721	607524	You do get right to the point, don't you, Paul?
610926	617271	Some would call it impolitic, but I see it's refreshing.
618192	619293	Do another insight check.
622915	623776	Ooh, okay.
624777	626198	You don't really know how to take that.
628242	636910	You have a hard time navigating the niceties of sort of the courtly conversations, but she could be trying to say something to you.
636990	639172	You don't really know what it is, right?
639393	643256	But it's obvious you've rattled her in a way.
644137	645979	And she says, and what did the letters say, Paul?
647781	648481	Read them for yourself.
651624	651885	I will.
661503	662363	She takes her time.
