start	end	text
8417	11578	Unknown date to be decided later.
15700	22522	When your character is 23, when Paul is 23, his mother dies.
24803	30345	This is you at her deathbed with Prince Jeon.
32466	32846	With what?
33346	34367	With Prince Jeon II.
34487	34747	Okay.
34767	34987	Okay.
39095	41576	So, your mother is dying.
43936	53339	And Prince John is standing there as you grab her right hand and he is holding her left hand.
55379	55640	Right?
57420	64562	And she kind of, she is coming in and out of consciousness at this point.
66775	67515	Your mother has
100757	107860	Always, since you remember, had way too much to drink.
110121	123467	And that, with the grief that she's been dealing with, has aged her considerably, especially in these last few years.
127715	135238	John is a man that's probably about 45 years old now.
135278	136299	48 years old now.
136319	137940	Okay, how old's my mom?
138340	139140	About that age.
139200	139960	Four and a five.
140221	146543	But the way she has basically lived, she's at least 20 years older and not in good health.
147224	147564	Okay?
147984	152686	So... What's killing her is the sickness.
153026	153627	It's not...
157120	160162	It's something that would normally kill a healthy person.
160963	162644	It's some kind of a flu.
162745	176556	However, because of her weakened state and the way she is and her grief, she has basically not been able to deal with this sickness.
183826	193536	She has a moment of clarity and she looks at you and says, Paul, what will you do without me?
198622	199062	Please.
202226	203107	I can't believe you.
205790	206190	Okay.
210857	212477	Am I supposed to respond to that?
212897	214198	You don't have to if you don't want to.
214758	217419	I'll be okay, Mom.
217459	218899	You say, I'll be okay, Mom?
218979	220019	I'll be okay.
220039	220259	Okay.
221199	224340	She looks over at Jeon and goes, You will take care of him, won't you?
225060	227021	Jeon, please, this is my brother.
227041	228841	This is your duty.
231262	236783	The prince looks at you and says, Of course he will be taken care of.
237783	239644	He is my blood, as are you.
242557	243640	I will do right by him.
249272	250856	If you tell me who his father is.
255798	258640	Okay, so she kind of looks back.
258660	259641	Right here, right now.
260622	265126	She looks back, she looks at John and says, I know you've hated me for years, John.
265146	268349	I know you, I know you, not, she doesn't say, I know you've hated me.
269049	272612	I've known, I know you've wanted to know this history for years, John.
275455	279999	Paul, know that your father was a good man.
280019	281740	Okay.
282060	283362	And I loved him greatly.
283482	283722	Yep.
287101	291184	I promised I would never reveal who he was.
291905	293686	He was to come back to me.
294647	295788	He was to come back.
298009	299390	And then she looks at Jeon.
300251	302753	He's of royal blood, brother.
306696	307636	I loved him dearly.
309838	313881	Do not hold my secret against me on this.
315812	325894	I fear that if you, I fear that if it was known what had happened, the scandal that has been my life would be greater.
327554	329235	John kind of looks at you.
332375	340157	And then he says, she says, promise me, promise me that you will do right by your nephew.
346950	347691	And then she dies.
348812	349393	Oh, shit.
351935	354017	Your uncle begins to cry.
355939	361605	And you can tell that he cared for her greatly.
361625	365909	You always knew this, but you realize right then because the guy is a...
366889	371193	Prince of Pirates and has seen a lot of horrible shit.
371233	372634	He's seen a lot of people die.
372774	376637	So this one obviously hit home.
376657	378299	So this was a big blow to him.
378459	378819	Okay.
379059	386065	And he puts your sister's hands on her body and he takes her hand away from you.
386405	386866	Gently!
387286	388047	Not in a mean way.
389228	393932	And puts it there and then closes her eyes.
396967	404713	Then he says to you, Well, Paul, at least her suffering is over.
407254	407555	Yeah.
414820	417542	Know that I know it is not your fault that she never...
418908	421390	Would tell me the truth of things about your father.
422091	427115	I assume you have as much resentment towards her as I do regarding that fact.
427915	428235	Yeah.
434520	435761	I will honor her wishes.
435862	437443	I will not throw you into the world.
439104	439685	That'd be good.
440065	442227	That's a good start.
444488	446130	However, to be honest with you, I have
449175	450276	No real use for you.
453258	453558	Okay.
461124	462225	This wing of the castle...
468230	470592	I allowed your sister, I mean your mother to have it.
475395	477157	Hopefully it would give her some solace.
477977	478398	However...
484812	486193	I do have other relatives.
486373	488034	You and I do have other relatives.
489614	491075	Whose station is above yours.
491735	495017	And who could move in here.
502180	509684	I would ask that you move back into your mother's childhood apartments.
513928	514368	Where is that?
515028	516509	They're on the east side of the castle.
516949	518170	You lived there as a child.
520231	520751	Do I like it?
523352	524272	You don't hate it.
524972	527834	And actually, it's very isolated.
529154	535277	And you've been there a few times.
535437	535937	It's small.
537197	540259	But it has a really nice view overlooking the ocean.
541759	543400	And in fact,
546122	551224	In a way, you felt very uncomfortable in the opulence that your mother demanded.
551284	551844	I can imagine.
552385	560187	And I think your uncle is making a, not a horribly unreasonable thing, a request at you.
560227	562068	It's not really a request, it's gonna happen.
562168	563349	He's telling you it's gonna happen.
563969	567570	But he spent a lot of money on you and your sister, I mean you and your mother.
567610	568530	Yeah.
568550	570451	And kept her living in a...
575599	586245	Lifestyle that was equivalent to what Jeon lived.
586265	593689	As long as I'm not being moved to a shithole.
594050	595891	I don't want to be put in the dungeon.
595911	598352	He's not going to stick you in the dungeon.
598512	599953	He's going to stick you in the corner.
601676	603517	And it's not a bad corner.
603597	605298	If I like it, then I'll be okay.
605338	608099	Yeah, it's definitely a downgrade.
608600	608940	Of course.
609100	619125	But it's like, you know, moving from the honeymoon suite down to a normal room.
619445	619625	Yeah.
620066	620806	Single bedroom.
620886	621446	Yeah.
621646	622527	And a good hotel.
622547	623047	Yeah.
623247	624808	Right.
625909	630391	Then Jeon says, moreover,
637986	657695	Well, we can talk of this later, but in the coming months, I plan to more and more exclude you from the Monmurgian Council.
657976	666820	I know you've been there in the past, as my sister has demanded, but in truth,
669013	672314	I see no reason for you to have to attend.
672834	675855	You can pursue your own interests, as it were.
676335	678476	The library will always remain open to you.
683318	685338	Just avoid the peak uses.
687499	688639	What does my character think of this?
692080	693161	I don't think I'm surprised.
694121	695101	You're not surprised.
695902	696702	You're disappointed.
698218	701319	And it's very apparent to you.
702099	706940	I mean, so the thing is, is you can try and ask your uncle for more stuff.
707080	710120	But the thing is, is obviously he is, he's saying something.
710140	716901	You've never really understood why your uncle said no to you, except the fact that you knew your mother.
717121	718682	Uncle, you've never really given me a chance.
719102	719602	You say that?
719822	720042	Yeah.
723162	723883	What use are you?
725363	726043	Why don't we find out?
730775	733217	I've been teaching myself for the last 23 years.
736539	738881	Do you believe you have some value?
739121	739381	I do.
742584	743484	Well, there is that.
743504	745586	Okay.
