start	end	text
1016	12702	Okay, by 2 p.m., Paul Ribeiro has returned to the Palace of Jeon, going through the different fortifications and into the royal chambers.
16523	17584	What do you want to do?
17604	21806	You gotta look for Jeon.
22386	24587	Okay, so you want to go up to his private offices?
25127	25327	Yes.
25928	26268	Okay.
30058	35119	You get there, it's around 2 p.m., and his guards are outside in front as normal.
36420	38040	And you go up to them and what do you say?
38660	40961	I need to speak to Prince Jeon, please.
43921	44361	Can I ask?
44681	46122	Can I tell him what this is about?
48322	48842	I'm Paul.
50323	50803	Yes, Paul.
50823	51503	He's very busy.
51523	51963	What is it?
53223	54164	It's important matters.
57644	58165	Regarding?
59005	59645	Not your concern.
61485	61765	I see.
63387	64408	I'll see if he will see you.
66830	69212	He walks into the chamber.
73155	79501	Normally, John would have scheduled a time with you.
80162	83465	I mean, he was attentive, but obviously very, very
89806	94007	He was concerned about making sure things were done in a way.
94027	96507	He didn't want to give you access to them all the time, right?
97428	105849	But the guard does come back out and he says, he'll see you, opens the door, and Jeon is behind the desk.
107370	111490	You walk in, and the guard closes the door behind you.
113191	114051	Jeon says to you,
116539	117760	Paul, this better be important.
117820	118581	I'm very busy.
119481	120922	We're dealing with a blockade now.
122384	122884	So I've heard.
122904	131871	I have learned a very great important news regarding me and my mother and my father.
134613	135554	That was quick.
136415	136575	Yes.
138883	152852	I found these letters that were written to my mother by a man of name Grayson, which I believe is my father, and is the son of Miss Jamis.
155153	155974	Lady Jamis?
156174	156394	Yes.
159115	160336	I have spoken with her already.
160536	162778	The son of Lady Jamis, but not Lord Jamis?
163878	165679	No, Lord Jamis.
165900	167861	Ah, Lord Jamis isn't Lady Jamis' son.
169415	170955	Yes, I knew Grace and his boy.
173616	175476	These letters confirm that he is my father.
179497	180417	Where did you find these?
181018	184418	I found them in my mother's room in a chest, hidden away.
184618	186399	I had searched her room many times.
186719	187459	Where was it hidden?
188939	193120	There was a closet.
193140	194260	The old chambers?
194721	194901	Yeah.
195121	196081	The old secrets?
196641	196821	Yeah.
208893	209313	Who's they?
211054	211634	Your mother.
212974	213475	Grayson.
214315	214895	Someone else.
215435	216756	Obviously they had found it.
218736	220557	I knew she wanted that room for a reason.
222698	224378	She was very tricky in her ways.
226539	227739	You're sure it's Grayson here?
228179	229080	These letters prove it?
229720	230020	Read them.
231601	233121	He starts going through it.
238043	238723	Basically,
241465	251850	He has a scowl on his face at the beginning, but as he reads through the letters, you can tell that he is relieved.
257573	266597	Actually, he starts nodding and looking at these things.
272535	282463	And says to you, Well, Paul, I must say, you brought great peace to my mind.
283703	284204	I thought I would.
285925	289428	The scandal back 23 years ago was hard enough.
292430	295813	But honestly, Grayson Jamis is
301391	306392	Yes, I can accept him as your father much more than I can others.
308032	309093	Jason was a good man.
310833	323095	He was honorable and intelligent and I'm glad to know that he loved your mother.
325696	330637	They were inseparable as children and I think your mother had a great fondness for him and I'm glad to know that
336258	337919	I'm glad to know that he is your father.
338860	343083	Below your station, or my station as it were, your mother's station.
344184	348067	But things could have been much worse.
352130	352530	What do you mean?
361637	363678	The letters mention this man, Archibald.
364099	365360	Yes, I know of him.
369040	370921	He was a demon, Paul.
372822	377845	And the thought of you coming from him was unbearable to me.
381467	382268	He was cruel.
385610	388431	He was arrogant.
390072	394055	He thought himself above all stations, even though he had no name.
396156	397697	The worst part about him, however,
398942	403423	Was that he was brilliant.
406103	408724	His mind was like no others.
409684	414865	And his charm, although it was false, was incredible.
417846	421587	I learned at a very young age what Archibald truly was.
422647	428488	Because as he would charm those that were above him and manipulate them to his will,
429593	433895	Those that were weaker than him, he would torture.
434976	440879	And he knew how to do it in such a way that it would never come back to him.
442300	444001	His torture, you see, was not physical.
446223	446943	Not always.
447123	449604	Even though if he thought he could get away with that, he would.
451005	451666	It was mental.
452066	459130	And the mental anguish that he caused me, even though I was older than him,
460660	462140	Was not insignificant.
470642	484105	I always told my father that he was not a good influence on your mother and still he brought
486105	493169	Your mother, Grayson, and other couriers in our land into his orbit to do what he did.
493830	496511	I could see through him though, and I knew what he really was.
498493	500834	Not a man of value, but a man of vanity.
504997	514923	To be honest with you, my keeping in you at arm's length all these years had nothing to do with your deformity.
516790	520252	It had to do with knowing this secret.
520992	528135	Whether or not Grayson was your father or forbid it, Archibald Fryholm was your father.
532537	541961	I have watched you over the years and I think you as aloof, I think you as
547948	551671	Well, socially inept in some cases.
552751	554993	However, I don't see you as a cruel man.
555453	556954	Archibald was that cruel.
558135	563499	And I don't know if it was your deformities that saved you from being able to develop his character, manipulate people,
575340	577461	It is good though that I know now that it is Grayson.
578522	582244	This takes away many concerns from me.
586066	586586	Good to know?
588748	593591	It's also good to know that your mother favored Grayson over Archibald.
595251	601055	And the fact that she would never tell me was torture beyond belief.
