start	end	text
1188	10950	It is the second of Wealsun and Monmurg, things are uncertain.
13851	20333	Monmurg is a city perched precariously on the edge of prosperity and ruin.
20493	30595	In the month of Wealsun, in the 579th common year of the Keoland's calendar, the air was thick with scent of desperation.
31698	40725	Monmurg, the jewel of the azure sea, had long thrived on the lifeblood of trade, its veins pulsing with the wealth of nations near and far.
41706	49713	Yet now, the very arteries that sustained it were severed, and the city found itself gasping for survival.
51836	62266	In the past, Monmurg's formidable navy had been the guardian of its prosperity, its ships slicing through the azure waves with the grace and power of a predator.
63167	74177	The sea lanes were its domain and the nations of Onwal, Irongate, and beyond paid homage in the form of trade, their vessels laden with britches destined for Monmurg's bustling markets.
75347	85408	From the fertile lands of the yeomanry came cheeses and meats, while the duchy of Berkhof sent grains and rice, the bounty of their vast plantations.
86505	87847	The city was a hub of commerce.
88107	92192	It stalks a cacophony of voices and a clatter of goods being exchanged.
93373	105568	But now the tides had turned and Keoland, a powerful rival, had openly declared war, casting a shadow over the sea principalities as the Keoland Navy blockaded the trade lines.
108152	118443	The blockade was a noose tightening around Monmurg's neck, and the once bustling trade routes lay silent, their ships diverted to Redshore by the cunning Duke of Gradsul.
119564	127713	His navy, though inferior in might, had somehow outmaneuvered Monmurg's fleets, leaving the city bewildered and beleaguered.
129016	141164	Whispers of supernatural forces and treacherous storms swirled through the taverns and marketplaces as the people of Monmurg searched for answers as to the cause of this chaos.
142185	143405	The situation was dire.
143666	149750	The traders who had braved the blockade found themselves trapped in a city teetering on the brink of famine.
150748	157612	The foreign district was a tinderbox of unrest, its inhabitants driven to desperation by hunger and fear.
158613	167459	Lord Jamis, tasked with maintaining order, found his patrols stretched thin, their presence a mere bandage on a festering wound.
168800	173083	As if the blockade were not enough, the specter of piracy loomed large.
174163	178146	The Scarlet Rat, a pirate of fearsome repute, had struck Port Torvin,
178880	185063	Leaving it in ruins and its warehouses once full of supplies destined for Monmurg reduced to ash.
185743	188904	The town, once thought secure, lay in tatters.
189885	195347	Monmurg was under siege, its lifeline severed, and the specter of starvation loomed large.
197053	199294	The political landscape was no less tumultuous.
199734	210038	The prince of Port Toli, a key ally, had turned a deaf ear to Monmurg's plight, his promises of aid as empty as the city's granaries.
211179	217521	Rumors of discord among the sea princes, fueled by the contentious slave trade, added to the city's woes.
218142	225985	The prince of Monmurg, caught in a web of intrigue and betrayal, faced a future as uncertain as the storm-tossed seas.
227867	232250	In the midst of this turmoil, Monmurg stood at a crossroads.
232990	237633	The city, once a beacon of trade and prosperity, now faced a future shrouded in uncertainty.
238294	244198	Its people, resilient and resourceful, clung to hope as they awaited the turning of the tide.
245739	252383	For in Monmurg, as in all things, the wheel of fortune was ever turning.
255140	259322	Okay, so that's the backdrop of where you guys are at.
261863	264065	All of you, apart.
264245	265545	Questions before I go on?
265565	271968	Who again is on Helms Island?
272429	284375	Currently Helms Island, which is an island in the middle of the Monmurgian Straits, which is the main military base of the Sea Princess fleets.
285423	292584	The Commander of Helm Island rotates between the Princes of the Outer Isles and Monarch.
293464	294745	That's on this island right here?
295025	297225	It's that little speck right in the middle.
297645	300426	Is he allowed to see this or is he allowed to see this?
300466	302806	You are all allowed to see that, right?
303506	305046	So it's that little dot right there.
305066	306247	You know the details of everything.
306347	308207	You know where the rocks are, right?
308907	310647	That's that little speck right there.
310667	310727	The
316058	322583	Command of the island rotates between Monmurg and the Three Adirados.
322744	325586	The Prince Toli does not take command of that.
325666	327648	It's an Oeridian thing, basically.
328468	334573	As only Corsairs and Oeridian fleets dock there.
335274	336435	They are allowed to dock there.
336635	337896	Fairwind is the current command.
337916	338957	Fairwind, okay, yep.
341659	342040	And then...
347641	348424	Any other questions?
351847	356468	The pirate attacked, Scarlet Wrath was his name?
356729	366211	Yes, Scarlet Wrath attacked a very small port called Port Torvin, it's not really on the map, it's up near the mouth of the Hull River, and he burned it to the ground.
366271	376895	It was a small town, but the thing about Port Torvin is it had a large stockade where all the trade that came from the land up the Hull River
378742	388147	The goods would be transferred from river ships into a stockade and then picked up by seagoing vessels later and brought to Monmurg.
388508	390209	So that's kind of how that trade happened.
393330	396272	And he attacked there and he burned that place to the ground.
396452	403456	And what was bad about that is that's where a lot of supplies, the food supplies, come from to the city of Monmurg.
403676	404697	And then the blockade is...
407650	408610	What was that port again?
409371	410011	Port Torvin.
410471	410911	Torvin.
410991	411332	Right there.
411952	419815	So what the deal is, is normally ships come in from the north and come into Monarch from over here.
420936	424777	Keoland is right here, like that, up there.
425938	428799	So the Duke of Gradsul, Gradsul is right there.
429715	429996	Right.
430396	433341	And his navy is coming down and making sure this.
434362	435584	No one gets to go there.
435965	436365	I gotcha.
436405	442655	And he's diverting ships to this little island called Redshore, which is in Keoland.
443718	454701	Redshore is like a whaling town, and it's fairly large, maybe 7,000 people, but they don't have the docks to be able to absorb that amount of tonnage that comes in.
455181	462242	The Monmurgian docks are probably at least 10 to 15 times as large as what Redshore's is.
462823	467043	So it's doubtful that they're able to absorb the trade.
467384	471765	Basically what's happening is Gradsul is saying, you're not going to get your stuff.
472325	473105	It's not going to happen.
481257	481677	Okay.
483359	483959	Any questions?
485501	486221	Things to clear up?
488043	489524	I have a question about my character.
489884	491025	Sure.
492887	496130	Did my dad die or is he still around and just retired?
497651	498191	Your dad died.
499692	499993	Okay.
501074	501614	Neat.
504496	504917	In battle.
