start	end	text
556	6999	Second of Wales, son, after the sun has set... We were able to get a rest in here, right?
7179	7399	Correct?
8119	15963	The party, resting and communicating with the barracks for about an hour, trying to figure out what their next moves are.
16723	23586	So, there was communication from the barracks, obviously from Jude, correct?
23946	24207	Mm-hmm.
24527	24727	Yes.
26467	42637	You communicate back and forth using the mirrors and light, basically the lantern signals, and what you find out is that Jude and Paul Rivera are in the garrison.
42717	47440	The garrison is controlled by the sea principalities.
48060	48580	There are 150 men there.
54638	60080	Basically, they're waiting for you if you want to come and deal with them.
62661	79587	There's some urgency at this point in time associated with the fact that the island, which is surrounded by sahaugin, cannot get reinforcements until they're driven away.
81873	84934	Jude says he has a plan to do this.
85714	86015	Okay.
89696	93377	Well, trust the little elf, he's pretty smart.
96658	97919	I'd say our plan is...
99215	105861	You and I, we're going out ahead and we're bringing these two with us and I think three swords and two bowmen or two bowmen and three swords.
105881	107063	I think that's what we're doing.
107223	107483	Right.
108144	110926	And then the sergeant, is that what he was?
110946	116131	The sergeant is holding back here with the other men and make sure
117092	120975	We don't get flanked from behind or anything from the ones that are in the other.
121195	128160	And also, basically what he said is any boats that are sailing this way, he will signal them and say, don't come.
128480	128781	Okay.
128901	129421	Sahaugin.
129821	134645	And we have enough so that we can signal back whatever we need to signal back to him.
136686	139368	I'm asking the Bard, do we have what we need to signal back to him?
139508	140109	Yes, yeah.
140129	140309	Okay.
140389	141990	Well, what you have is this.
142330	144132	You're not taking anything with you.
144906	147728	When you get to the barracks, you can signal back.
147948	154091	But you're not going to take the lantern that signals there.
157433	161195	So I think I'm five down still after the short rest.
161475	162356	Would that be correct?
162476	162676	Yes.
162736	165177	Okay, because I'm using the new sheet you updated here.
166518	166758	Cool.
167819	169580	Now, what I will ask...
171052	175596	Is that the Paladin picked the spells that he's going to have?
175876	176757	Yep, I have them marked.
178038	178338	You do?
179059	180480	Yeah, these ones are already...
182502	182962	I've got...
183022	185344	So you get to pick four.
186785	187306	I've got...
190549	193031	Compelled Duel, Cure Wounds,
196677	198457	Searing Smite and Thunderous Smite.
198737	198957	Cool.
199318	203038	And you always have Divine Smite?
203078	206019	Yeah, the ones that are... That's a question.
206059	211900	So these ones, are these in addition to, or do they count as... Those are always ones you have.
211980	217761	So the third-level ones, which are Compel Duel and Command, you always have.
218161	219982	So if you picked Compel Duel...
220262	221062	I need to pick a different one.
221082	221822	Pick a different one.
221842	223502	Okay, then I will pick Shield of Faith.
223722	224903	Because it's the original.
225983	226263	All right.
227367	236489	So, you finish communicating with them around 10pm.
237009	240710	At what point in time do you want to try and sneak off?
241430	242650	I'm saying as soon as possible.
243231	247452	Once nightfall and it's a clear night too.
247752	250732	I mean, we're going no matter what.
250912	251132	Yeah.
251632	253773	And if you decide that they were going to
255352	264620	The tower archers were going to, our archers in the, where they're at, they were gonna kind of cover our tree to create a diversion sometimes?
265341	267983	Yes, they were gonna go out forward.
268624	270405	No, we were gonna go out this way.
270425	271386	We were gonna go out the back.
271406	275149	But they were gonna go on the top and shoot at the barracks that was there.
275169	275249	Yes.
276910	282053	Creating an aversion while we take off at least so we're out of harm's way from them.
282433	282653	Right.
283174	288036	Okay, so you're taking with you two crossbowmen and three soldiers?
288897	290277	Yes, I do believe that is correct.
290577	290878	All right.
292979	300563	So, your party collects at the back of the tower.
300963	301263	Okay.
302423	303404	What's the marching order?
303504	304364	Who's going to go first?
304404	316413	I'm going to go first because I know the terrain, I know the island first, and then Gouge is going to follow behind me, kind of, not at a distance, but... Keep you in sight?
316533	316753	Yes.
317413	318154	So I'm going to scout now.
318774	320275	And I can be stealthy if I...
320315	322997	I'll keep Gouge in sight and then everybody else can be behind me.
323017	323598	I'll follow behind you.
323698	325239	Yeah, you should be within the...
325559	330803	Okay, so you go out first, and you go out the back of the tower, and...
332235	334816	Basically start trying to go make it towards the bridge.
335156	335656	Correct?
335856	336456	You're stealthy.
336976	337596	What's your stealth?
340177	340657	Plus five.
341177	341417	Okay.
341697	342337	Roll a twenty.
342697	343397	Tell me what you get.
344317	345058	Turkey.
346718	346998	Twenty.
347438	347758	Twenty.
347938	348218	Okay.
348898	352379	He goes into the night and becomes dark.
353339	360521	Basically knowing the contours of the coastline like no one else, hiding in the grass.
361661	364903	Basically just becoming one with the night.
364983	370427	Even though there's a moon, it's almost like the shadows he knows as well as he knows the dunes.
