start	end	text
1895	20318	Second of Walesun at 11.15 p.m. Paul is sitting in the barracks main command center when the sergeant brings in four individuals that look like Marines.
21858	31340	Basically, the sergeant comes in and says, Prince, here are four men from the Southern Garrison reporting to you.
34678	34958	Hello.
37219	37479	Paul?
37659	39719	Which one of you is the gouge that I've heard about?
39739	42700	I step forward.
44620	45001	What's up?
45021	45261	It's me.
46361	46621	Hello.
46981	47821	I've heard a lot about you.
48821	52842	I've not heard a lot about you, unfortunately, but I'm glad you're safe.
53002	53603	Doesn't matter.
53863	57944	Anyways, how was your journey from, what town did you guys come from?
58024	58984	The south?
59784	60364	South Beacon.
60504	61164	South Beacon.
61184	61545	Was that...
63601	64642	Yeah, things are not well here.
67085	71670	As we witnessed on the landing there, so we've got that under control.
73792	74453	He's commanding.
75794	79258	He's commanded the sergeant there and got them all set up.
80565	81145	And what is your name?
81686	82106	Tyrus.
82486	82887	Tyrus.
83247	83987	And I meet you.
84047	84328	Huge.
84708	85108	Okay.
85208	90992	We traveled in and there was no, um, we had no detection coming in, no trouble coming in through the woods, through the wilderness.
91012	98217	We didn't go to the coastline because I saw down in the water several sharks and hogging.
98778	100339	Merrick, I was sent by Lord Jamis.
100479	102941	Merrick, good to meet you.
103041	103861	I am Paul Rivero.
104902	113224	If you know me or not, I am of nobility to Lord Jeon and nephew of Lord Jamis.
114144	115264	Or, did I get that right?
115584	117025	No, nephew to Lord Jeon.
117145	117945	Nephew to Lord Jeon.
117965	118525	Prince Jeon.
118545	120245	Prince Jeon.
120285	122046	Yeah, okay.
123906	125547	I'm sure you know the situation here.
125887	126447	No, we don't.
126827	127547	No, okay.
128107	131148	Well, the Sahaugin have
133055	145360	Surrounded us, there's not much else to go around, and we have reasonably that there is at least 300 to 250 hobgoblins around on this island alone.
146981	155684	And we have devised a plan we can clean, enjoy, and what was the captain's name?
157099	157639	The captain?
157760	158160	Which one?
158180	158780	The sergeant?
159321	161402	No, the captain of the barracks.
161863	163404	Oh, well, he's the sergeant.
163444	164204	The commander.
164465	164965	Oh, okay.
165005	165325	Steve.
165345	165646	Whatever.
166086	167087	Steve.
167107	167727	Well, is that Steve?
167767	169108	His name's Steve, okay.
172515	175116	So we came in on...
175156	176296	Right here is where you guys came in.
176316	178496	We saw you... Yeah, we came in on this dock.
179036	179716	The ship is gone.
180077	181537	200 Marines, they're gone.
181677	181977	No more.
182117	182577	Lost.
183017	185158	So we came in and landed here.
185718	187638	We took over this tower.
188258	194119	The lighthouse is still manned by hobgoblins and the barracks are still manned by hobgoblins.
194139	195660	We have about...
196120	196560	I think about...
197539	199240	Twenty was left.
199540	200201	Twenty-five guys.
200221	200961	Twenty-five guys that were left here.
200981	203163	You guys dropped with, like, what, thirty Marines?
203303	208607	Yeah, we lost a couple, but we have about at least twenty that are holding this tower along with my sergeant.
215423	221646	And we can signal to him, if we need to, they're just going to hold this position for the moment and ward off ships.
221666	222766	That should be fine, yeah.
223027	225128	And then so, as far as the...
225688	226068	The helm.
226248	228089	Do you have any information on that?
228109	228830	I do.
228950	230430	I do have some information about that.
