start	end	text
711	8396	Second Wealsun, as Jude and Paul rush back towards the docks as they see their ship under attack.
14839	17061	So you've used your action to dash, right?
17161	17981	Yes, totally.
18101	18422	Okay.
18442	20303	So it'll just be reaction for a shield.
22544	23765	And he said he was going to dodge.
23785	24205	That's right.
25546	26586	I saw you roll that one.
27167	28307	No, no, no.
28407	29568	I didn't roll around one.
36949	40690	A creature that comes out of the water right there with a sphere.
41391	51354	This creature looks like a man in shape only, but it has a huge mouth with sharp teeth.
52514	54055	It's a wide mouth fast.
54195	59437	Its eyes are these black orbs.
59497	60317	Doesn't matter, fuck em up.
60337	61898	They look completely lifeless.
61958	62518	Fuck em up.
63865	64986	Another one comes here.
65886	67907	Another one comes here, Jude, and you see him.
68647	74250	Okay, can you give me an idea of how many feet, like how many hexes to the ship?
74690	75111	Back here.
75451	78072	Fuck, so that's gonna be at least two more dashes.
78112	80193	Well, maybe three dashes.
81174	83215	And the ship is, as we're running...
83915	85276	The ship is fully...
85936	86657	It's in combat.
86777	87538	It's in combat.
87578	89819	Hardcore combat.
89879	90780	They look outnumbered.
91060	91240	Yeah.
91420	91680	Okay.
92081	92341	All right.
93502	100446	And is it just right here that we see, or do we see sea shit popping up even more?
100967	102128	I guess what I'm asking is that...
102308	109613	Deeper down, you see people coming up onto the docks from the water, pulling themselves up to be in your way.
110073	114297	Okay, so there's more than just your fish sucker face and sucker face.
115017	119481	It's like, as you would run along the docks, there's a whole bunch of shit.
119501	119801	Yeah.
120021	120302	Yeah.
120422	120902	Dozens.
121182	121783	Motherfucker.
124505	124805	Okay.
125566	126046	Finish.
131311	131511	Twenty.
131611	131831	Twenty.
131871	132251	Five.
133352	133672	Ten.
133813	134193	Fourteen.
134453	134974	Fourteen.
139681	140782	Jude gets a 24.
142822	143603	Here's what they get.
145764	145824	13.
147645	149826	Okay Jude, you first.
