start	end	text
2498	7161	I could have well done at around 10 p.m. You guys discussed things.
8702	11004	So you got a problem with me saying I could levitate?
11044	12745	No, it's just really funny.
13245	15827	Because you looked at me and I'm like, and I could levitate.
17776	21218	Well, I mean, it's, you know, sometimes it's a little awkward.
21259	33847	Hey, I don't usually, I usually don't just lead with like what spells I can do, but we were talking about, he was saying that it would, he thought it would be hard or impossible.
33867	35729	No, he's all, you're a magical user, I was like, yeah.
36209	37910	And like, let's take it.
39091	42053	Well, you didn't see the explosions on the dock, the wall of fire?
42073	42313	Yeah.
43874	50680	He didn't, by the way, because he's in the garrison.
52903	56746	Well, I mean, now, are you ready for this?
57547	58147	Yeah, I'm ready.
59308	61029	You still want me to make the masks?
61549	61869	Yes.
62089	63690	I do think that if you can make...
64050	65831	I mean, at least one.
65911	67692	If you can pull off a good one, great.
67832	68973	I mean, that's awesome.
69673	74135	That's absolutely necessary if you have to put all your time because you've only got two or three good ones.
74395	78437	If you can do three that are passable, that would be amazing also.
79057	81118	So, I mean, I'd like you to definitely see that.
81138	82579	Get some, like, gooey eyes.
83219	92785	I mean, you saw roughly what their faces were, so I don't know what you need to start with, but I'm sure that the captain... Or you could just grab a dead hobgoblin and just let me look at it.
93225	93985	Yeah.
94005	96847	Well, they'll be bringing them in imminently here.
96987	100449	And we'll see how many salvageable suits there are of armor.
101029	105972	I can't cast magic and wear one of those things, but, I mean, I can put a cloak on if they had a cloak.
105992	107313	You can't put a paper mache head on?
108412	114155	I mean, I guess I could put a paper mache hat on, but I'm gonna be levitating, remember?
114795	118297	You guys will be up there directly.
118357	119257	I will be levitating.
119357	119797	That's right.
119817	120838	You'll be levitating.
120858	121378	My bad.
121458	122078	My bad.
122399	122999	Geez.
123099	124660	I'm not- What little spell is that?
124780	129822	If I need to walk around with a hobgoblin paper mache on mask, things have really gotten fucked up.
131722	132482	I'm gonna be behind.
132542	136723	I can just imagine a hobgoblin with a bad paper mache.
136763	139924	Let me tell you what the... Well...
140445	144386	The other hobgoblins are like, what the fuck?
144406	152028	Now, I need, I need, I need you to know you're probably gonna need to be able to take orders from, not from me, from Gouge.
153428	154989	Why are you, like, what?
155729	158970	I'm telling you you're gonna need... Is Gouge just a nut job?
159874	161455	Well, yeah, that's beside the point.
161535	163736	It's also a really deadly nut job.
164797	171801	I'm telling you that if you're going to go on this, you can stay with the captain if you want, and you can do great service.
171861	173182	No, he'll go with you.
173262	175403	Okay, so then you're going to...
175483	177825	I guarantee you... How do you know this guy?
178985	183388	I've fought a war with him on the eastern... Eastern... Eastern war.
183408	184109	I fought a war with him.
184129	184529	What war?
185905	189370	The Great Kingdom, was it a Great Kingdom or was it... South Province.
189490	190311	South Province.
190812	191252	Not Great.
191292	195458	And a D. The land of a D. But the South Province is allied with the Great Kingdom.
195838	196078	Yeah.
198321	200264	The South Province of the Great Kingdom.
200444	200684	Right.
201165	202767	Yeah, that's what it is.
203769	205390	Well, you were asking me about Gouch.
205490	208731	I've traveled prior to the war fighting with him on the infrastructure.
209311	214313	I've also... Is he like an ADHD million miles a minute nut job that has a...
214593	215214	He's a killer.
215374	216454	Slit throat hand?
216734	217614	Yeah, he's a killer.
217815	218855	Okay, cool.
219235	220175	That's nice.
220195	223736	So I'm just saying, like, he'll know who you are.
223756	225057	So what if I disagree with him?
225097	225997	He'll know who you are.
226057	229638	Like, they were concerned, he was concerned about your welfare, so he already knows who you are.
230679	239201	I'm just saying that, like, on this kind of a mission, if he's gonna, you can still have agency, you can still, obviously, you have skills.
239761	242482	So I'm not saying you have to keep your mouth shut and, like, bend over.
242622	244463	I'm just saying you need to, like,
245763	249747	You just need to be ready.
249787	254991	If he tells you that he's gonna need you to do something, arguing's not in his wheelhouse.
257533	262496	Anytime that I've ever argued with Gouge, I've been half prepared to have to kill him or try to kill him.
263357	265459	In case the arguing wins.
266039	267220	But no, we just never argued.
269193	270794	I'm just saying, that's how I approach.
270814	272714	You just said you've argued every time you've argued with me.
272794	274995	No, every time I've ever thought that there was an argument coming.
275415	275515	Oh.
276155	277456	Which, trust me, there were many.
277836	280817	So, I'll bark nobody?
281497	281697	Me?
282017	282798	I levitate shit.
283438	283558	Oh.
283758	285038	I'm busy levitating.
285499	285939	That's you.
285999	287379	Well, and I do walls of fire.
287479	288520	Walls of fire.
288540	290520	I blow towers with troops in them up.
290580	293281	Blowing towers with troops in them and levitating them.
293301	293501	Right.
293521	294942	I also have the magic missiles.
294962	295402	That's great.
295462	296682	Oh, your magic missiles.
296862	297563	I got more.
297823	298343	I got more.
299530	300171	You got more.
300611	301532	I'm sure you do.
301992	304094	I'm sure you'll be levitating all of you.
304134	305475	Look, are you going to be fine with this?
305495	308037	I'm sure you'll levitate your ass right up to the tower.
308097	310259	Are you going to be fine with gouge running the mission?
310279	313642	Yeah, as long as he's not wagging his dick in my face.
314322	315463	I don't think he will.
315863	316884	Okay, then we'll be good.
318325	324150	I mean, I don't, I mean, unless he's changed a lot.
324170	325872	Depends on how much he says to drink.
325952	327513	Yeah, that's not right.
331780	332881	He's never done that to me.
333622	337386	Yeah, we'll be good.
338347	343072	He has seen me get beat up by an undead revenant while he sipped his wine.
343132	346195	I don't think he actually ever raised his hand, did he?
346696	346876	No.
347196	354204	It was karma, I guess, because we're laughing as he was all like... You gotta just sit there and go, whoa, that's funny.
358432	359453	Okay.
359493	360553	Yeah, so paper mache.
361374	361914	Disguise.
362414	362875	Alright.
363955	364956	Is there anything I can do to help?
365336	366117	You can levitate.
366137	368198	I'll go levitate him.
369259	371360	Do you wish to start a long rest?
371440	373001	If you do that, that will...
374239	378081	Yeah, well, if I've had a short rest... Can I join another short rest?
378101	379382	Does that equal a long rest?
379562	379762	No.
380022	384825	Okay, so it would have to be... Is a long rest for me four hours?
385125	385385	Yes.
385445	388026	So if you start now, it'll be 2am.
388266	391768	Yeah, so I'm gonna go meditate, but I don't know if I'll be able to finish it.
391788	395330	But I already did get a short rest, so I got half of my spells that I had cast by.
395370	397671	You can get three spell slots back.
397691	398592	Oh, that's right, that's right.
398692	399973	And let me see if I already...
400713	402315	So I didn't erase anything.
402355	404096	So I only cast Wall of Fire once.
404777	406799	I cast Fireball once.
407799	409000	I didn't cast anything else.
409061	413725	So that would either be getting my Fireball back or my... Oh, I couldn't actually get that.
413845	414866	It would be your Fireball.
414886	416207	So it would be my Fireball back.
416407	418549	Or at least the one third level slot.
420010	422633	And if he wanted to push it till later...
424109	425811	Yeah, I mean, I'll go ahead and start meditating.
426111	428793	Worst case scenario, you're gonna do your disguise.
429334	430315	I'll go meditate.
431236	433298	The captain knows what the plan is.
434419	437282	So you can talk to Gouge.
438142	439422	I'm gonna go meditate.
440202	441463	Not meditate.
441543	442883	I'm gonna go meditate.
443083	443763	I'm gonna go meditate.
443803	446383	You're gonna make that big deal every time.
446483	452665	You're gonna be talking to Gouge, because I can't like have you disturb my meditation and still be able to recover.
452685	453605	Alright, cool, whatever.
453785	455785	I'll just make it paper mache.
455845	458126	So, this is the plan.
458866	459206	Okay.
460106	465787	Basically, you want to tell Gouge that you can attack
467340	470702	Or try and infiltrate the helm from the back side.
472062	477344	Climb upon the walls over here and try and enter it that way.
477804	480906	That's the plan that you guys have come up with?
480966	481226	Yeah.
481946	485327	While the troops demonstrate to draw attention to the front.
485527	485727	Right.
