start	end	text
391	8838	Second Wealsun, probably around 2 p.m. in the afternoon, Gouge and Paul discuss their next steps.
9619	9899	Jude.
10199	10540	Jude.
10820	11280	I'm sorry.
11300	23310	Yeah, so, I mean, I'm thinking that we need a lead on, well, we're not going to get a lead on Khaleesi right away, but who the hell is selling those masks?
23330	24772	You know what that mask is, correct?
25412	26073	Yeah, I get it.
26113	28495	I mean, you didn't just pick it because it looks cool, right?
28535	28935	No, I kind of did.
30227	30567	You did?
30727	31547	Well, it's comfortable.
31647	32868	It's a lot more comfortable than...
33168	34988	Okay, did you hear what that guy said in there?
35889	40870	He said that there were, like, assassins wearing masks like that?
40930	43171	He said that that's what the word kind of was?
43391	43711	Okay.
45252	46072	You don't even know.
46492	47172	What's the problem?
47232	48393	Okay, keep the mask.
48713	50273	It may come in handy later.
50613	52294	I wouldn't wear it for your day-to-day shit.
53754	55995	Because one of my guys might knife you in the future.
57967	61349	Why might one of your guys might make me in the future?
61789	66832	You're wearing a mask from the Scarlet Brotherhood.
66852	71915	Which boggles the mind that somebody would sell it in the marketplace?
72935	75857	Unless that was maybe a key for...
75877	77898	I don't know.
77938	82060	Was it on display, like right above the place, or did you have to actually ask for it?
82080	83501	Do you remember you sell the one mask?
83581	85782	Yeah, and then you asked for a darker tone, yeah.
87660	91203	So you had to say something to ask for that mask?
91864	93805	Just ask for a darker tone.
93825	94866	Was it the same mask?
94886	97128	Yeah, it was the same exact mask, just in a darker tone.
97208	98449	It was a little different, but yeah.
98469	99009	Or my mask.
99069	100651	The other mask was in a lighter tone.
102558	103839	God, it couldn't be that simple.
104299	105959	You just stumbled across a password.
105999	107980	If you want one, you can have one.
108040	108920	No, I don't know.
108960	110401	Oh, did I stumble across a password?
110601	112242	I don't know, but maybe.
112382	114102	I want a darker tone.
114122	118724	That mask belongs to the Scarlet Brotherhood, which is not exact.
118744	120524	I mean, they're not actually open.
120544	122005	They don't have temples around, do they?
122625	122885	No.
123566	123886	Right.
124846	126807	Last time I ran into those shitbags.
