start	end	text
231	9719	Second of Wealsun, Jude and Paul Rivero walk to the dungeons of the royal palace of Prince John.
11340	17425	It's actually not that far down to the dungeons, but it's in carved out of rock.
18863	28088	And you pass several well-armed guards who salute, not salute, but like click their heels to Paul.
28108	39254	So they know he's coming, for one, and they know he's there, which kind of tells you that Gianna has given him some kind of passage to the household.
39514	44996	So that saying he said where I don't really interact with that family, he's obviously trusted, right?
48022	63786	So you descend probably 50 feet down some stairs, go through a couple of barred gates that are open, and enter a dungeon that is probably too big for who it's containing.
64346	67507	Prince Jeon doesn't seem like he likes to imprison too many people.
68087	69847	You don't know if that's a good or a bad thing.
70468	71768	You don't know if it's because he...
72920	76161	Doesn't like to imprison people, or he just kills the people he doesn't like.
76621	77661	So, one of the two.
78201	78901	Whatever the case.
79721	96144	You come into the area, the jailer, who seems more mild than furred, takes you to the cell and lets you into the room and says, the prisoner's behind bars.
96364	100485	Would you like me to let him out, or would you like to question him behind the bars?
103200	104721	Well, just let us in.
105041	105461	Of course.
105501	106381	Is he chained to the wall?
107362	108442	He's behind the bars.
109002	112123	The room has bars that separate it.
112744	113624	He's behind the bars.
113724	114224	Leave it closed.
115385	117005	Do you want me to chain him to the wall?
117585	117885	No.
118206	118566	No.
118866	120506	Would you like me to heat the pokers?
121627	121867	Yes.
121907	123427	Yeah, get them ready.
123788	124328	Yes.
124768	125488	Heat the pokers.
125868	126529	Yes, thank you.
126549	127349	And make it obvious.
129238	129478	Yes.
130299	132701	Okay, so he walks down the hall.
132721	133522	Do you have a water flask?
135643	136184	Or a couple?
136804	137885	I have a bowl of water.
138566	138826	Sure.
139306	140608	I'll take that to the prisoner.
140848	151937	Okay, so he gets a bowl of water for you and then goes over to a cabinet and opens it up and starts picking out pokers.
152417	154759	And will he be able to see you preparing pokers?
155080	156961	I'll walk down the hall with the pokers in hand.
156981	157942	Like the hot ones, yes.
160990	164193	This is perfect.
164213	166314	I go in with a water bottle, or the bowl.
166515	169156	Okay, so you guys walk into the room.
169637	172019	I tug it down.
172079	180184	The guy pulls his legs up and kind of looks at you, pulling his dirty shirt, not a cloak.
180425	181565	Yes, you should be afraid.
182846	183667	You remember me?
183847	184988	Is that what you say?
185008	185588	Yes, I do.
185809	187029	I look over and say, do you remember me?
193138	193819	This looks down.
194039	200103	Doesn't say anything.
200603	203586	If you whisper, go ahead and just say it, because I want to get it recorded.
203746	204446	Are you going to do this?
204486	205027	I whisper.
205167	206348	Are you going to do this or am I?
206828	208109	I thought you were going to do this.
208149	209310	Just go, dude.
209330	210090	Just go.
210110	211591	All right.
211691	212952	I clear my throat.
213513	214734	Dude, you should be afraid.
215534	216735	Very afraid.
217455	218496	Roll intimidation.
219077	220358	No, I think I only have this one.
220598	220798	Yep.
225645	229447	I was gonna say I should not do an intimidation roll.
229467	231848	19!
232108	233288	Be very afraid.
