start	end	text
1488	22735	Second of Wales son, around noon, Jude and Paul Rivero sit together in a small study in the royal palace of Prince Jeon discussing the future of their collaborations.
24675	27196	So, Prince Jeon's your uncle?
29617	29817	Yeah.
33895	34736	Mom's side?
35176	36076	Dad's side?
38918	39479	My mom's side.
43921	45102	Can I tell by his physique?
45142	48644	Does he seem to walk like a youngish 20-something?
50225	50505	He...
51166	52887	I mean, you can't see his face, but he's...
56369	71719	He looks like a strapping Oeridian, I would say not bulky, but he looks kind of like the same form of Jeon, kind of younger than him, not as muscular yet, but he could grow into it.
75642	77463	So Lord Jamis must be your godfather?
86994	90337	I feel a slight disadvantage given that you have a mask.
91297	92278	Where did you get that mask?
94220	94900	It's interesting.
95881	96341	I know it is.
98363	100385	You have it custom made?
100525	101946	I'm not affiliated with the monks.
105609	106890	So where did you get the mask?
107530	107911	I bought it.
110893	115557	I don't think I've ever seen those outside of the monks.
117176	117896	Monastery.
119877	120377	One of a kind.
123617	123857	Hmm.
126518	126918	All right.
127658	130239	It's comfortable.
133379	134379	Yeah.
137660	146202	Well, all right, so if I'm supposed to keep you alive, I hope that that sentiment is
147531	150412	Also reversed.
151213	153133	I hope you're interested in keeping me alive.
158496	172141	I have only been here for a week, maybe a little bit more, but the only leads that I have is I was looking into places that Lord Phranck had stopped, one of which was an Alchemist shop.
173642	176423	And I was followed when I went there.
177306	177926	What part of town?
178947	179987	I described the part of town.
180168	181028	The foreign district.
181128	182409	Yeah, the foreign district.
182449	183089	That makes sense.
183990	186891	But it was not, it was somebody that was invisible.
187371	189973	That doesn't necessarily mean it was a regular.
190273	197637	I was able to go invisible myself, and that's how I lost them, to the best of my knowledge.
198537	202499	But it was somebody that was capable.
207341	214846	And as we were just discussing with Prince Jeon and Lord Jamis, the assassins tend to like mix magic.
216067	217849	So now
219613	234598	The only thing that I can think of being new to the foreign district within the last two weeks, new to Monmurg or back to Monmurg, I've been to Monmurg before, but I don't think anything in my history at least would have tied me to this recent political problems.
236618	242360	I had run out of an inn, Ferd's Inn.
242560	244881	Are you familiar in the foreign district with Ferd's Inn?
245641	246301	I don't believe so.
247282	251004	It's a place that I had stayed with before when I was here years and years ago.
