start	end	text
691	6494	Second of Wales, son, after Jude, Paul, and the Marines have been ambushed on the beach.
7615	12357	Jude and Paul rejoin the unit to discuss what's next.
14398	17880	Okay, so you guys run up to the sergeant, right?
17900	19881	And he says to you,
21769	23109	We've killed these creatures.
23309	26230	And he actually kicks one of the hobgoblins.
26730	41534	And what's strange about this hobgoblin is that the armor and weaponry that he's wearing is actually very similar to what Sea Principality Marines wear as well.
41614	43434	However, it's a little different.
43815	48016	It's not as if it was from another Commodore.
48596	49156	It's as if
50969	54490	The people that construct this stuff are the same.
54910	62912	These items, however, were made a little bit differently to signify different kinds of units, strangely enough.
62972	67273	However, these hobgoblins are humanoids.
67333	68053	They're not human.
68353	71114	I just say, they're corrupted moraines.
71954	72954	I kick one of them.
73494	74295	Okay.
75175	75555	Awesome.
77558	82922	We have to push into the Citadel.
83263	85404	You say we've got to push into the Citadel?
85544	88347	Yeah, and you ask for a potion of healing.
88387	91309	The sergeant says, I don't see how we can do that.
91409	91689	Look!
91950	93071	And he points up the way.
93091	96693	Is there a horrible understanding there?
97014	99416	Actually, what it is, is there's a column.
100671	108342	of what looks to be like 50 guys coming down the hill from the Citadel towards you, right?
109343	116773	And the sergeant kind of looks up over at Paul and he says, the prince, he's wounded.
116933	118235	We have to get him to safety.
121456	125039	Okay, how far up this is the Column?
125659	129342	If the Column wanted to rush us, is it like two rounds away?
129362	130343	No, that's not going to be possible.
130403	132445	You can see it marching from a ways.
132585	135147	It's probably, I would say... Half a mile?
135267	136007	Quarter a mile?
136087	137288	More like a quarter mile.
137308	139290	And they're coming down out of the...
139350	142012	So we can just see that we're totally outnumbered.
142612	147514	Is there any possible chance we can group up with the other first and second squad?
149694	154356	Our best chance would be to take the squad with us and fight our way to the ship.
159057	166139	I mean, we could- I don't know about that because- Okay, look, let me double check, but I don't think I have- We need to move.
166199	167100	We need to find cover.
167160	167800	Where shall we go?
169867	173608	The barracks are over there and he points over to where the barracks are and you can see it.
173728	175508	It's probably a thousand feet away as well.
175808	178369	There are walls, Palisade walls and so on there.
178889	179829	Let's go to the barracks.
179909	183590	Maybe there's some troops there that we can free or liberate.
184410	185831	Keep your troops ready.
185931	187131	Keep your crossbowmen ready.
187251	190292	He says there could be enemy there as well.
191052	191792	Absolutely.
194690	195130	Let's go.
195471	195951	Let's go.
196231	198693	Okay, so you guys start marching in.
198713	204876	Okay, so I tell you, I say stay back, and I will lead with the sergeant.
205097	205757	Okay.
206177	212081	So basically, you guys... Well, do you allow for bandaging, or do we have to have medic skill?
212261	216524	You can bandage, and that helps, but you guys have to understand that there's a thing called a short rest.
216984	217625	Yeah.
217665	220446	Which, if you find a cover, you can rest for an hour.
220486	222868	If we can get to the barracks, we might be able to short rest.
223208	224689	So no one's got a potion in him.
226489	227389	I'm not a main barrel.
227770	231131	I'm a battle maker.
231151	235432	Hey, and you're like the nephew of Jeon.
235572	240494	Why aren't you like having a couple of those up your ass?
240534	246356	All you gotta do is like squish your butt, create your butt and like flex it.
246396	247796	That's why I never sit down.
248136	250357	So by the way, only money falls out.
255080	256242	All right, all right.
256282	256923	So, no, no, no.
256983	263552	We're gonna, we're gonna follow what the Sarge said, and what I am desperately hoping is that they're using...
263792	266416	Wait, didn't somebody do that in our group?
267217	270922	I'm sorry, I think somebody did where they took a potion of evil.
271423	272304	I don't want to ask.
274193	275113	I don't remember.
275213	276094	I think I remembered it.
276114	277034	I don't remember.
277074	279915	I just remember they were all like, hey, you can stick it up.
280035	283216	I mean, whatever damage you do gets healed instantly.
283236	285937	You're like, oh, he's got hemorrhoids.
285977	286837	He's bleeding.
286977	288217	Nope, he's fine.
290418	302102	What I'm actually hoping though is, and I will verbally say this out loud as we're booking towards the barrack, is I'll say, be prepared.
303577	308524	If there's guards on the barracks, our only hope is that there's soldiers there.
310106	312109	He says, yes.
313491	313811	Yeah.
314071	316114	But be prepared if there's guards in the barracks.
316615	317476	Crossbow men,
319453	321594	We are, as we present.
323035	327238	And in classic wedge, with the shield guys in front, same way we did it.
327818	331421	So if we gotta go up and it's over here, or if it's over here...
331441	332361	It's over this way.
332862	334703	The helm is up that way, up the road.
334763	336945	Where is Gouge and his 30 guys?
337025	337665	Way over here.
337765	338946	That's fine, that's fine.
339046	343129	At least we would be like... And in fact, I do have a mount of Helm Island.
343289	347031	I will send that map to you so you can kind of get the idea of what the layout looks like.
347232	347532	Okay.
348221	351342	All right, so you guys march towards the barracks.
351362	352243	Well, I wouldn't say march.
352283	355864	I would say we run in formation.
356605	358085	You quickly march towards the barracks.
358165	358745	It's not a route.
359086	360246	It's not a route, yes.
360486	362387	Okay, so you go.
362407	363928	It's not a route.
365428	372791	I would say this march takes you about 10 minutes as it is, you know, maybe about a quarter mile away from where you are now.
373452	373792	Okay?
374675	382578	As you're going, you see the unit from the helm march down the hill towards the docks.
383558	383938	Okay?
383978	385599	Right, like they're ignoring us?
386479	392681	It's obvious that what they're doing is going to aid whatever is happening down there.
393261	398983	And you are heading towards the barracks.
399103	400004	Okay.
400024	401684	I give him the invisibility ring.
402065	402445	Mine.
404526	405551	Kind of Lord of the Rings.
406846	407246	Fuck off.
407366	408146	It ain't Lord of the Rings.
408166	409887	No, you don't have to give him the invisibility ring.
410307	411787	You can cast invisibility.
411807	413388	Cast it on him.
413728	418749	Well, that would only be if I had it actually done and I actually don't have invisibility.
418769	419169	No, no, no.
419509	420589	Oh, you're saying with the ring.
420609	422430	It gives you the spell invisibility.
422690	422930	Okay.
423170	424190	And you can cast it.
424630	425410	On whoever I want.
425470	430111	But you have to recharge it with the second level spell slot after you've used the charge.
430572	435193	Okay, so what I tell you is I'm going to cast you as invisible.
436973	439875	As we're, you know, moving quickly with our troops.
440596	445039	And I'm like, I can't heal you, but I can make you invisible.
445819	452284	Don't attack or it will break the invisibility unless you absolutely, like, have to.
452604	453004	Gotcha.
453744	454425	And then I do it.
454825	455105	Okay.
456086	459168	So, cast a spell on you, you're no longer a team.
459368	462310	But at least the troops still see me and the Sarge.
462410	462771	Right.
463111	463311	Yeah.
464480	466061	That's fine, because he was hiding under the dock.
466081	469702	So you guys move to the Citadel, reaching it within 10 minutes.
470302	470662	Okay.
473183	481946	You get to the Citadel, and the sergeant says, stay here, when you're about 600 feet from the opening.
482127	482447	Okay.
482787	483267	Just me.
483807	484087	He's...
484928	485768	He's back behind.
485808	487869	But I'm talking about the entire units, right?
487949	488269	Okay.
488549	493711	And he steps forward and says, who holds this?
496232	498914	And he goes, give me the key word.
503516	514863	You hear from one of the towers up on the thing, this barracks is still held by the sea principalities.
516804	517264	Who are you?
517284	518965	Does the sergeant say anything?
520346	521167	The sergeant goes,
523385	526688	My key word is, on the honor of John.
529090	530611	The guard says, on the honor of fairwind.
537894	538755	The guard says that.
539295	544799	The sergeant kind of looks at you and says to Jude, that is the password.
545080	547582	Okay, so let us in and we move quickly.
547642	551705	Okay, so the units start to move towards there.
551825	557129	Yeah, because up to now it's been sea creatures and hobgoblins that have been fighting us.
557689	564695	So I'm going to assume that Lord Fairwind got overwhelmed by whatever stealth methods, but that he's not the enemy.
564755	565736	That's my assumption.
565756	566136	Yeah.
566476	566716	Yeah.
566756	567277	So anyway.
568866	577850	You guys march into the thing, or scramble into the thing, and all these other guards come out to basically help you guys into the area.
578031	579131	Okay, we need a healer!
579171	582093	These are Sea Principalities' Pali guys, right?
582253	582553	Okay.
582653	584053	And you say, we need a healer.
584374	585014	Yeah.
585034	587115	Well, for all the guys, not just the, yeah.
587635	596760	Okay, so basically you come in, and the sergeant connects to the garrison commander, and the garrison commander goes, so, you're the relief.
597747	603591	We've been under attack ever since that strange fog covered the island.
604532	605493	Quickly, come in.
605773	606414	Bring your wounded.
606874	607074	Right.
607334	612078	So we bring the wounded in, and we have his abilities to dissipate.
612538	617122	Well, only if you're going to interact and have... Yeah, well, no, which is fine.
617142	620084	I mean, if they have a dealer, you need to get healed, for sure.
620384	620644	All right.
620664	621585	Which is fine.
622166	624748	So, basically, the guards come in and...
625971	629852	Luckily, you see that a lot of the garrison is still here.
631393	632473	There are many men here.
632633	636475	So of 100 garrison, maybe 50, 70?
636535	640396	It looks like these guys have not been molested as far as attacks.
640476	641517	But what percentage?
641997	643257	Can I just guess?
643357	644838	Well, I mean, I think that's better in...
645218	645779	Okay.
646259	646499	Right.
646599	647320	You know what I'm saying?
647520	648681	Yeah.
648701	652825	And the commander of the garrison takes you guys into a place.
653045	656288	The men basically go to the barracks to rest and do whatnot.
656629	660332	But it looks like there are guards on all the stations, right?
660452	662895	And places seems to be well defended still.
664837	671179	The only reason why I'm asking is because I'm trying to do a quick assessment on if we can help the captain and the ship.
671259	673860	Like if we need to make a foray out.
674860	681122	If we're only talking about like proportionally, let's say we don't know about any other defensive position.
681222	682623	I know what you're doing.
682683	686284	I'm saying that you don't know.
687525	696832	I'm saying that even if you had a hundred men- There's a lot of able-bodied men, but we- There's a lot of able-bodied men, and doing the foray, you don't know how many you need to be able to do that.
696852	701536	You'd have to see what the enemy was up to to be able to decide what was going to happen.
701696	703397	Well, and 200 guys were outnumbered.
704138	704378	Yeah.
704818	706559	Yeah, they're five.
706599	707240	Probably five.
709158	709899	You know what that means?
709919	711200	That means we've got to get a signal.
711340	711960	Hang on.
712120	725450	Well, before you guys start talking, you guys go into the barracks area, and you're there with the sergeant, the garrison commander, and then the two of you.
725710	728593	And do you want to expose yourself and basically say who you are?
730694	731915	Yeah, I may as well.
732275	733236	Okay, so.
