start	end	text
617	11091	Second of Wales Sun, around 3 p.m. as Jude and Paul begin their journey.
12467	21809	So, basically, you get your stuff together, you make sure your equipment is what you want, what you have.
21909	30711	You know you're going to be going on a sea journey, a short one, across the Monmurian Straits to Helm's Island.
30891	32391	Approximately how much time to take that?
32451	33711	Is it like half a day?
33771	35092	No, not even that at all.
35372	38792	Helm Island is maybe three, five miles away from the docks.
42813	55658	And it's right in the middle of the straits in between the Monmurg Peninsula and Flotsam Island, which is one of the outer islands.
55698	56438	It's not the biggest.
56558	63460	Fairwind Island is the biggest, but that's one of the islands of One of the Princes itself.
63480	67502	And Helm Island kind of controls the strait because
69699	71420	It's got lighthouses on it.
71700	77284	It basically tells people where Fairwind is, where Monmurg is.
77965	85610	At night time, it's really important for the navigation of ships into the Monmurgian Bay.
85830	91274	And nowhere close where the dragon sea turtles kind of reside on the dragon isles?
92075	96098	So here's the peninsula, here's Flotsam, or island.
96578	98799	Here's Helm Island in between the strait.
99360	100940	Dragon Isles are way up here.
100980	108764	I mean, they're north of Flotsam Island, and probably I would say, I'm not going to give you an exact thing, but they're at least 40 miles away.
108804	109165	Gotcha.
109225	109825	Okay.
110005	112226	So they're not near at all.
112286	112646	Gotcha.
113587	118369	That's at least a day's journey away, if not more.
119390	124172	Anyway, you go down to the Royal Docks where there's a Cosaire that has been
126120	128562	Loading up and getting ready.
130123	141253	When you get down there, basically there are hundreds of marines that are loading up equipment, weapons, they've got their crossbows, they're wearing scale armor.
142308	143448	250, right?
143728	144008	Total?
144468	147209	That's about how many they have on there, exactly.
147829	151870	It's a small unit.
151910	153570	It's not a huge attack force.
153650	156171	But obviously what's happening is Jeon is trying to...
156191	157831	But 250 is a pretty good complement.
158011	160292	It's basically, we're checking this out.
160432	161852	We're coming here to check things out.
162492	166273	But it's such that it would not be...
167967	168547	An invasion.
168568	169448	Consider it an invasion.
169588	169929	Of course.
169989	170289	Right.
170689	184299	Do we have any, or did Lord Jamis give Paul anything that suggests what our role is for the captain of the Marine Force or the captain of the ship?
185220	186741	You expect he talked to him.
187041	187321	Okay.
187982	195748	But basically what Lord Jamis wanted to say to you was that you're going as a representative of your uncle.
199848	204990	You can basically bring Lord Fairwind to heel, because he's the guy that's in charge of the island.
205510	211552	And so if there are any questions, basically you need to talk to Fairwind and say, what the hell's going on here?
211892	213833	So you come with some consequence.
214133	219195	And I think this is Jon's way of introducing you into being a
223719	225641	Jamis hasn't given you guys any letters.
225762	236815	The reason he hasn't given you a letter is because you're already Prince John's cousin, or nephew, and Fairwind, even though he doesn't really know the status you have, knows who you are.
237016	237656	Who is Fairwind?
238477	241280	So, remember, there are five princes in Monmurg.
241820	242461	He's one of them.
242961	248867	He is the prince of Fairwind Island, which is the largest island, but the one farthest away from Monmurg.
249487	250769	Is he in charge of the helm?
252030	253771	They rotate who's in charge of the helm.
253871	256013	Oh, okay, so it's Fairwind's turn.
256414	257034	Exactly.
257455	258796	And he's the farthest away.
259316	261218	So does he report to me, or do I report to him?
261819	262599	He's a prince.
263996	267397	I mean, there's a council of princes.
267637	268737	He is higher-ranked than you.
268857	270118	I mean, he's a prince of...
270138	272658	But at the same time, Lord Jeon is more powerful than him.
273199	274759	Lord Jeon has more money.
275599	281801	Lord Jeon is, the way it's said, he's the first among equals.
281821	283281	So there's a...
283641	289903	So when he says bring him to heel, if you have to, like, be respectful, but if you have to, push comes to shove.
291222	293743	He doesn't want you to have conflict with this guy.
293823	297005	He wants you to be able to say, look, are you okay?
297285	297526	Right.
297706	298526	Things are weird.
299166	305530	And if things get weirder, you have authority to maybe do something.
305550	310513	So Jeon wants to make sure that he's sending somebody that is going to tell him the truth about things and get to it.
