start	end	text
251	16459	Evening of the 2nd of Wealsun, Jude and Paul have been signaling, getting the sergeant of the garrison, the commander of the garrison, to signal to the southern guard tower.
17640	18020	All right.
18320	21662	So, a dialogue starts out.
22362	28325	After you sending the word, Jude and Karmirg, basically you get back.
29460	30401	The name Gouge.
31401	36044	Then you send back Jude and the signals start going back and forth.
36525	45631	Now the principalities have something very similar to Morse code where they can signal each other using these mirrors and there is a communication that comes up.
46171	56118	You learn that the group of marines that landed on the southern docks
58144	61727	Were confronted by troops of hobgoblins as well.
62788	71154	And they had managed to take the wooden tower, that's the guard tower, but were kind of holed up in there.
71834	74876	They killed several hobgoblins, but they had lost three men.
74977	76978	So there's 27 of them left.
79080	83423	However, they were very, very concerned about making sure, well,
84570	89174	Basically, they saw the sahaugin destroy the ship, and they saw what happened.
89314	91715	And do we learn that the ship was destroyed?
92136	92396	Yes.
92456	93597	Because we didn't see it.
93877	99441	Basically, they said the ship was overwhelmed and is basically sunk at this point.
102424	107928	They also are concerned about Paul Rivero and if he's still alive.
108348	112071	Obviously, he is a prince, so they wanted to make sure that he was okay.
114034	120095	They noticed that he was marching down the docks, so they saw what happened with you guys.
120336	120676	Okay.
120756	124497	Did they see us go into the barracks?
124617	125517	They didn't see that.
125537	128518	They didn't see you make it to the barracks, but they had hoped that that was the case.
128538	129978	And now we're signaling from the barracks.
130018	130458	Exactly.
130518	133039	And they also had hoped that the barracks wasn't overrun.
133359	133539	No.
133619	138560	They were actually considering taking some scouts and scouting that area out.
139100	140680	However, now that they know that
143484	147088	You were there and that the barracks are in the hands of the principalities.
147469	148570	Right, and I give them numbers.
148670	153656	I say like 100 friendlies plus 20 marines from the ship, Paul's, you know, we're safe.
153916	157300	Right, so basically it turns out that there are 150 marines still on
159573	161874	The base.
161954	163734	On the island.
163794	166775	So here, when we go in, it's 150 plus our 20?
166955	168475	Yeah, and then 30 here.
168515	169615	So 200.
169635	170736	So we have 200.
170756	175737	But we lost like friggin 200 marines.
175817	177477	And the sahaugin, okay.
177657	181318	Then again, with the 20 marines alone, we were able to storm the beach in.
181458	183459	Well, yeah, but we also weren't fighting the sahaugin.
183479	184839	The sahaugin are a whole different.
185279	189821	True, but right now we just need to worry about the hoggob since this hoggob can't get on the land.
190081	201905	So what they tell you, what the sergeant or the guy in command of the group tells you is that they're gonna keep the tower here, right?
202925	209167	Because they're gonna warn off any ships that are sent from Monmurg to make sure
210025	213989	That they're not attacked by the sahaugin.
214189	219894	Can they signal Monmurg if that's the tower that was supposed to send the signal originally to Monmurg?
220554	221915	Could they send a message to Monmurg?
222696	223957	They say no, they can't.
224117	230383	All they have is they have short-ranged arrows that they can shoot flares up into the air with.
230403	230683	Okay.
231143	234645	And they will shoot warnings off if they can do that.
234685	240408	However, the brazier that they used for the signal fire was taken by the hobgoblins.
241368	243789	So they have no way to actually signal.
243889	249772	And in fact, this is really the place that you would normally do it.
249972	252693	We could assume that any of these other places...
252713	259777	The lighthouses could possibly do it as well, but this is normally where...
260968	263831	That signal would come.
265734	268258	Their expectation should they be attacked by the Sahaugin?
268278	273705	Because that would be like them overwhelming the ship, other than they have some fortifications, right?
275186	279210	So I just signaled, prepare to repel.
279290	281572	If they're going to hold it, repel sahaugin.
282572	283673	They say absolutely.
283914	291260	Right now basically what they say, once we're off the beaches, they're not worried about sahaugin.
293035	293896	Is that anything I know?
294316	299999	Well, I think last time we basically talked about it and you knew sahaugin could come up onto the ground.
300019	301080	They hated them.
301220	302301	They liked the beach.
302421	303241	That's what I was saying.
303381	304282	Okay.
304602	307284	And they can stay out of the water for up to four hours.
308204	312505	But they're not gonna attack a barracks.
313066	316226	They're not gonna attack a barracks, they're not gonna siege, you're not gonna do anything like that.
316306	325789	So, pretty much, if you're in a tower of fortification up on the cliffs, the sahaugin would be at a big disadvantage.
325809	331251	Does the commander of the barracks have any idea of hobgoblin forces them?
331331	334132	We'll get to that in a second, because you're gonna do a roleplay.
334212	335712	I want you guys to think about this.
336353	337413	What you also learn
339523	342185	And obviously this message is from Gouge.
343285	349729	Basically, Gouge says he's gonna make it to where you guys are.
351630	353791	And he needs to talk to you.
354931	356452	Because his mission is
359528	360729	Related to your mission.
361330	361590	Right.
361891	366215	So basically, Gouge gets a signal sent to you saying, I'm coming.
366336	367257	I'm coming tonight.
367317	369959	I should be there as soon as I can get a group of guys.
370000	371441	We're bringing a group of guys to you.
371461	373644	We're going to sneak back to the hobgoblins.
374124	375446	But expect us tonight.
376467	380631	And from then on, we're going to have to figure out where we're going to go and what we're going to do.
381493	384426	All right, so that is the communication that happens.
384848	390435	If at any point where we're talking you want to send back another message, we can do that, but let's start.
