start	end	text
3688	17302	Second of Wealsun at 11.30 p.m., Gouge attempting to get back his spell slots is interrupted by Paul Rivero and Gouge.
17422	21566	Jude trying to get back his spell slots is interrupted by Gouge and Paul Rivero.
21666	23908	Wait, like interrupted as in I don't get the spell slots back?
24489	25250	Well, they come in.
26497	28498	Okay, I try really hard to stay meditative.
28639	29039	Okay.
29639	32081	Jude is in this very serene state.
32281	36984	Paul would take, er, Jude would take by three in the morning to get all your spells off back.
37004	37805	We're not doing that.
38205	43949	I'm still trying to card to concentrate anymore, though.
43969	44530	Say I go up.
46011	51275	And go, not worthy of an embrace, Jude, but you are more worthy than a handshake.
52015	53536	So I reach out to...
53576	55358	I don't have that in there.
55618	57920	Whether you're what you're doing, grab them like this.
58660	58960	Shit.
59561	61262	Okay.
62343	62523	Fuck.
62643	62963	Okay.
63203	63624	Wait, what?
65245	66225	I think we gotta get moving.
66886	68187	What time is it?
68287	69588	It's 11.
69608	69948	11.30.
70008	70368	11.30.
71449	73250	You didn't want to wait until like 1?
73671	74952	I only had a couple more hours.
77169	78050	What happened to the tower?
78070	80133	Is it the west tower?
80813	81695	Sub tower?
82175	82896	Where we came from?
83016	83917	No, not where you came from.
83958	86300	We talked to the captain and he was going to move on the...
87396	88517	He hasn't sent the attack yet.
88537	89617	We haven't sent the attack yet.
89637	91018	That was going to happen at 12.
91558	92679	That was going to happen at 12.
92919	93940	We haven't talked about it yet.
94160	100123	I talked about the plans with them about going to the coastline or levitating over the wall into the sanctuary.
100243	102564	Well, we would still probably want to do that from the ocean side.
103625	106066	And I can either levitate one or spider climb one.
106086	107387	But right now, we're taking it to a boat.
107407	108308	We're taking it to a boat.
108908	109248	To what?
109328	109648	To go now?
109688	114411	To either go along the coastline and under the cavern into the helm or go over the wall.
114591	116673	Well, can your homunculus search for it?
116693	120856	Because if I can have an hour to do a ritual spell, I can change my frog.
120896	123578	The only problem is it's made out of clay, and it will.
123618	126881	Well, I mean, that's not going to hurt you, right?
126921	128122	No, but I don't want to lose my homunculus.
130816	131736	Wasn't there another one?
131776	136798	Weren't they saying going straight to the door of the tower and getting through it and going into the keep to...
137158	137739	Through the front?
138259	138439	Yeah.
138459	138939	Through the front?
138999	140580	I mean, that's almost suicide.
140700	141300	Well, no, no.
141420	147783	So the plan was the diversion attack and then taking that wall to get into the tower.
148763	150104	Right, but from the coastline.
150524	151104	Exactly.
151144	154526	The same place that you would search for the caverns as well.
154726	159148	So if we're over there, can you use, I don't know, can your homunculus fly?
159268	166352	Now the sergeant described that if you go up the wall, there is a way to get to the inner sanctum if you want to get the fairfield, the fairway.
166472	167832	From going up the wall at that spot?
167872	169913	Yeah, because I'm going to the wall of the tower.
170214	171434	Okay, so we still down to two.
173215	174216	Okay.
174316	176497	Look, quite frankly, I'm not surprised.
176517	179199	I was kind of thinking that I wouldn't be able to get the slots back.
179880	181201	Four hours was going to push it.
182902	184403	I was hoping that you'd be here a little later.
185283	186244	Any problems getting here?
186724	187145	No.
187185	187925	Clears could be.
188586	190667	What happened to the other 20 guys or 30 guys?
190687	193189	We left them on there and they're... No, I mean the ones that fled.
193629	194470	The ones that you didn't kill.
196267	197148	The hobgoblins.
197268	199210	Oh, they're still in the keep.
199470	202612	They still have the keep and still have the lighthouse over there.
203873	204694	We have the tower.
205655	206615	They have the garrison.
206776	207456	They have the garrison.
207496	208157	We have the tower.
208377	211559	We have a sergeant there who's going to signal all ships to stay away.
212060	217164	And then they're watching the hobgoblins and we'll break on them if they start coming from behind.
217504	229008	Okay, so if we're going to move earlier, do we want to move into position and then have the captain forego the attack on the other lighthouse and demonstrate at the front gate?
229388	231508	The demonstration was just to pull the guards away.
231869	232269	Correct.
232289	233109	That's right.
233149	235950	Right, so just to pull the guards off of those side walls.
239352	245037	The captain was going to take the tower first, and then while we moved into position, he was going to send 50 men to take the tower.
245077	256006	When they were done and moved back, as long as they could take it easily, he was going to maneuver and demonstrate fires and assemble a battery.
256046	257327	I didn't want him to waste troops.
257587	266093	So I figured that would pull any of the garrison to the front gates, or the front walls, and we could maybe clear some of the passageways for us to get...
266534	269716	Okay, we're in a room alone.
269736	278843	Okay, I don't know if Fairwind's good or bad, but I'm keeping from talking about this in front of the captain of the household guards.
280202	283103	Yeah, I just told him he might be under some spell or something.
283823	291885	So do you suspect that Lord Farrowin has given up the spell because of the sahaugin?
293126	295646	No evidence, but suspicions are extremely high.
295767	297187	I mean, I have suspicions too, but...
298565	299646	There hasn't been any evidence to show.
299666	300786	You didn't tell me you had suspicions.
301407	302087	I had suspicions.
302127	304288	Well, I mean, yeah, we all suspect because he's the ranking.
304328	306830	Okay, to be fair, we haven't actually had the time to talk about this.
306910	308811	I don't... As soon as we dropped him at the beach, we started...
308831	309652	I think he would have...
309792	313274	Were you sent here to assassinate him?
313294	314334	You were...
314554	314915	Sorry.
314955	315475	You or him?
316616	317916	I mean him, not me.
319117	321078	I assume you could have done that much easier.
321198	323500	You could have done that much easier at Ferd's when I was sleeping.
324272	326556	No, I'm actually trying to figure out what the hell's going on.
326716	329340	Okay, okay, so we still need to, so can we take him alive?
330198	331779	Oh, yeah.
332079	334140	Oh, we will have to.
335241	336461	What are we talking about?
336581	346046	We're talking about if he's turned on us and this is a political fiasco and we're getting screwed, then we need to bring him back and have him as a political prisoner.
346746	354350	And or he needs to tell us how to undo and re-institute the, like maybe he has to be tortured, but we have to get the Sahaugin back.
355011	355871	Away from the island.
356192	357513	Yeah, that's the first step.
357633	359295	Get the Sahaugin away.
359375	360176	Well, why are they here?
360196	362378	It's been centuries, so... That's the question.
362418	362878	Exactly.
362898	364220	He should know.
364260	368304	The only suspicion is because he kept them away, I guess, from some bullshit.
368324	370866	Do you have any knowledge of CLs operating in the area?
370886	372208	Because I know they hate Sahaugin.
373294	377056	No, but the ranger with me I'm sure does.
377096	379398	He knows the island well and is well-versed of all of us.
379418	385221	The only thing I can think of is maybe there was an agreement with the sea elves that maybe Lord Farrow one fucked up.
386142	387302	You can't talk to those guys?
389484	391165	I don't swim very well.
391185	397308	I mean, I guess if they came up on land, I've never been to one of their domiciles.
398009	398309	Okay.
400396	401777	I think we need to get in and get to him.
401797	403057	Okay, let me get my shit together.
404118	405719	I would still like to be able to search.
405739	407981	Are you saying that you can or you can't?
409662	411243	You want to go now, now wait an hour.
411463	414244	Okay, my Mahamakui cannot fly.
414264	414865	It glides.
414965	415545	It can fly.
416026	417246	No, you said it glides.
417306	419068	But, I mean, it could climb the wall.
419168	420308	That's what I was saying to him.
420328	422830	Okay, so it could search the coastline.
422850	424051	Yes, it'll search the coastline.
424071	425712	Me and the ranger can scout out ahead.
426212	426732	Okay.
426752	427813	And make sure everything's clear.
428393	429174	Okay.
430074	430854	How do you want to travel?
431555	432755	The island's a little barren.
433396	435577	I don't know if they're going to have any watches on that side.
435597	438058	Do you guys have a plan to do so in stealth?
438919	439079	Yeah.
439719	441360	Okay.
442921	443581	We are, honey.
443621	444121	Don't worry.
444361	445422	We're on our way.
446698	447318	Who said that?
447899	450060	There's a woman in this barracks?
450560	450880	All right.
450900	452441	The winches.
452681	454962	Give me 15 minutes to get my supplies and shit ready.
455483	456603	I can meet you at the front gate.
456823	462426	Yeah, I think we're going to stay off of, we're going to be as close to the coastline as we can, stay with whatever cover there is.
463267	467069	The ranger can throw up some fog, worst case of... Are we allowed to do black face?
468249	469050	Black face, too.
469390	470731	Yeah, of course, red face.
471571	472712	I haven't seen the disguises yet.
