start	end	text
311	5277	Say enough Wealsun, as the Marine units are ambushed.
7279	17011	Okay, so... Guys become... First off, this is the upper level.
19178	20138	This is the upper level.
20178	25983	This is kind of like the tower platform, which is about halfway down.
26083	27804	Three-quarters of the way down.
29706	33789	So you are not going to be able to get there from here.
33869	37672	You have to go in the door, up a level, and you'll be there.
38813	41295	So you're looking at this tower from the top down.
43636	43916	All right.
44817	45877	This is the entranceway.
45917	47198	There are stairs that go up.
48019	49199	Stone at the bottom.
49700	54963	But after you get past that foundational stone, there's a doorway which is shut at this point.
55683	55943	Okay?
57064	59705	Kind of like stairs up.
59866	61446	This is lower and that's that high.
61867	62347	Exactly.
62767	62927	Okay.
63147	63348	Yep.
63748	64448	Okay.
70252	70632	That's enough.
86563	89566	Roll initiative.
89866	90867	Let me do this.
91267	91688	What's that?
93949	95190	You have a question, Gap?
95791	101496	I have a question on gameplay from reading the player's handbook.
101576	106320	Correct me if I'm wrong, but I was reading that initiative is rolled by each in each round.
107352	117879	And each person individually has the initiative role because it could be Tyrus and then two archers and then all of a sudden it's Folsom.
117899	121221	So, the way I do it with groups like this.
121261	123323	This would be bigger and take forever to do that, right?
123523	129547	I do, each player character gets their role because they have dexterity and so on.
131033	136914	The uniformed Marines all have stats that are similar, so they're gonna roll as one thing.
137494	138914	Same thing with your opponents here.
139395	139635	Okay.
140975	152417	So we'll start that with, what I'll do is I'll say the Guardsmen, or Marines, are the M. And then this is Aristotle.
153777	156878	This is Tyrus.
158578	159318	This is Folsom.
161187	161968	This is Merrick.
164110	165712	And then here are your opponents.
174078	179759	Each round, we'll wipe those off after we've gone through it, and I'm going to keep the tick mark right here of how many rounds we go through.
179779	182340	I might move this down to here.
182360	186581	I just want to run out of the table the first time.
186701	187822	That's later on.
187842	189802	I'll start marking it with Sharpies later on.
189942	190482	That's great.
190722	193743	Okay, so I'm going to roll for your opponents.
195283	199805	They get a 1920, because they have a plus one for this round.
200385	201425	Motherfucker.
202450	205071	Which makes sense, because they got their drop-on.
205691	209672	Okay, now, your Marines, one of you guys were.
210212	212493	You're commanding them, or you're more with them.
212513	214013	So this is for the Marines, not my own?
214233	215873	Yes.
215893	217454	Five, six, seven.
217674	218474	They get a seven.
220094	220715	This is for me.
222015	224936	Three, plus your dexterity of five.
225116	225876	Yeah, so I get...
227715	229556	You get a three, you get a five.
229576	230917	You act after your Marines.
231077	232137	Where's that?
232437	233498	The plus is right there.
234218	235359	Oh, for the initiative, okay.
