start	end	text
111	2672	All right, so you've just got to roll six.
2972	4393	Roll six side and see what boat you're in.
5013	5433	That's not a six.
7274	8734	It's a square one.
9435	9595	One.
10035	10175	Oh.
10675	11916	All of you are in the second boat.
12136	12356	Yep.
12716	16497	Second Wealsun at around 4.30 p.m.
17718	24161	The Marine Unit leaves the Cossaire and begins heading towards the southern beacon.
24181	26221	The box of the southern beacon.
26561	27482	Okay, so...
28964	32408	Lower it in and you guys begin rowing up to there.
33890	35071	Yep, I'm on an oar.
35311	35932	I'll tear that up.
37914	38755	I'm definitely on an oar.
38955	41158	Okay, so what do you guys want to do?
42199	43720	I want to be at the head of the boat.
43740	45322	Kind of looking at things?
45342	45502	Yeah.
45983	48506	I'll be at the back of the boat where my sergeant is.
50590	57535	The ship continues around this way, and it takes you guys about 20 minutes to reach the shore from where you're at.
58076	62539	The sea and the waves are not bad in this part.
62639	63860	It's a very clear day.
64241	66322	And you begin to approach the docks.
67663	73768	And we can't see what's going on because we're bats to it, right?
73988	74548	Or what's going on?
75652	77374	You can look around.
77394	83218	We're not actively like... Am I noticing anything that I wouldn't notice being around here before?
83739	84439	What do you want to do?
89463	93366	So, you have several powers as a ranger.
93987	98450	If you want to, you can just keep your eyes out and do a survival roll to see if you see anything strange.
98750	98990	Okay.
99831	100291	Just do that.
100952	101252	Okay.
101773	102753	Roll a 20-sided die.
102994	104094	Hit that little magnet.
104114	104635	Survival.
106743	107064	Four.
107364	110005	You don't really notice anything.
110165	110605	We're dead.
110886	112947	We're all dead.
114387	115328	Keep your eyes open.
117829	119550	What was your survival skill?
120550	121031	Plus six.
121891	122231	Oh.
123712	124933	Yeah, you do notice something.
127594	129175	How about sharks in the water?
130435	132396	More than I've seen before.
132837	133157	Yeah.
133999	135060	Oh.
137021	140083	Okay.
141184	142225	Thanks.
144106	146247	Okay.
146287	148549	Bring out my longbow.
149129	156874	I just bring it out not ready for battle, but for seething, and I'm going to tell them, be mindful, there's a lot of sharks out right now.
157394	159516	I don't know if something died from feasting or...
160957	161257	I don't know.
161277	165040	I've never seen sharks like this around this area before, so be very mindful coming in and out of the boat.
165060	168102	Take a look over the side and look at the water a little more closely.
169203	169884	Don't see anything.
170364	170544	Okay.
171965	172646	Just be mindful.
173286	173707	Be careful.
174087	176128	Sharks near Helm Island?
178090	179711	There are never sharks near Helm Island.
180392	180692	I know.
181092	181833	Very interesting.
183903	184204	Okay.
184564	185185	Very interesting.
185726	196782	So, you guys reach the docks and what's even more interesting as you approach is the sergeant says, well there are sharks but there are no men.
197923	200347	I would expect somebody to welcome us as we come up.
202368	203789	You reach the docks.
203829	204950	The first ship gets there.
205731	210175	And the first platoon gets out onto the docks, pulls up their longboat, ties it off.
210735	219283	And the 15 men, five crosswomen, Marines, basically are standing there waiting.
219383	220003	They assemble.
221064	227450	And the sergeant goes, Folsom, give the signal to prepare weapons.
228801	231902	All right, I pull out my fight and just do like a little...
233342	240643	The guys all whip out the weapons and start loading their crossbows as the second ship runs up next to the back one, the bottom one.
241183	242064	That's what we're on, right?
242104	242664	Exactly.
243404	246424	Comes up behind and the captain goes, unload!
247505	248765	Or the sergeant goes, unload!
249245	249565	Okay.
250585	251625	So you guys get off.
253026	254166	Shoot, what am I armed with then?
256031	257252	Do your survival roll.
258153	258413	Two.
258433	259034	Plus six.
259194	260995	You don't notice any.
261095	261275	Okay.
261375	261636	All right.
261656	265159	Let's get off this dock.
265659	267300	Let's get off this dock onto solid land.
267561	267901	Okay.
269902	271604	Lead the men, Tyrus.
271644	271864	All right.
280429	282150	Marines in front.
282610	283371	Archers in back.
283771	285352	Shield out.
286652	287853	Where's the boat from your left?
288833	289354	On the dock.
289454	292015	Not our boat, but the... Yeah, both of them are right there.
292035	293436	We're on the dock.
293496	298018	Okay, and the main Cosaire is starting to go around over here.
298158	299339	This way.
299399	301120	They're going to be going like this.
302720	302960	Right.
303281	303941	Into the bag.
304841	307743	All right, so obviously we need to signal them whether it's clear or not.
311809	314410	And there's no signal coming from this whatsoever right now.
314431	315051	No signal.
315071	315411	Zero.
316592	320174	There's a light on, but it's daytoned.
320274	322715	So the fire is burning, but that's it.
323255	326037	But usually there would be some sort of signaling that went along there.
326057	327658	Well, what's really strange is...
329888	334590	That's a guard tower, and you don't see anybody on that guard tower.
335290	341172	And this is the dogs, and normally they would see you coming from a mile away, and they would come down there to greet you guys.
341212	342372	Yeah, because it's the middle of the day.
342652	342973	All right.
343813	350375	So let's move to the... Well, role play.
350395	352576	Do you want to basically talk to the sergeants?
352616	353996	Yeah, see, let's go to the tower.
354016	355317	Because you're not leading, right?
355477	356257	I'm in front.
356857	357097	Okay.
360099	361099	We should go to the tower.
361559	363440	I'll say, do you want me to take the men of the tower first?
364361	364901	That's what I'll say.
369124	369884	This is strange.
372705	375547	We should, definitely we should go to the tower.
375587	378389	They said the barracks, but we should investigate.
379809	383671	Merrick, do you see anything strange on the beach or anywhere?
385072	386073	General sir, survival or?
387177	388017	What are you going to look for?
390158	390518	Tracks?
391159	393660	On the dirt or anything like that, or in the sand?
393840	394720	Can you scout around?
395541	396021	Absolutely.
396221	399662	All right, everyone stay alert.
399782	402083	Merrick, see what you can find.
402403	402684	Okay.
403044	405765	I'm keeping my eyes on him with my crossbow.
406065	407286	Okay.
407306	411787	And the rest of the men look at the ridge up the quays, basically.
411968	414589	Form up the ranks and start moving towards the...
416144	416504	Tower.
416604	423587	Okay, so you're gonna head towards the Quays and there's like stairs that go up to the top part of the ridge, but you're on the beach right now.
423928	430631	The sergeant wants you to stay on the beach until Merrick finishes his investigation.
431131	434352	So you look around for 10 minutes.
434432	434672	Sure.
434993	435313	Okay.
436213	436473	Roll.
437194	437474	Twenty?
437854	440475	Yeah.
440595	440875	Six.
442116	442676	Plus six?
442736	442936	Yeah.
443857	444797	Is that your turkey die?
445975	449137	You find a footprint in the sand actually heading toward the quay.
449257	454479	Obviously it's been since the last tide because anything that leads up to it is gone.
454499	456980	This is a bare print and
473522	476003	It seemed like the foot was webbed.
477763	478184	Okay.
480004	480244	All right.
482725	484386	And I'm a little shaken up by this.
487947	488287	Okay.
490948	494269	Okay, I'm gonna report back.
494869	497010	I'm gonna... You go back up to the sergeant?
497170	498070	Yeah, and tell him what I saw.
498310	501031	I don't want to alert and scare all the other men, but I'm gonna tell...
501331	502012	So you whisper.
502692	503152	Yeah.
504178	513222	I say I'm unsettled because it appears to be a footprint I haven't seen in a long time on these beaches.
515743	521945	I'm kind of just taken aback because I thought what I think it is went extinct a long time ago or it was taken out.
522726	525087	So this is very unsettling and very unnerving.
528588	529088	What do you mean?
530049	530649	Spit it out.
532011	540394	It appears that, uh, I'm thinking the thrillers have me too that it's the shoglin, shark people.
543315	544176	That's impossible.
544536	546537	They haven't come to Helms Island in centuries.
547517	550498	Yeah, but when we pulled up, I noticed a lot of sharks in the water as well.
550618	552259	So something's very wrong here.
553519	555660	Something I haven't seen in a long, long time.
557221	560622	We have magical protections on this island, as far as I know.
562076	563956	Well, there are greater magics in the world.
565457	566017	You never know.
567757	568878	We're not privy to this, right?
568898	570138	Because we're... Yeah.
571838	574739	I'm definitely not because I'm way away from it.
574899	576680	Well, we're not fighting them in the ocean.
578320	579200	We'll go up the Quays.
579660	580841	Tyrus, take us up the Quays.
581761	583041	Alright.
583061	588983	We're gonna get up these stairs and then start to form a rank and I'll be in the front, shield out, heading towards the
591526	593268	This here, the tower.
593528	599874	Okay, so you guys assemble at the top of the quays, at the top of the stair.
600435	604859	You form the ranks, and do you want it 20 men wide, 10 men wide?
605200	607502	Do you want the crossbowmen behind, I take it?
607762	608483	Yes, absolutely.
608503	611065	Crossbowmen behind, but make it like 10 wide.
611526	611826	Okay.
612126	612627	10 wide.
613388	614249	I want the rows deep.
615200	620823	So, two deep with the guys with the shields marching forward and the crossbow men behind.
621523	621783	All right.
622003	623244	And you are in the front one.
623484	623784	Right.
625665	627106	You guys begin marching forward.
627826	628066	Okay.
628086	628747	Do you go crossbow?
629567	630127	I do not.
630467	630948	Okay.
630968	632628	You just have raked it up.
632708	633729	He's playing his fight.
635250	638991	Can I take up the rear and continue to look around?
639292	639892	Absolutely.
639912	640112	Okay.
642390	643650	So we're off the dock now, I take it.
643710	653133	We're all going up to the... Yeah, you're off the dock and you're marching towards the barracks and the tower, correct?
653333	655473	Mm-hmm.
655513	655853	Okay.
659294	664595	I assume all of you are like looking around trying to figure stuff out.
664615	664695	Yes.
664715	669697	Mostly windows, openings, sides of the buildings.
669757	671157	All of you roll perception.
675507	680971	15, 6, plus 6, plus 2, 10.
680991	681051	18.
681292	681692	18?
681712	681772	17.
682432	684334	I got 6, so plus 6, 12.
684794	685134	12?
685255	685535	Okay.
686536	687276	I got a 17.
688717	689037	Okay.
689498	691199	Gouge.
691419	693101	Aristotle.
694982	702207	You see somebody staring out of one of the windows of
703590	704991	The tower as you approach.
705411	708192	But as soon as you look up, they dart back.
710933	715015	Tyrus, you see the same thing from one of the buildings at the barracks.
715555	715795	Okay.
717336	723098	A very strange feeling comes over you because these people seem to be very shy for some reason.
723878	725259	However, you know they're there.
726159	728340	The rest of the men kind of feel this as well.
729220	730541	Some people seeing them
732300	734080	Looking at you.
734961	737601	Was it human form or could I tell?
739942	741542	I don't know if you can really tell that.
741582	744202	What you can tell is it moved like human.
744222	747543	Like somebody was looking and their face, they move out of the way.
748323	754604	So I turn back to look at Merrick, try to get his attention as I'm looking.
754864	755205	Okay.
755685	756345	I just shout.
756585	757405	Someone's in the barracks.
760577	761899	You shout, someone's in the barracks?
762020	762280	Yes.
762781	763061	Okay.
775585	781207	A bolt streaks out and hits your shield, like right when you say that.
781347	784588	Someone shoots from one of the arrow slits there.
785088	786449	In the tower, though.
786549	787089	In the tower.
787449	789030	From the tower down upon you.
789210	789430	Okay.
789870	796472	You're probably around, I would say, 100 feet from the tower right now.
796972	797273	Okay?
797713	798173	Okay.
808690	811413	That's why I rolled an advantage, because you didn't see who the guy was.
813716	831275	All of a sudden, on top of the tower, guys start, creatures, humans, whatever they are, humanoids, start coming out of the doorways on the defensive levels to take up firing positions upon you.
833057	834699	We're going to roll initiative in a second.
835240	835480	Bye.
835821	836161	Hang on.
