start	end	text
841	1041	Hang on.
2724	3164	We'll go there.
4106	13559	Second Wealsun, probably around, eh, after 430, a little bit after 430, the marine unit is bloody.
14440	16283	Basically, um...
17925	26570	The hobgoblins fire bolts into the men that were downed in the yard, which are three men.
26710	28231	They do not let them survive.
28992	34955	They do not let anybody go out of the tower and retrieve them.
35115	39198	So three of the marines of your squad of 20 have been killed.
40178	40879	17 left.
41439	43600	None of your archers have been wounded.
43961	46062	However, many of you have been wounded.
47928	58730	The archers take up positions on the second floor, ready to fire on anybody that comes back, but they are hiding themselves so as not to be fired at as well.
59450	60650	It's kind of a strange...
60690	61970	It's almost like a volley here.
62190	62711	Exactly.
62971	66571	It's kind of like a strange sort of stalemate at this time.
66971	70712	On the other side, able to leave the protections of whatever building they're in.
71252	73032	Is this dude dead or is he down?
74313	76253	Well, does anybody want to keep him alive?
77592	79212	Does anybody speak hobgoblin?
79793	80553	I don't know.
80573	81533	We can't say anything.
81573	85234	Actually, what we're gonna do is survival roll.
86134	86554	First one.
88214	88595	It's good.
88935	89415	Second one.
90295	90675	It's good.
91015	91395	Third one.
92655	92935	Bad.
93436	93956	Fourth one.
95356	95756	It's good.
96336	99877	He's alive, and the sergeant takes him prisoner.
100617	102278	However, they dispatch the rest.
102818	103638	So this guy's gone.
104932	106532	The one that we pushed up against the wall there.
106552	108573	Yeah, he's there too.
108593	109613	The big guy's still alive.
109633	109833	Okay.
110514	120256	Now, basically you, the four of you come down into the area where the sergeant is and he has patrols there.
120276	122017	What do you want to do?
122097	125318	If there's still two guys up there, I want to climb that wall.
126658	129739	You want to go right now or do you want to, how many hit points do you have?
133025	135866	I've got 3 left.
136206	141507	I've got 5, 10, 15, 20, 24.
141587	144307	I've got 34 left.
144387	146988	I'm going to say a battle plan.
148368	151069	I want everybody to come together real quick.
152449	154350	Well, where are you?
154410	156170	Are you up here with me or are you downstairs?
157495	158115	He's downstairs.
158135	159255	No, I'm on the second floor.
159676	160476	He's on the second floor.
160496	160976	He's up here.
161096	164717	Yeah, I'm up there, but I'm inside this area right now.
164837	171659	So what Tyrus has done is he's put archers here and archers here, but they're laying low.
171679	175320	So the eight archers that are not, you or you, are there.
175340	181401	So I'm going to stick my head out and I'm going to say, we need a plan.
183041	183522	So come in here.
183802	184522	Like, come in here.
186118	187599	I'd rather get rid of the ones up top.
187839	188379	Let's do this.
188499	189599	Let's make a plan to do it, though.
190120	190400	Okay.
190680	191080	Here's this.
191780	192981	I'm going to go up the ladder.
193481	197282	I'm going to bang on the door to turn their attention to the door.
