start	end	text
757	4540	Second and Wealsun, around 3.20pm.
7162	9643	Folsom, you're with your unit.
10284	13966	You're part of a crossbow unit that is part of the Monmurian fleet.
15047	26635	And you and Tyrus have been ordered to report to the Royal Docks for a mission.
28497	29958	So you and Tyrus
32035	48636	Along with your marine sergeant have traveled from the harbor district down to the royal docks where a COSERA is waiting and you see many, many platoons of marines
50197	50838	Collecting there.
51778	61984	Tyrus, your entire detachment is collecting at the Royal Docks for some strange mission.
63384	73810	Basically you're sitting there, your sergeant is giving orders, and the men are basically arming themselves and moving their equipment onto the boat as are 250 other Marines.
73890	75711	So there's something strange going on.
76855	80918	Most of the men are asking questions and you hear them talking among themselves.
80938	81538	Where are we going?
81558	82319	What is this for?
83580	88683	Some people are basically saying, I don't know, we're going to reinforce somewhere.
88783	92546	Other people are saying that there are assaults that are going to happen.
93346	94727	You're not sure of these things.
97709	106015	There seems to be a lot of discussion regarding Helm Island and some strange storm that occurred last night.
106670	107370	Near the island.
108831	109971	Very confusing though.
110311	115973	The fact that the royal docks are being used to sally forth from this are doubly strange.
117813	134718	However, it becomes a little more obvious when a strange figure walks down from the royal palace on their personal
137294	137995	A stairwell.
141798	151165	A figure dressed in black clothing, which is strange because it's kind of hot and it seems like that would be very, very suffocating.
152186	156609	Wearing a silvered mask over his face.
160232	161533	He's accompanied also by a
165763	173366	A terse-looking elf, who's wearing a hat, trying to, in some way, disguise the fact that he's elven.
174306	184930	But the two of them walk past the marines, causing some kind of a... people to stop and look.
185010	186291	It's kind of strange.
186611	191633	And then they walk up and get onto the top deck, the steerage deck, with the captain.
195060	200381	One of the Marines says, I think that's Paul Ribeiro.
202762	204002	I've only heard rumors of him.
204702	205982	He's Prince Jeon's nephew.
211884	213564	Where are we?
213764	218285	You guys, you walk up, right, and you actually know these two guys, okay?
221452	226243	Merrick is a well-known scout and navigator.
228528	229589	In the Monmurgian Navy.
229649	236873	He actually is attached directly with Lord Seamus, but you know the sergeants and you know these two guys from whatever.
237873	242836	With him is this kind of older-looking, rough-looking guy.
243257	243457	Okay.
244537	246819	I would say he's not that much older than you guys, maybe.
247419	247839	Human though?
248119	248580	He's human.
248640	249320	He's Oeridian.
249420	250221	Yeah, definitely.
250861	256524	A seagoing man, armed like a Marine, definitely.
257485	257705	Okay.
259882	262363	Which one was Paul Rivera there?
263383	264123	Did they point it out?
264824	269285	Paul Rivera is standing on the top deck and they're talking about him.
269745	274906	He's got this metal mask, this silvered mask on his face.
276067	279128	Kind of like, you know, I'm going to describe it this way.
280608	287690	You guys know, have you heard legends of what leopards that were royalty would do?
288720	289100	Lepers?
289600	290801	Yeah.
291481	295082	You guys ever hear of the king of Jerusalem?
296343	296623	Yeah.
297663	302085	Who was a leper and he had this mask on his face that was just totally silver?
302765	303025	Okay.
303446	303626	Right?
304366	304546	Okay.
304666	307507	He did that because he didn't want to scare people, right?
307587	315170	But it's basically what royalty would do during the Middle Ages if they got a horrible disfiguring disease, smallpox or whatever, right?
317471	317851	Okay.
319342	327650	Now, all of you know who Paul Rivero is, even though he's kind of a mysterious person in Lord Jeanne's court.
327750	337039	He is the son of Jeanne's sister, Lady Alleria.
338197	338558	Okay.
338658	340399	Who died many years ago.
342742	352551	And Paul Ribeiro never really shows his face, but the rumor is that he was horribly disfigured when he was a child by some weird accident.
352791	353953	And Merrick is with him?
355114	355794	Not Merrick.
356095	356835	Oh.
356935	361940	This weird looking elf, this like kind of tight-lipped,
363095	363315	Elf.
363696	363996	Okay.
364276	366477	Right, with a very, kind of a sour look on his face.
366538	370701	It's like, not a joyous elf.
370921	372982	Like, should have been born a dark elf, but isn't one.
373222	373623	Exactly.
375138	378640	And so how do I know these two, just from past adventures?
378680	380601	These guys are Marines.
380701	383642	And of course, you know Tyrus.
383662	385383	Tyrus is actually well known in the fleet.
385423	386784	He's kind of a boisterous guy.
387284	388145	Very charismatic.
388205	389045	Everybody loves him.
389365	390126	Tyrus?
390506	391146	Tyrus, yeah.
391286	391986	He's a big dude.
392147	392827	He's a big dude.
393267	405198	And Folsom is actually their companions because there's nothing that Tyrus likes more than to listen to Folsom play as Five because he's the best musician in the fleet, basically.
408521	411424	Not a very good fighter, but
414612	422600	Having somebody that lifts morale on a ship is probably more important most of the time anyway, so that's definitely what the deal is.
422940	429846	Anyway, as the two of you walk up, Tyrus' unit is the one that you're going to be attached to.
431648	438435	The two of you see Merrick coming towards you, you know he knows something.
438875	439536	He always does.
441590	443611	And I'm with him.
443652	444172	He's with him.
444192	444712	Okay.
445052	452818	And so this guy is a little suspicious to both of you.
453218	453538	Okay.
453558	455079	And Merrick, is it human?
456300	456921	Merrick's Oeridian.
456941	457881	You're all Arideans.
457961	458322	All of us.
458402	458702	All of us.
458762	459142	Okay.
465787	466287	Aristotle.
469027	469887	So they walk up to us?
470007	470248	Yeah.
470868	471848	Tyrus, good to see you.
471988	476550	Merrick, bye!
478391	480392	My colleague Aristotle's good to meet ya.
481353	482133	Nice to meet you.
482153	483934	It's a pleasure, Aristotle.
485054	485835	Nice to meet you.
486015	486755	Names Folsom.
486915	487435	Folsom.
488296	489136	Can you play that thing?
489836	490697	And I play it well.
492588	492868	Dwell.
492928	493328	Okay.
493969	494689	Play Dwell.
495610	496510	Merrick, good to see you.
496650	500773	Folsom, what instruments are you bringing on this little trip we're going on?
501093	502033	Oh, nothing crazy.
502053	504415	Just as usual.
504955	505275	Great.
505775	506856	My favorite.
506896	509257	I know you love it.
509798	510838	I'm playing the crossbow.
512139	512919	As usual.
513059	515221	A popular one amongst us.
515261	515581	Yes.
516661	517702	The sergeant walks up.
517722	518903	He's got a certain twang.
520644	521024	And he says,
522648	523609	Merrick, you joined us.
526532	527673	Jamis said you'd be here.
528414	529655	I got a message from him.
529775	532237	Can I inquire as to why you're coming with us?
534680	535501	Jamis' orders.
536241	544910	Heard the weather was a little rough lately, so he needed me to, you know, steer the ship or watch out for anything that we might find alarming.
545410	547112	Do you know why we're going to Helm Island?
549247	550587	Not in particular.
550667	556349	Am I supposed to share this with him?
556929	558589	No, no idea why we're going to Helm Island.
560209	566011	I heard that we maybe need to be checking on a shitlip coming in, patrolling some goods.
568091	569552	So this is a supply run?
569692	570912	We're supplying Helm Island?
571892	575553	No, making sure other supply runs get there safely.
578126	580268	It's an escort trip.
580288	583510	Essentially, yes.
584271	584791	Who's this?
588474	589035	Aristotle's.
591157	592418	He kind of looks you up in the middle.
594640	597802	Do a performance roll, which is a 20.
598603	599183	One die 20.
600404	601245	What am I looking for?
601685	602686	I don't know.
602766	604788	Well, there's a DC associated with it.
604808	605669	What's your performance?
608637	610358	Performance is a minus one.
611518	613759	Okay, so you're trying to pass.
614039	614559	So, roll.
617641	618921	Nine.
618961	621282	Minus one is eight, which is my charisma.
621342	622763	He kind of looks at you up and down.
