start	end	text
1452	2793	Okay, second Wealsun.
4975	14542	Merrick is in the office of Lord Jamis, having been summoned to his office.
15142	17164	This is sometime around 3 p.m.
19465	29593	He enters the office and sees a strange man sitting on a chair in front of Lord Jamis's
36828	39930	Not the kind of character Lord Jamis would normally have in his house.
41952	43313	Kind of a rough looking guy.
48276	49457	I've never seen him.
49477	49937	No, he's...
51859	56362	He doesn't look... too soft.
56862	58904	But he's a sailor, obviously.
59744	60425	He's armed.
61855	63815	With a bow and a sword.
64616	66236	But he looks very fresh-faced.
66896	67016	Okay.
67556	69036	And do I know why this meeting's happening?
69256	69517	No.
69997	79678	Lord Jamis had one of his runners come and get you from FURDS earlier this morning.
80118	81179	So what's this meeting about?
81299	84699	You ask him?
84859	86020	No, I ask Jamis.
86120	86980	Jamis is not there.
87080	87640	Oh, he's not?
87800	87960	No.
88160	88540	Oh, okay.
92455	94376	What are you doing here?
94496	96076	I was sending my Lord Jamis.
97337	100058	Who are you?
100938	102198	A friend, the hand of Jamis.
103279	103819	Interesting.
103939	113602	I usually know, you know, close friends to Jamis, so I never heard... Jamis walks in.
114122	115363	I have no close friends.
115403	116923	You should know that by now, Merrick.
117703	119724	He sits down behind the desk.
120084	122125	I have associates and I have enemies.
123363	125004	I counted your father among my friends.
125064	130927	Unfortunately, with his death, I have very little that I wish to speak to.
131547	134008	Gouge, however, I would talk to about certain things.
134028	135229	He knows the way of things.
138791	139411	Okay, Davis.
141292	142993	I summits you both here for a reason.
145654	150877	As you know, the city has been in dire straits lately.
151277	152398	This war with Keoland...
154137	159380	And it's gone badly for us.
159460	163342	Last night, another bad turn occurred.
163362	166984	Getting worse.
167004	171566	Closer, even.
171606	177329	We did not lose these ships.
182570	186173	A fog engulfed Helm Island last night.
187214	188455	A strange fog.
189717	191558	Very strange for this time of year.
192419	197103	Normally the winds would have bloated away and the ocean would not have been warm enough to create that.
198925	207633	When it lifted, we signaled Helm's Island like we always do after a storm or occurrence when we lose contact.
209180	212863	The signal we received back was not appropriately coded.
216425	216825	Hmm.
219647	238821	I've just come up from a meeting with Prince Jeon and he thinks that I'm a little too alarmed, but he's willing to send a Cossaire out that direction to get in contact with Lord Fairwind, who is currently running the garrison on Helm's Island.
239412	239772	Okay.
241734	244236	Did any of our troops do any inspection or anything?
246538	252784	You are the first unit I'm going to be sending out there to do the inspection.
252824	253404	Am I right or no?
255346	256167	I'll give you guys a minute.
256187	257068	You want something to drink, though?
257108	258108	Give us a minute, T-Bone.
258129	259570	Anybody want anything to drink?
261031	263914	There's all kinds of mishmash in there.
264394	266276	White Claws, Boneyard.
267732	268312	I'll put that.
268332	268893	Is that cider?
269513	270634	No, it's an IPA.
270674	271534	I like that.
271574	281961	How do I turn this down?
282942	283722	Counter-clockwise.
285203	286484	That turns it off.
286844	288805	Do I turn everything off?
288825	289606	You want everything off?
290066	291087	No, not really.
291367	291927	No, the other way.
293148	293488	Counter.
293829	294509	Yeah, there we go.
295069	295970	That'll fire back up.
303861	308147	So I was the first to know, alerted to this.
310910	315537	So, you must have
318094	321235	Greater than just intuition or suspicion.
321276	328059	If you're calling me to go out there, you obviously have him and a crew could go inspect and get the proper coding.
328139	331961	I have talked to Lord Jamis about my suspicions.
332681	333961	However, he...
334022	334542	Prince John?
334782	336503	Prince John about my suspicions.
336823	341885	However, he has rejected them, unfortunately.
341905	347428	I personally think that Lord Fairwind is a traitor to the other princes.
348894	358682	I've talked to you about my concerns regarding the Toli, the Prince of Toli, Saknad Toli, and how he has been acting towards us lately.
359303	362025	I believe that Lord Fairwind is feeling this way as well.
363747	367870	He made many demands in Privy Council last month.
371333	376418	Specifically regarding more money from the trade that comes into Monmurg.
377508	381074	There's been bad blood between him and Jeon for years now.
384099	387726	I'm worried that he is working with Toli in some way.
389630	396114	Have I noticed anything suspicious during controls around Helm Island in my last few weeks?
396294	396514	No.
397775	400076	Actually, everything seemed completely fine to you.
400316	405379	Now, you don't go into the council room with Lord Fairwind and talk to him.
405619	408000	He's way too high for that.
408181	410002	But you haven't seen anything like...
411146	414988	You know, Sahaugin tracks on the beach or anything like that.
415408	418889	No rumors amongst the crews and the people.
418949	428334	Well, the rumors among the crews are very, very interesting to you in that they are basically like, why aren't we going out there and kicking the shit out of the Keogh Navy?
428354	431795	You know, we could easily destroy these guys if we wanted to.
431955	433336	What's holding us back?
433956	439919	And that's where the stories of supernatural occurrences and the strange storms
442793	452559	have occurred that have put the Monmurgian fleet and the Outer Island fleet at disadvantages during very strategic times.
452959	459183	And there have been a couple of ships that have been lost even though they should have easily have won in battle.
459243	469830	The survivors of those ships, and there have been a few that have been collected, basically told of fog and
471382	476425	A large ship coming out of the mist.
477066	482969	A ghost ship that was like one of the Toli slavers.
485711	492755	Huge ships that are 300 feet long that would crash into the Cossairs and destroy them.
494136	497398	And then disappear, not being seen.
506388	520984	So upon these rumors, this is the first confirmed of like a strange fog that has happened, that there's been rumors of different stuff, but this is...
521304	526670	The fact that it happened this close to Monmurg makes me think that the news is closing around us.
528683	536325	I don't know if this is the Toli, even though you've had interactions with their agents, this Lord Front, or if this is a ploy by Keoland itself.
540106	542407	Is Kane Toli doing these things, Gouge?
542467	543207	I have no idea.
544268	547389	To be truthful, at this moment in time, I do not care.
548869	554811	I'm sending you, with the Kosair, to be my eyes.
557247	565290	I want to know how the captain does his job, and if there's anything strange regarding the island itself.
566770	568431	I'm sending you for another reason.
570931	581475	I want to know if Lord Fairwind is a traitor, and if he is, I want you to do what you do.
581495	582655	Get to the bottom of this.
583639	585040	You'll have an ally on the boat.
585761	590944	You will be disguised, however, as a crosswoman in the unit.
592426	595228	You're not going to be able to wear that armor that you have on.
595408	597309	I have some studded leather for you in the back.
598290	600071	You must disguise yourself, Gouge.
602913	603234	Fine.
605115	606336	Jude will be on the ship.
607917	609058	Do not speak with him.
610116	610356	Good.
610917	611437	That's easy.
611817	626849	He will be in the presence and accompanying a young princeling named Paul Rivero.
626909	632793	Paul Rivero is Prince Jeon's nephew.
633454	634575	No harm should come to him.
636156	637117	I argued against
638067	641870	Paul Rivero going on this mission, but Jeon wants him there as his eyes.
642210	645852	He's trying to give the boy more gravitas.
647493	650695	You're not going as far as saying that I've got to watch out for him.
650716	651556	That's Jude's job.
652477	652857	Perfect.
652917	656619	However, if Paul dies, it will reflect badly on you and my eyes.
658721	659121	Okay.
660702	661603	Help Jude if needed.
662463	663304	That's all I'm saying.
669175	670056	You up to this task?
670076	678162	I mean, if one Ferris put me on it, then we'll let it be sold.
680284	690272	Merrick, I know it's going to be difficult to trust Gouge from the get-go here, but he is a very loyal man to me.
691313	693975	Trust his judgment, especially when it comes to battle.
695236	697117	If you trusted my father, Jamis,
699640	710866	I don't challenge your judgment.
710886	710986	Good.
712187	722973	Please support his authority if required with the troops, but only if it is absolutely necessary should you expose yourself.
724254	727996	What I would rather you do is be able to infiltrate the helm
729622	737127	Become close to Lord Fairwind as a troop, trooper, and see what is going on.
738868	743131	It could be that I am just paranoid and everything is fine out there.
