start	end	text
591	1351	Second of Wealsun.
2252	3692	Approaching.
5233	6213	Good night.
6493	8934	I can take my Homoculi.
9194	19678	If you just want to go out there, like you and two other people, and then drop it, and then we can run back to the barracks, and then I can see...
20978	22379	What is this word you keep using?
22699	23379	Homoculi.
23619	27721	Okay, so I pull out my homoculi, and it looks like this little lizard.
27741	30003	It's about that big, that long.
30103	30963	It's made of clay.
31743	35725	He pulls out this little figurine made of clay.
36346	37006	It's a lizard!
37286	38787	Oh my god, this guy is a kid.
40642	42823	Okay, alright, sure, whatever.
43123	47724	And then I climb it up on the wall, and then I glide it to the other wall.
48004	51065	And I can see out of it, and I can hear out of it.
51145	52366	Think of my toes.
52846	62989	So basically, all of you are struck by the witchcraft that Paul Ribeiro is displaying to you.
63029	64910	I'm going to call it witchcraft.
65510	65870	I would.
67527	67767	It's not.
67907	69869	It's definitely witchcraft.
70169	71910	It's not, no, a witchcraft.
71950	74151	Hey, your witchcraft keeps me alive, I don't care.
74171	75292	Just quit while you're alive.
76573	76913	All right.
77653	81576	But the point is I can see and hear out of this thing.
81656	82716	So we can take it with?
84077	89640	I can take it with us and we can drop it there and then we can just run back to the barracks and I can see what...
89680	90101	Wait, wait, wait.
90141	93523	No, but if we have to sneak there, let's just bunker down in the rocks.
94503	95744	And you see what you can see.
96484	99005	I'm throwing an idea.
99045	101007	I'm just saying, I don't think we want to make that trip twice.
101107	103568	Once we start then, you guys guide us in.
104148	107630	We can all hunker down in the rocks on the coastline.
108110	111232	If you want to send out your winged companion, great.
111532	112112	That's awesome.
112153	113533	But I don't think we need to go back to the barracks.
113553	114554	Does that thing get hurt?
115594	118636	It looks like it's clay, so it's not alive.
119176	122038	Can you throw it and stick it to a wall or something, or no?
123286	123827	No.
123847	124588	Okay.
124688	130292	I mean, okay, it can get hurt and it can die, but I don't take damage and I can't.
130512	131893	Well, I don't want to kill the thing.
131934	133795	I just didn't know what it was.
134115	135717	I mean, you can take it and wing it out there.
136257	138139	He can make another one at some time in the future.
138179	138619	I don't want to.
138659	140641	He just has to jack off a little bit.
140681	141401	Whoa, whoa.
141421	142502	Of course he does.
143383	145164	Alright, sounds like it's not too easy to make.
145184	145925	No, it was blood.
146245	146906	It was blood.
146966	147887	I didn't do semen.
149969	155598	He didn't even explain that to me until I was reading the book and I asked him to leave.
155678	156399	It's okay.
156419	159023	He can make another one if it gets crushed.
159344	161527	I trust you can help him with that if he needs it.
162228	162689	No problem.
164772	165352	Here's the plan.
165372	168414	We're sending some men out as a distraction over here.
