start	end	text
5272	11937	Morning light is actually starting to shine through from the cave.
11957	26248	And when I say morning light, it's obviously coming near dawn, but the sunrise is probably still an hour away or so.
26648	27829	So I would say it's around 5 p.m.
33383	38424	The four of the party members begin running down the platform towards the beach.
39905	47047	That includes Tyrus in front, Gouge, next to him, Paul Rivero behind him, and then Folsom bringing up the rear.
48835	50436	Jude is on the ballista.
50956	55139	I'm also keeping an eye out and see if Fairwind's swimming around anywhere out here.
55359	55979	Absolutely.
56439	58700	And then Merrick is...
59481	60882	I'm also on the ballista with him.
61082	62503	Okay.
62943	64684	Well, the way the ballista works is this.
65064	70047	One person shoots it, but to fire a ballista it has to be loaded.
70807	73268	Cocked back, and then fired.
73548	76509	There are three actions that need to happen to fire it.
76529	79590	So while they're moving, can we at least have like one round ready?
79610	81751	Yeah, you get one round ready to go.
81771	86033	I'm just saying, my archery proficience might, does that come into play with the ballista?
86593	88514	Or is it just kind of just so big that it doesn't matter?
88534	89914	Oh, like should he be the one firing it?
90174	91295	Proficiency matters.
91515	92715	I'm gonna pop in that seat.
92755	95996	Then I'll help you and you play.
96677	98237	I have your bow ready though.
98497	99598	I mean, I'd have your bow ready.
100494	103395	Now, obviously dexterity matters, and you've got good dexterity.
103415	104196	Yeah, I was gonna say.
104276	104976	I'm a plus four.
105136	107337	But you have good dexterity too, right?
107637	108518	Yeah, yes I do.
108718	111259	Yeah, but your bow is probably...
111279	112700	Okay, you can hit a lot of shots.
112720	113880	What's re-disintegrated?
113920	115541	How about if I help him?
115581	117002	Can I help him or resist?
117702	119663	I think what Tyrus is saying is that...
120700	128146	A bow and a ballista firing at the same time is more effective than him on a ballista with you not shooting your bow.
128227	130609	I hope you will load it up and I'll ready my arrows.
130669	131930	Okay, perfect, perfect.
132030	136534	So we get it loaded up, I'm ready to shoot, and he's ready to shoot.
137134	137394	Right.
137795	138796	Otherwise you're just standing there.
139416	141858	Okay, so you guys are running down to the docks.
142259	142479	Right.
142799	144701	Okay, you get to about there.
147528	150412	And sahaugin start coming out of the water.
150452	154577	Sahaugin!
155177	156479	Hey, that's the barrels.
157060	157340	Cool.
157420	160904	Isn't that cool?
161625	164849	Okay, so... Harry Potter.
170168	173949	Brodhead, Ballista, those three right there.
174249	181531	All right, so let's begin comment, but you guys were both on Overwatch, so if you want to fire right off the bat you can do that.
183711	184711	Which one do you want to shoot at?
186512	186832	Fire.
186912	187412	How many are there?
187652	187972	Five?
188352	189152	You see five there.
190113	191013	I do see five there.
197576	198936	Your bow should be right there.
199597	200697	Plus your proficiency.
201457	203518	Eight plus seven.
203638	212540	Okay, yeah, that hits him.
213040	213901	Nine points of damage.
214061	216061	Okay, so you hit one of this hog in with an arrow.
216461	218602	He does not fall, but you wound him.
220722	222243	You did get advantage, but
223918	225038	You're at long range.
225279	227019	You're far away, so it kind of evens out.
227119	230401	Okay, so I'm shooting the Ballista where I can get those three in a line.
233842	238504	So you fire at this guy.
238904	239725	Okay.
239745	239805	18.
240445	242006	The Ballista hits this guy.
242746	245787	Now a Ballista does 6 die 10 worth of damage.
246047	246327	Wow.
246928	247348	Holy shit.
248682	250583	Cut right through his ass.
251204	251924	Oh, die ten.
252745	253545	Oh, die ten.
253605	254306	Oh, shit.
255526	256547	Here's two of them.
258328	260569	Here's another ten.
260609	261010	How many?
261070	262070	Another one?
262090	262691	Oh, that's enough.
262751	263351	Six die ten.
263391	264752	One, two, three, four.
264812	265352	That's seven.
265913	267354	Six.
268814	271036	Here we go.
271636	272517	Okay, so that's...
274045	276908	Seven, two, five.
276928	277528	You count it out.
278009	284634	Three, two, four, seven.
284674	294142	So that's nine, ten, that's sixteen, sixteen, seventeen, eighteen, nineteen, twenty, twenty-one, twenty-two, twenty-three.
294883	298266	So that ballista sticks through the guy and kills him.
299026	299747	Doesn't go through?
301905	319049	So the way a ballista works is there's a line of attack, right, and you roll the hit points that you do, and then you roll to hit the guy that you're going through, and if the hit points are more than his hit points, it goes through.
320290	321450	So you killed him.
322752	325413	But you just killed him.
325893	332796	If you had done 60, the 22 would have been minus from what is, and it would travel to the next guy.
332816	337719	So it kind of like just cuts his chest in half and kind of digs into the ground at the other guy's heels.
337959	340260	No, it just sticks through him and stops in his body.
342481	343141	Not that cool.
347621	349221	A fireball would have been better.
349421	350482	Okay, Anish.
351542	352602	Ooh, they do hate fire.
352902	354263	You could cast a wall of fire.
357064	358484	Twenty-two for Folsom.
358524	359004	Twenty-two.
359024	361305	Folsom needs to quit being in the back.
361325	362186	Nineteen.
362346	363306	Nineteen for Gouge.
363366	364106	Nine for Merrick.
364466	364746	Sixteen.
364826	365507	Nine for Merrick.
366247	366727	Sixteen.
369728	370728	Twenty-two for Paul.
370828	371689	Twenty-two for Paul.
372789	374990	They get a six-eight.
376312	377413	And Jude, what do you get?
378693	379554	Oh, am I rolling?
379994	380134	Yeah.
380154	381975	Separate from the plus four?
382115	383937	17 plus four is 23.
384337	384597	Jude?
386118	386338	21.
386418	386558	21.
387058	387619	What do you want to do?
388379	388639	Me?
389080	390000	Yeah.
390200	391081	Oh, I'm sorry.
391121	393502	Folsom and Paul get to go first.
393722	395563	Can I just, am I 60?
395844	397705	Can I see him coming out of the water?
398805	399606	Yes, you can see him.
399726	400867	All right, let me use Vicious Mockery.
402057	403017	Vicious Mockery.
403737	404838	Here's his saving throw.
405018	406038	You silly fish.
406998	407499	Five.
407739	408639	He does not make it.
408979	410599	You do a one die, four in damage.
