start	end	text
1291	1592	All right.
2412	3272	Third Wealsun.
4232	7033	Just after midnight, the group is in the inner sanctum.
8554	17137	Paul Ribeiro comes out of this trance, this little clay lizard, scattering around the side.
17297	18397	Holy shit, guys, we got him.
19297	20678	Uh, Farrowin, yeah, he's gone.
21138	21538	He's evil.
22258	25139	He is in there talking to Tutoly right now.
25899	27020	What does Tutoly look like?
29201	33726	I need to know if they're wizards or are they fighters?
35828	37030	They were not wearing armor.
38437	40758	They carried swords and daggers.
41058	41438	Okay.
42639	44819	Okay, there could be nobility, but...
44999	50742	So there is a hobgoblin right there across the door and then it goes down and then right to the left.
51282	57744	Okay, I can try to use my toad to just see if I can bring that hobgoblin around the corner to us closer.
58104	59285	I'm gonna lay on the floor.
60325	60986	The crossbow?
61226	62267	Let me just try to do this.
62467	64349	I need you ready to assassinate the hobgoblins.
64369	70895	I'm going to send my toad right out here in whatever the shiniest part of the floor is where he can be and I'm just going to have him do it.
81743	87186	So you guys crack the door open slightly.
87767	91449	And you're sitting there with your crossbow.
91809	95011	So Paul has something clear above me, so I'm gonna lay down.
95831	98153	So you can fire above me.
98333	103296	Okay, so the three of you are sitting down like that.
103336	108899	This is a hobgoblin in heavy armor, and I have a dagger that does great against guys in heavy armor.
109139	110880	Do we want him to shoot with a crossbow?
111060	113321	I think we take both an assassination shot.
113341	114462	Yeah, just talk about both of them.
114482	117904	One of us should be able to drop him if we both hit him.
117924	120185	If we can't kill him then... We got problems.
120265	125808	Okay, I just want to see if I can all look through my frog's eyes and just try to get this dude's attention.
125828	125928	Okay.
126928	135052	You kneel with your crossbow, basically on me, with your knee on me, and see if Merrick can notch right above that.
135393	138374	Okay, so the three of you get in position to fire.
138714	140896	You're laying, you're kneeling, and you're behind them.
141396	143677	I want you to roll your stealth to see how...
144718	147759	I say, remember people, I want Fairwind Alive.
148600	148840	Yes.
150445	150986	Shit.
151666	153388	That's an altogether 13.
153528	153668	13?
154128	157050	That's 67.
157090	157931	Would they have advantage?
159052	160593	No, they do not have advantage here.
161053	164196	14 stealth plus 5, so... 19.
166317	167198	Four.
167378	168219	Four plus?
