start	end	text
812	5515	Third of Wealsun, as the party begins to approach the inner sanctum's guards.
5535	8758	Okay, hobgoblins over here.
11260	24631	You begin walking up and you see a hobgoblin there, a hobgoblin here, and they're basically guards there.
26169	30610	This guy is wearing a breastplate as well.
32211	33151	Same thing you're wearing.
33692	35492	He's got the red mark on it.
37093	43795	So, Merrick, you know that around the corner, that's the door that goes into the inner sanctum.
43835	45055	That's where you need to get to.
47096	48937	Your guys are kind of whispering.
49417	49797	And this...
51303	55847	Do you see the outside building?
56348	62515	So this tower, basically we went in here and we're marching across this here.
62635	65298	Would there be another tower here yet or no?
65318	66599	This is where the Inner Sanctum is.
66659	68742	These towers are part of the Inner Sanctum.
68762	70383	Okay, I'm with you now.
70403	70704	Let's see.
72853	83525	So what he was saying was, when we went into the big tower, we came out, and I believe we're on this, the inner sanctum is this section right here.
86315	88536	Is it this section that includes these two towers?
88576	90696	Yes, it's this section with the two towers.
90736	91976	You guys are marching through here.
92176	95397	Okay, but on the lower level, not on the topmost.
95497	97498	So we're on the level right below this.
97518	100038	This is the topmost, and this is the inner sanctum.
100058	103219	So as we come in, we turn right, and there's like a doorway.
103739	106360	Does that make sense?
107180	107620	Yeah.
107700	112081	Go ahead.
112381	114362	I think I'm going to cast...
115748	118589	Charmed person at the bigger of the brutes.
119649	122889	Okay, so you guys begin walking up.
122909	126170	Do I notice that he starts to...
126210	127450	Hang on, hang on.
128010	139072	So you guys are walking up, and you notice this guy that's wearing a breastplate.
140152	140492	Okay?
141553	143833	And he kind of looks over at you guys.
145162	146663	You're going to cast Charm Person?
148004	150225	And I'm going to walk like I own this fucking place.
150565	151105	Okay.
151505	153447	So, you cast Charm Person.
153467	155808	Don't you have the lowest rank in Farmer?
156048	156788	Yeah, probably.
156808	157729	This badge.
158749	160590	Let's see what the range of Charm Person is.
165173	166915	He actually has a scrub.
166995	169958	It's 30 feet, so you're gonna cast it when you're 30 feet away.
169978	174843	Okay, so you guys are marching up, and you're 30 feet away, and it's dark.
175164	178888	So, I mean, the guy has dark vision, but it's hard to make stuff out.
179649	183653	And at 30 feet away, you're this guy, right?
184734	186436	So, right when you're here...
187897	189438	And you guys are just marching forward.
189638	190978	I prepare a spell.
191339	191779	Okay.
192119	192619	Which one?
192659	193159	Suggestion.
193379	194000	Suggestion?
194600	195420	For eight hours.
195500	197501	Ooh, rub it raw.
198482	201623	You cast your own person on him, right?
201643	203804	He looks at you and says in Hobgoblin,
222281	224442	Anybody understand that.
225362	226603	I'm gonna walk right up to him.
228464	230264	Just go walking right up to him.
230284	233266	You want to get right in his face?
233546	233846	Yes.
234426	235827	With your costume?
236027	236387	No, no.
236487	241449	I'm gonna walk right up to him.
241489	242089	Right in here.
242890	244070	And not really look at him.
244090	244871	Not really look at him.
244931	245411	I'm gonna go...
248319	273261	You just say gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling gobbling
275313	279637	I was gonna say, don't they understand goblins speak common too, right?
279797	287484	I'm just gonna say, pardon my general, his throat is sore.
288826	292089	You walk up and say, excuse me, his throat is sore.
292149	297214	I would like to make my suggestion now.
298975	303499	This is a DC-15 roll, and it's performance.
303839	305540	Can I make my suggestion now?
305881	308022	7, 17, plus 6, 23.
308042	308202	Wow.
308262	310524	And I'm not stopping.
311125	312386	So you just walk to the door.
312466	313267	I'm just walking.
313467	313707	Right.
314027	317050	So you walk up to the door, and it's locked.
318611	319431	So grab my keys.
319652	320512	And start opening it?
320532	321153	Start opening it.
321373	327098	Okay, the hobgoblin looks at you and says, why are you speaking as a human?
328072	328953	We're not among them.
329273	329973	Oopsies.
330014	330994	My bad.
331034	331435	My bad.
331555	332695	I love him just go.
332715	332976	Gollygoo.
332996	334557	He goes, no matter.
343718	344459	Why are you here?
345840	346741	You unlock the door.
347061	347741	What are the rest of you?
347761	348742	Do the rest of you go around?
349322	351784	I'm trying to follow.
352444	356067	So the rest of you basically walk around this goblin.
356247	359129	This hobgoblin just says, he's just looking forward.
359229	363111	Like he's, you know, I'm gonna let the big boys talk.
363292	364673	Obviously there's some conflict.
365213	366013	What do you say to him?
367034	367935	Unimportant business.
371416	372978	Are you speaking to Vitoli?
375359	378422	As a matter of fact, we are.
379142	383246	He goes... Well, he has the rank.
385447	385847	Alright.
387088	388049	And the keys.
388109	388570	Goodbye.
393672	395733	So the door unlocks.
396373	404677	The six of you... Well, the funny thing is Folsom talking to this guy distracted him from everything else.
405397	407758	And the six of you just walk in through the door.
410519	411499	Lock it.
411559	412500	You shut the door.
412960	413860	I need some axe.
414041	414801	And you lock it.
414881	416181	And there is a bar.
421033	422413	If you guys want to put that in.
422553	423654	Absolutely.
424034	425494	Okay, so you guys put the bar down.
425714	427735	I don't know what's in front of us, but I know what's behind us.
427775	430055	We're leaving an awful lot of unresolved trauma behind us.
440292	442554	That's why I've got a bar, too.
442594	445137	Everybody, let's get a stiff drink before we go further.
445437	447399	Oh, I've got one.
448259	453945	Okay, so you enter kind of an area that is 25 feet wide.
454045	454986	Yeah, there's that.
455086	457368	I need the, where's my, oh, there it is.
457508	458349	Oh, marker, I'm sorry.
459654	466039	Okay, did we all hear what that guy said about are you here for the Toli?
466079	467280	He said that in common, right?
467400	467980	Yes, he did.
468000	469021	He was speaking in common.
469161	472704	Okay, so I look at you because you've been here before.
473564	476927	Does this mean if we're in the inner sanctum?
477027	477968	Is that door?
479128	480930	In the inner sanctum?
481150	483472	Yeah, would that have been the barrier?
484356	486477	From the keep to the inner sanctum.
486577	490457	There's one more over here, but you are basically in the guard room.
490477	492838	I mean, if you get this far, you're like right there.
493098	496519	Okay, but we don't know yet because I'm thinking a fairwind's been compromised.
497219	510122	If fairwind's in on it, we need to know how far we've gone into the same place because this seems like real lightweight stuff if there's fairwind and a hundred or fifty dudes of his that are like, you know, holding up in here.
510602	514023	Twenty dudes is not going to hold fifty dudes in there if they wanted to sally up.
514884	518347	Yeah, that's what I'm thinking as well.
518367	518567	Okay.
518587	521150	So you guys walk into this area, and it's lit, but empty.
521430	522051	Nobody's in here.
522131	522331	Okay.
535865	536726	How far does this go?
536906	537427	Is it sanded?
