start	end	text
412	1192	Third of Wealsun.
3153	13678	As the sun sets in the west, Gouge pulls him out of the bar to an alleyway and sits him down to have a little talk.
19361	20382	Know what you're trying to do?
20402	21342	Did you like the song?
22803	27325	Yeah, fucking loved it actually, but saw it didn't go over while reading the room.
29023	33067	And took it upon myself to get your ass out of there the best way I could.
33807	35789	Everyone was kind of stunned looking at you.
37311	39432	So I made a bigger scene.
40934	43016	Showing a little blade and grabbing you and taking you out.
44457	48941	Obviously looked at Ty because they know he was with you.
49241	50482	Told them to sit the fuck down.
52524	55527	Just to know that's being handled in case there was any bad blood from this.
58928	60009	So this will blow over.
61310	68095	But this was my one for you pulling you out because I didn't want it to get any worse.
69435	72638	And here I thought I was ending my life.
72678	74119	My life was ending.
76260	76440	Oh.
78482	78882	Yeah.
79262	84706	No, you guys do have maybe a little bit of preconceived notion of
85874	90276	I don't know who I am or what I am, but remember when I shouted out and you thought I was the asshole?
90897	91457	It is Jude.
91717	92938	It's not Jude, okay?
94699	99241	I mean, I'll follow the law, and it is, and there's no reason.
99362	99542	No.
100682	106786	You have no reason to fear me unless you cross somebody besides me that I'm loyal to.
108046	109747	That's the only thing we should fear.
111809	112309	Fair enough.
112629	114190	Well, I appreciate you getting me out there.
116103	120306	You want them here for this little next bit?
120446	123067	Tyrus walks out and you find the two of them in an alleyway.
124408	129791	Gouge actually has his arm around Folsom's shoulder and is talking to him in not a mean way.
129811	131572	You're not sure if that's a good sign or not.
131952	134433	So I see him come up.
134573	137755	I'm just gonna throw up Knuckles to him.
138676	140016	Okay.
140777	141878	Is this part where I get stabbed?
147959	148600	I'll tell Ty.
149300	152182	Great song, but not the best crowd, brother.
152443	153804	Yeah.
153844	159108	Hey, I read the room and pulled them out, and that was just all for show to get them out.
160409	166774	I told him it was a joke and bought him all more beer, so I think that'll cure a lot.
169156	169476	All right.
170797	171358	Where's Mary?
171398	172258	Did you leave him in there?
172398	172759	I did.
172799	175401	He was talking to Owen, so...
176982	177529	Do you mind?
177772	178238	You guys...
179050	180691	Don't have business in the barracks, or do you?
180931	181931	No, let's find it with a bar.
182752	184053	Can you go grab Merrick?
184233	185293	I got a word with him.
185833	191856	We'll be here, come back, and we'll clear these guys with what he just did, and go have a couple.
191876	192997	So I'll head back to the bar then?
193697	200061	Do I need to head back to- Well, you head back, and actually when you walk in, you see Merrick just shaking Owen's hand and moving towards the door.
200801	202642	So I'll just casually step outside the door?
203842	205423	So you have to say something in the private room?
205443	205683	Yeah.
206044	206144	Oh.
206724	207945	So we'll step out here.
219018	222959	It'll be basically something.
223019	224239	Ancient cloak.
225540	226600	There's a green stone here.
228700	229681	Quite the gem you have here.
230501	230781	Yeah.
232301	233821	I don't use this as it should be used.
235022	235322	Okay?
236682	241623	But this thing is probably going to make your songs just a little bit better.
242243	242544	Okay?
243484	243964	Understood.
245844	248385	But this comes with a price if you accept this.
249713	250374	The price being?
251214	266126	The price being, if we're together and we're in combat and stuff's happening and you're gonna play your tunes or whatever you're gonna do to benefit somebody, I want you to look at me first before you decide.
267707	268368	And I'm fair.
270089	270429	Okay?
271130	271970	And you can trust me.
272871	274312	It's up to you whether believe it or not.
275373	275833	But listen,
276882	281325	When you're gonna throw out something to help somebody or do something, I want you to look at me.
281945	285147	If I give a nod, like no, that means I don't need shit.
286348	287088	That's all on you.
288109	295913	But if you look at me and I'm like, fuck, that means whatever you're doing, you better fucking help me.
296374	296814	Understood.
298275	299796	You okay with that deal?
300536	302117	I'm more than okay with that deal.
302978	303278	All right.
306119	306680	I owe you one.
307641	308121	Or a few.
309062	309503	We'll see.
309843	312686	Hopefully none, but I'm not that lucky.
312826	313827	Or maybe some red-eye.
314027	315709	Ferds is it.
315749	315969	It is.
315989	316370	All right.
