start	end	text
1031	13756	Third of Wealsun in the evening, Jude, with the companions that he went to Helm Island with, returned to Monmurg on a Kosair.
15656	20618	The Marines, Gouge, and Merrick are taken to the Harbor District.
22805	36114	Jude and Paul Rivero however take another path up towards the royal palace and Jamis' palace as well.
38155	50884	An attendant takes Paul up towards the royal palace as Jude is dropped at the front of one of Lord Jamis' offices.
53201	60926	Just also to remind the DM real quick, I had pocketed some of the powder because I want to break it down and kind of study it later for my own edification.
61726	70111	And also, it did not escape me that Lord Fairwind knew that I was an agent of Jameson's, so I'm like paranoid.
70131	79656	I don't want to get knifed in the side, you know, sit from the side street, so I'm on high alert because I've only been back, how long have I been back in Monmouth?
79696	80977	Like a month and a half max?
81337	83598	Not even that, I would say maybe a week.
83978	86299	Yeah, so, damn.
86319	89280	But, I mean, you did work for Jamis beforehand.
89420	90600	Yeah, that's true, I guess.
90700	91841	Okay, yeah, that's right.
92201	96282	And maybe, you know, maybe your arrival kind of triggered something.
98043	98523	Who knows?
102425	103445	Alright, I, uh...
105248	108010	Not to the guards, or at least do they let me into the waiting room?
108050	109110	Oh, no, they let you in.
109951	114514	And you're led down a stairway down into the Harbor District.
114674	123519	So basically what Jamis is doing is he is making sure nobody sees you coming to see him.
123639	123880	Okay.
124100	124920	You realize that.
125040	132325	Real quick, if Garrett and nobody in his group takes what's left of the barrel, because we did take one of those small barrels, I'll take it.
132923	133724	No, no, no.
133744	134645	The barrel is taken.
135125	138629	The captain of the ship takes that.
138989	143894	Actually, there are agents that are not those guys that take possession of all four barrels.
144314	147417	I just wanted to make sure they weren't hanging out and paying attention.
147537	153083	It's obvious that Jamis or Jeon know what they are, and they take possession of them correctly.
154298	157865	Okay, so I get brought up to one of his offices.
157925	158907	Have I been to this office?
159589	162434	Actually, you're taken down to the office in the...
164313	166295	Harbor District, the one you've been to always.
167616	170519	But you're taken through a back way and some back stairs.
170719	171921	I pay attention to the route.
171961	174803	If it's a new route that I've never... You have never been through it.
175284	182651	It's obviously a path from Lord Jamis' personal place down to his office.
182991	184112	Probably the one he takes.
185634	187376	But it is not lost on you that
188838	192459	He doesn't want you to be seen, coming to be seen.
192479	195321	Walking around the Dallas district or whatever.
195941	196441	Exactly.
197922	200282	So you enter his office and he's there.
201423	204344	And he goes, Jude, please take a seat.
204984	205565	I need a drink.
209326	211847	I assume you're not partial to Gouge's red eye.
213757	214497	I just make a face.
215358	216298	I have something for you.
217478	219059	Wine?
219459	220260	Of course.
220280	221940	Or would you like something harder?
223661	224161	Just wine.
225662	226962	Okay, so he pours some wine.
228282	229623	He brings it to you and puts it down.
231364	236446	This is a vintage from Keoland.
236926	237566	I hope you like it.
240745	243668	There's ships that were making these days.
246211	247252	Or no, that was Oeridian?
247272	248173	Was it an Oeridian ship?
248253	249053	On Wallian.
249194	250975	On Wallian.
251035	254159	So it's way beyond what Keoland can do.
254339	255840	Yeah, right, right.
259878	264241	Well, have you had a chance to talk to Paul yet?
264822	266543	I'm not going to be speaking with Paul.
267364	269405	The prince is going to be debriefing him.
270206	271747	Perhaps I will talk to him later.
273848	278352	I wanted to speak with you before I spoke with Gouge or Merrick and got their reports.
280311	281212	You want it from the beginning?
281993	283874	I want to know a few things.
284335	287157	I think I have a very clear picture of what occurred out there.
287177	294965	I had observers and I had men embedded in the Marines as well.
297114	298876	I met the ones that were with Gouge, at least.
299256	299556	Yes.
299636	304340	By the way, of which, at least two of them sound like they answer to other people.
305041	306082	I don't know if you're one of those.
306202	310045	I don't need to know who they answer to, but on Gouge's crew...
310205	310826	They answer to me.
310886	311006	Okay.
311346	315190	From what I understand, Merrick is one of my agents.
315330	316871	Gouge is one of my agents.
318353	319013	The two Marines...
319033	319233	The Bard?
319734	320114	What's that?
320214	320574	The Bard?
321555	321956	The Bard?
322376	323197	Yeah, there's a Bard.
324698	326739	He's one of the guys in Gouch's group.
327139	327520	I see.
327600	328560	I can't remember his name.
