start	end	text
71	2672	Naked guy that's got a wand.
3293	7335	Jamis' and Jude's discussion continued.
8315	9436	Third of Wealsun.
10217	17821	So yeah, I do have some ideas about at least where I could begin my research on the material.
18601	20802	Can I be allowed to have it without facing the hanging?
21643	21923	Yes.
22503	23944	You're fully read in at this point.
24004	25325	You know about it.
25845	27566	I would like you to do research on how to
28417	28957	Create it.
29778	40185	I would like you to do research on what possibly negated it in the channel.
40785	41386	Definitely.
45188	46289	And bring Paul in on this.
46949	49331	This is what Jeon wants, and to be honest with you,
54384	58868	He wants someone in his family to be able to have knowledge of the arcane in this.
60890	66996	The yellow substance that you've seen was not created by any of the Oeridian Princes.
68898	71100	The Duke of Berghof supplied it to us.
71581	71981	Oh, shit.
72301	74043	Okay, so you need me to reverse engineer it.
74624	75184	Basically.
75524	77146	We have no idea how to produce this.
77807	78968	The Duke of Berghof...
79477	84339	Quit supplying us with this substance twenty years ago.
84379	85019	Twenty years ago?
85099	85939	Twenty-five years ago.
86039	90441	And the largest or only stores around the home.
90461	91201	Do we have some here?
92422	94062	We have a few barrels in Monmurg.
94683	100065	The storage container, the home was created for storage and that was historically where it was.
100465	103786	We do keep some here, however it's been used quite a bit.
104926	108808	There is another place where it was stored and
110572	119216	A significant store is actually located in Salinmoor Bay, in between here and Saltmarsh.
119716	121637	Is that still secure, to your knowledge?
125179	130361	The Toli had possession of it.
130381	132662	Like they had had possession of it, that's there.
132702	137865	So if we needed to raid it, or did they just recently take possession of it?
138958	143139	It's something that has rotated in possession over the years.
143879	148900	The princes rotate their possession of all these stores.
150241	151841	Do you want us to move to seize that?
152601	156942	Because they're going to know... Jude, at some point we need to do that.
156982	161583	But before we do that, we need to figure out why the Toli are able to destroy ships.
162123	164404	And this is that other thing I wanted you to look into.
164624	168385	That artifact that Gouge was able to
171050	174871	Trick Lord Phranck into telling him about it.
174951	175731	Did you hear of this?
177432	177652	No.
179813	188835	There was an agent from Keoland that came to see me last month, 15th of block time, around that time.
193616	198378	He was talking to an alchemist
199934	201074	In the foreign district.
201214	204595	I think you visited him at one point.
207736	216459	Lord Phranck wished to discuss things with me and actually he was attacked by Toli agents.
216539	218499	I did, yes, I remember.
219059	224161	Gouge was hired by one of Phranck's men to act as bodyguards.
224321	228622	I warned them that the Toli agents were interested in what they were doing.
230130	231371	And looking after them.
232231	236134	What Phranck, it seems, is what is known as an inquisitor.
236954	237955	Have you ever heard of the term?
239536	246921	There's a secret society, it's actually a government agency in Keoland called the Office of Forbidden Magic.
