start	end	text
831	8092	Sometimes the greatest failures are remembered as well as the greatest victories.
9333	17094	And such was the truth for Folsom's performance of the brewing storm at the marine barracks in Monmurg City.
22015	26696	His admonition of the Sea Princes, all of them, Lord Jamis,
28640	50692	Prince Jeon, Prince Fairwind, Prince Flotsam, Prince Jetsam, and Prince Toli would be etched in the mind of all of those Marines who, at the time, would grumble and seem angry at such thoughts, particularly because of their great patriotic feelings towards the sea principalities.
51713	55275	However, as the days and weeks rolled on,
56463	58587	Rumors, Fairwinds,
61410	71113	Treachery at Helm Island and the sightings of the sea ghost and the actions of the Toli reinforced Folsom's prediction.
71853	80135	And the Marines began to realize that Folsom had insight into the future and what was coming their way.
80735	84997	And they grudgingly accepted the wisdom of what he had said to them.
85977	87637	There was a storm brewing.
87917	90278	And it was not just the Duke of Gradsall's doing.
92610	104340	The jealousy and infighting of the sea princes added to the confusion and to the country's troubles.
106787	111551	Soon they realized that Folsom was correct.
111992	118677	There was a problem outside the principalities, but there were many problems within as well.
119238	128366	And the troubles of the nation were not just from its enemies, but from its supposed friends as well.
130663	142284	The Marines talked to one another about the song and its meaning and actually in time they began to wish that they could speak with Folsom and see what else he knew.
143185	149476	Thus began Folsom's career in infamy as a bard of lore.
