start	end	text
2562	3282	Here we go, okay.
3662	5983	So, this is Gouge.
7403	13664	Gouge, on the bridge, sneaking forward towards the torch on the third of Wealsun, early in the morning.
14584	25266	Okay, so you start walking forward on the platform, crouching, using your hand against the wall to stay where you are.
26707	27807	You don't want to be
30905	31846	Totally crouched.
32106	36388	You want to be able to walk forward, but you test with your foot.
36408	37409	So you're going pretty slowly.
37509	37729	Yes.
38549	41471	Probably slower than even a half pace.
41751	42031	Yeah.
42311	44173	So you have a plus two on stealth.
45593	46854	So go ahead and roll.
46954	49656	And you've got your stone up two, so it's a plus eleven.
49676	51617	Okay.
52077	53658	It does your proficiency as well.
53698	54638	That goes up as well.
54658	54879	Okay.
56640	58761	Seven plus eleven is eighteen.
61570	64893	The boards are creaking as you sneak forward.
65053	72840	It's not really the best environment to do, but you do a decent job.
73460	77864	I think what's more annoying is the voices that you hear behind you.
77884	83649	There's some kind of urgency going on with your companions, and it's like hushed whispers.
84570	87352	The problem is it echoes off.
88655	89195	The caverns.
89535	98637	You don't know if this is enough to tell somebody that you're there, especially somebody 100 feet away, but you'd really like it if you were alone right now.
99377	102037	That's what it comes down to.
102057	103238	How close do you want to get?
104638	110419	Well, so I notice hush whispers from behind, but with the sound of urgency.
111439	116660	Well, just, you know, just kind of like that.
117858	120479	So why wouldn't they be quiet?
120499	124120	They are not coming forward anymore.
124140	125801	They've stopped as you've requested.
126841	127161	Okay.
128942	131423	I'm turning back to see if I see any light or anything.
131743	131863	No.
132523	132843	Okay.
136725	137885	So I'm still on boards.
138545	138786	Yes.
139166	139466	Okay.
141026	145288	And you're about, I'd say you're about a hundred feet away from the torchlight.
146350	147390	Where the torchlight was?
147970	148110	Is.
148350	148791	Oh, it is.
148911	149751	It's still open.
149871	153872	Oh, so it wasn't a person with the torch that went across and disappeared.
153912	154972	There's a torch and I saw a shadow.
154992	159993	There's a torch and you saw somebody cross ahead in a passageway beyond that.
160573	164174	Okay.
164294	171896	I'll continue quietly, but taking a pause.
