start	end	text
981	8546	Third of Wealsun in the evening, Merrick going to Lord Jamis' offices to discuss what happened on Helms Island.
9947	11128	Alright, so you come into the room.
13409	20433	There is an empty glass on the table in front of the seat you're at, and Jamis is behind the desk.
22715	27638	And you come in, and Jamis says, Ah, Merrick.
28605	29426	Excuse the mess.
29466	34771	He goes over and picks up the glass and takes it back over to the table.
35752	35972	Sure.
36373	37334	So what happened over there?
39596	40336	Lots to report.
42599	43500	Completely overwhelmed.
43520	45562	I'm at a loss for words as we speak right now.
46182	50646	It seems that Zahagin are back or, yeah, returned.
51870	55572	Completely overran a full ship, I witnessed from the tower.
56133	69340	Once we ported on the south side, noticed sharks and the waters were infested with sharks.
70781	75184	Got on land and found tracks that were unusual to me and I was at unease.
76662	80204	Once we went to go take the South Tower, we were completely ambushed by hobgoblins.
81425	92811	Lost troops left and right, but ended up being able to secure the South Tower with the help of Gouge, Volsom, and Tyron.
93191	96833	Once we secured it, but not full, we took off to try to secure the helm.
100244	101264	Made it to the helm safely.
101324	103745	Ran into Jude and Paul Rivero.
104765	106265	After that I made it my job.
106285	108806	Did not keep my eyes off of Paul Rivero.
109106	111946	Stayed locked on him for his safety as he requested.
112507	115627	Made sure Gouge was in line as well to follow orders.
117628	129130	After that went disguised as hobgoblins through the keep to try to locate any survivors or who might be in the barracks of the
133252	138860	After sneaking through hobgoblins and doing some fighting we ended up running into
141129	141969	What was his name, Lord?
141989	142789	Fairwind.
143129	151091	Yeah, I ended up running into Lord Fairwind, and according to Paul Rivero, doing business with the Tolis, we found him tied up.
151791	155312	So you didn't hear this business between Fairwind and the Toli?
155772	160133	Nope, only from Paul Rivero's word of mouth, sending his little creature in.
160593	165394	The homunculus is what he called it, I assume.
165974	169175	Yes, no witness of actual words being spoken besides what
170004	176547	Once I got in the room and he acted very defensive and Paul Rivero and him were going at it back and forth.
177727	185631	He does seem guilty to this after we took him prisoner, tried to make our way through the keep on a very narrow bridge.
186979	197569	I witnessed him attack Folsom, push him back, and then tripped Paul Rivero into the water, get in a little argument with Gouge and fall into the water.
198690	203053	It didn't seem innocent to me, doing business with the Tolis.
203073	207737	We killed one, took another prisoner, and then he had to be thrown into the water for our survival.
207898	211901	So he's dead as well, saw his head later as I gutted a shark.
212221	213763	He had to be thrown into the water?
214926	215607	Not according to me.
215627	216267	I was in the back.
216307	217268	Jude was in front of me.
218969	228536	Once we were noticed on the bridge by a patrol, Jude had to zap him out of, I don't know, was it anger or shock or something.
228556	231979	He acted on whatever he needed to and threw him into the water.
232359	233520	But it was Jude that killed him?
233700	233920	Yes.
233940	234480	Okay.
234821	236202	Well, I don't know if Jude did the killing.
236562	239324	Jude did the throwing off into the water.
239444	241485	I think the shark below is what killed him.
241665	243127	I see.
244302	247344	No idea if... What's his name again?
248364	248865	The bad guy.
249065	249425	Fairwind?
249565	249765	Yes.
250625	252947	No idea if Fairwind got away or what it looks like.
254660	266107	After we got out of that little opening, found the barrels of powder that are supposedly this powder that keeps the sahaugin at bay and kills them.
266587	270049	After we noticed throwing it in the water ourselves, kills them immediately.
270069	271730	I brought some back with us, four barrels.
272310	274352	One's open because I needed to sprinkle some on our way here.
275953	277333	And there are more back at the...
277854	278714	Yes, more back.
278874	281476	We found around 25 on the coast.
282196	289781	I could only load up four because I had to build a makeshift raft out of materials I found on the coastline to get us back here as quick as possible.
290741	301448	We were outnumbered and it was very overwhelming, so I found it in our best interest to, with your orders, find out what I could, get Paul Ribeiro to safety,
302476	314181	And we needed to get back as soon as possible because if we stayed there we were just sitting ducks for, you know, either more sahaugin, slash hobgoblins coming in or more Toli fleets to the area.
322925	324885	Well, I think this is a commendable job.
325526	328867	You did everything I would expect from you and actually more.
334958	338519	I don't think Fairwind's involvement should be mentioned.
341101	354226	I say this because I need to talk to Paul Rivero before I make any accusations and obviously the situation with Prince Jeon is going to be difficult.
