start	end	text
1498	4900	Okay, so... Third wheel, son.
5080	11724	Basically, it sounds like we're all on a, if we can detect Lord Farrowind, we want to save Lord Farrowind.
11904	12124	Right.
12584	13605	Trying to find Farrowind.
13965	16986	Okay, so you don't see him, but you want to be lowered into the water?
17006	17247	Yeah.
18727	19027	Okay.
19968	22129	Does the light of the arm kind of lighten the water up?
22669	22970	Yeah.
23230	23510	Okay.
25218	35505	And I'm looking to see if, in any other residual light, if Lord Fairwind is already up on the rocks a little bit underneath the walkway.
35645	37226	Okay, so you guys look in the water.
37246	40408	I'm looking to make sure, see if the sharks start swimming back or anything.
40748	41048	Okay.
41749	43270	You see the sharks start swimming back.
43830	44270	Oh.
45371	46232	Sharks coming back!
46272	51315	And in fact, in the light, there's a sahaugin in the water as well.
52315	54277	Not many, but they're there.
55113	56434	Shark and sahaugin in the water.
56454	57314	We need to keep moving.
58135	59396	Yeah, we got to get to the barrels.
59416	60336	We got to get to the barrels.
60376	62217	I start yanking on the rope, pulling them back up.
62477	62798	Okay.
63518	65039	I'm like, yeah, it's that crowded.
66400	66980	We all move.
67020	67280	Move.
67320	67981	Get to the barrels.
68021	68701	Get to the barrels.
69862	72363	You need to get barrels you need to put in that water.
72383	74404	That'll shake out at least the sahaugin.
74524	77626	Okay, so you guys want to gather in the room?
77766	78106	Yes.
78427	78707	All right.
78727	80088	This is going to be...
81375	83777	Protecting the place where they come in.
84197	87119	I'm imagining this is barred off and they've got barrels and shit over here.
88320	89881	That's what I'm guessing.
90021	92222	Are you able to see through that door?
92322	93603	It just goes into more cavern.
93703	96905	Storage room and locked for all the barrels.
96965	98746	Well, this probably goes to the cavern.
98767	100688	Remember there was a way we could climb down the cliff?
102427	106230	No, I think Cliff was just basically saying it's like beach slash boat.
106250	108532	No, he said there was another entrance from the cliff.
108552	112054	You had to climb down it, and there was another entrance from the beach, and that's probably what this is.
112074	115197	Yeah, from the beach, which is close to probably where the boats come in.
116437	117778	That's where they were loaded and stuff.
117878	130428	Yeah, go down, crash, crash, because they're going to stage any barrels down on any kind of a landing, so we need to get the barrels open, or one of them, and get that shit in the water.
131668	136209	In fact, throw it in the water so when it's to hog him trying to come down, fucking die.
136469	137789	And I'll skin their asses.
139049	140710	And this is the way the water goes?
140730	141270	This way?
141970	142110	Yeah.
142130	143510	Beneath that or something?
143750	146411	Well, the cavern keeps going, right?
146511	151812	This room is kind of hewn out of the cavern.
152012	152312	Okay.
152352	152612	Right?
152812	156072	So there's rock there, but this continues on to another cavern.
156112	156832	Go, go, go.
157292	157953	Lay on hands.
157993	159573	Give myself another ten back.
159813	160113	Okay.
161733	166695	Alright, let's proceed down towards the... Do you think we should blow the bridge behind us?
167095	168295	No.
169436	170736	Yeah heading towards the ballista.
170796	171376	I'm in front.
172977	182700	Gouge, what's our... Alright, so the party emerges from that small room out into a huge grotto and this is like...
184326	185746	You know, 500 feet across.
185806	189568	In fact, it's a huge cavern, right?
