start	end	text
452	1073	Barn Man.
4135	4716	Sir Bard.
4876	10440	Morning of the third of Wealsun as the hour approaches eight o'clock.
12602	16966	Okay, I walk up to Gouge and kind of appear.
16986	18147	I had been invisible.
21089	24292	So where we had barred the door after we snaked a stone.
24312	27635	Hey, you couldn't give me like 20 more minutes to get another spell slot?
36929	38530	The ghost is gone.
39210	40471	I couldn't see it anchored.
43472	47194	So at least where it was, I don't know if there'll be another ship coming in.
47954	53416	The hobgoblins, the demonstrations on the front of the gate, they've moved away since dawn.
53436	54357	Where the hell did you go?
55057	55937	I snuck around.
56638	57598	I snuck around.
57718	61340	I cast invisibility on myself and I just snuck around to kind of see what was up.
62020	68866	Nobody can get down here because we barred that door when we came back into that inner sanctum up there.
69427	71929	So the hobgoblins are still there.
71969	75272	The troops are no longer demonstrated so they've probably gone back to the garrison.
75713	79156	I did go look through that other door that we did not check.
80298	80758	Remember that?
80798	82800	The bar door or the bars?
82860	83561	The bars.
83721	84001	Okay.
84362	84602	Yes.
84742	85843	And that part was open.
86103	87004	Yes, it's open.
87224	89846	There was probably, there were racks that were all empty.
90127	93349	Probably thousands of barrel storage.
93630	93890	Okay.
94070	94470	All empty.
94490	96092	That's when I figured why the bars were there.
96132	97313	That was probably where they kept them.
97673	105301	So, but when I went further down, there was another door that was barred that I could see like a small little beach or a little beach area.
105321	106402	So that's a secret entrance.
106642	110186	And I saw footprints on the sand, but I couldn't get through it because it was locked.
111607	112248	I have keys.
114670	114950	Okay.
115131	115931	I've got lockpicks.
116292	116812	That's great.
117273	119114	What I'm saying is that I saw footprints.
120911	126553	In the 30 minutes, if Toli lived, I didn't see- They would have been wet.
126573	128714	They would have been dripping.
129214	130174	I looked for that.
130394	133395	I looked for wet footprints on the pavement and stuff like that.
134095	136956	I don't know that we know all of the secret passages.
137136	139257	I just know that I saw the footprints on the sand.
139357	140657	The ghost is gone.
141217	145039	The troops have moved back, but that's not a surprise that the troops moved back to the garrison.
145059	149380	The hobgoblins are still outside of that inner sanctum where we snuck by all of them.
149900	155904	Where we would have to, you know, go out there and kill the ones that were kind of on guard and stuff like that.
156164	156504	That's it.
156704	159266	I didn't want to try to sneak past the hobgoblins.
159586	161427	I could do it again, but I would have to rest.
162748	168191	I don't know that we're gonna see the smaller boat come back in if the ghost is gone.
168551	169392	If the ghost is gone.
169412	171273	When we saw the ghost, that was night.
173499	176702	That was the beginning of the evening.
176802	177042	Yes.
177743	179465	Well, round 11.
179945	184349	Do you think the ghost in this whole thing is only done under the cover of night?
184369	189353	That they're not doing it out in the open in case there's other merchant ships or something that would see this?
190254	194578	So that's buying us time to get ready and set up for them to come get the rest?
194838	198642	If that's the case, then Toli maybe didn't swim out to the ghost.
199282	200823	The minute that we dropped that... Fairfield.
200843	201584	Fairfield, sorry.
201604	201944	Fairwind.
202124	202504	Fairwind.
202845	205046	Oh, I don't think he'd swim that fuckin' far.
206047	206467	I don't know.
206527	207768	He's a pirate.
207808	208548	He's a sailor.
