start	end	text
273	4699	Folsom is pulling to the charm.
20032	21414	That actually is a good feat.
21794	23055	Reverse spell.
24356	27278	Yeah, but identify it too so you know what to pretend.
27679	30241	You're my best friend.
30581	34644	He doesn't have that.
35325	36546	Okay, let's see about this.
41935	43096	Don't tap the glass.
43476	51959	Third of Wealsun, the party continues walking down the rickety staircase very early in the morning with Fearfield.
52840	53880	All right, so...
56761	59803	In the darkness, the strange whisperings of people.
61143	67066	You guys really can't tell who it is, who's talking, but there's whisperings among various...
67925	68887	Groups behind you.
69388	72937	You're focused on moving down the ledge, okay?
74273	78695	You go about 300 yards down this rickety thing.
80095	81716	Have we all crossed the bridge by now?
82116	82896	There is no bridge.
82916	84197	So you're walking above this chasm.
84217	85397	It's like an underground river, right?
85518	89219	And there's this little thing on top of it that kind of goes on the thing.
99603	101104	Does it go downwards?
101304	103384	Or is it pretty straight?
103965	104445	Exactly.
104465	105845	Does it go straight or does it go down?
106526	107366	It goes down.
107666	112188	It's actually going down and going around curves and this tunnel kind of curves.
112328	114188	Like the Goblin King there.
115309	117009	Exactly.
118210	118910	Except with C's.
120110	127133	Okay, so what happens is you take a turn, all right, and
129360	135044	Off in the distance, and I would say this is about 100 feet away, you see torchlight.
136105	138687	Okay?
141268	142729	So cover up my light.
143430	144231	Cover up the shield.
146012	148033	Yep.
148093	149094	Gouge up next to me.
149454	150855	Well, hang on, not yet.
150895	152296	You haven't turned the path.
152717	154678	And I motion for gouge to come up next to me.
155799	156119	Okay.
157760	158781	You know, point out the...
160232	160812	Torch light.
161232	166414	You see a form off in the distance down off the platform walk past.
167374	168335	You can't make it out.
169075	172216	It looks like a human, humanoid, whatever.
172756	176318	But they walk past the torch and into another room.
177018	178758	Okay.
180619	184140	Motion to let these guys know that there's something down there.
184160	186221	Okay.
188882	189162	Right.
191710	199256	I'm going to move ahead under extreme stealth as best I can.
199696	199956	Okay.
200837	201917	So I'm going to pass.
202318	202978	My light cover.
203138	203979	Well, wait.
204039	204659	So they walked.
204679	205820	So they're off of the thing.
207541	209323	It doesn't look like they're... Yeah.
209363	213566	It looks like what happens is the path ends and there is a...
214350	214770	Tunnel.
215251	215511	Okay.
215811	217792	And some kind of a chamber beyond it.
217972	218913	You don't know how big it is.
218973	223596	I mean, it's just you can see the entrance and somebody walks past that entrance in the torchlight.
223876	226698	Now, will I be able to stealth up there or they walk by the torchlight?
226718	229700	No, it's pitch black again with his shield out.
232881	233342	What do you mean?
235743	238485	Here to there, it's dark.
238946	241247	In fact, with the thing covered up, you see nothing.
241267	244669	Oh, so I couldn't even stealth up there because I can't even see what I'm doing.
244930	248352	You can go by hand up that way if you want to.
248372	249513	He's in the way.
251881	256302	It's dark, but you can make that journey.
256322	259383	You've done things like this before.
259463	260924	It's not the most comfortable thing.
261184	268746	Usually you're in the moonlight or you have some little bit of moonlight that you can see, but you see the torch, you have the distance, and you can feel the platform as you move forward.
268826	270207	Roll a 20-sided die.
281450	300376	Okay, as you walk along this path, obviously the path has kind of gone down a little bit from the height of it.
300536	305138	You've probably dropped in the last 200 yards, 300 yards, about 20, 25 feet closer to the water.
311007	316750	Your ears pick up something, break the water, below you, and it's big.
317651	320252	And then you hear its tail splash.
324134	325035	Something's down there.
327056	327796	Got it.
338445	339446	Who's the other lady?
340566	346589	It's the two of the two women, and so I married an ex-murder, the two that are fighting.
346609	351852	Susan Sarandon.
352012	356014	Are they in close enough proximity where I can talk to them, but they're too far ahead?
356034	357095	They're too far ahead.
357415	358456	Got Nancy Travis.
358616	362938	So I'm the one closest with the Toli guy that's ganged.
363038	364339	I need to tell you guys something.
364359	365039	They can't hear it.
365379	366540	You guys want to come?
367180	369821	We'll leave if everybody else needs to get help.
370001	373123	Yeah, you guys go up there and these two can hear.
374043	378225	Don't whisper, we've got to get the recording.
378245	385408	We need to stop where we're going right now.
397459	401641	There's something down there and there's something big down there splashing around in the water.
401841	402682	What?
402882	405723	I don't know, but I heard a tail splashing against the sides of the water.
406904	407964	How did you hear it and we didn't?
408624	410585	I'm familiar with the sea and all that stuff.
411105	411406	Ranger.
412166	413126	It doesn't matter.
413226	416488	Okay, so you're saying there's something down there, but that's about 60 feet down.
416548	418449	We've been slowly descending.
418469	419569	We are slowly descending.
419589	420650	How far down is it now?
421510	422811	Maybe 30 yards down.
423091	423731	30 feet down.
424232	425072	Do you want to look down there?
425432	425732	Yeah.
426033	426753	Roll Perception.
428834	431856	Do you know anything about any big creatures in the water?
432016	434657	Okay, I'll- I have a plus three for perception.
434697	436018	Well, you're next close in line to him.
437659	438399	16, 17, 19.
438479	443141	Okay, I'll come and say something to you in private in a second, but I want to answer the question.
444422	448224	Oh, there are many things in the water.
448484	449665	There's always a bigger picture.
459402	479392	With your Improvision, you see a creature that you would say was a shark, except it's 40 feet long, swimming, turning around, and then swimming back down towards the direction you're going.
481494	483435	Does it seem to notice us?
483775	483995	No.
485085	490949	It's just patrolling this little rivulet and moving up and down.
491429	494691	So a large shark, huge shark.
494811	496212	Normal sharks are 10 feet long.
496973	497353	Big ones.
498894	500235	Did you say it's 40 feet long?
500415	500615	Yeah.
500795	502476	Okay, so this is a really big cavern.
502516	507339	If a 40 feet shark is... Yeah, I mean, the cavern is wide.
507580	509561	It's at least, you know, 40, 50 feet.
509721	512843	Okay, so he can kind of go in and he's basically patrolling.
514081	514601	Exactly.
514621	515962	Hunting, maybe.
516082	516262	Okay.
516282	517122	Shut the fuck up.
517602	521344	Don't whisper.
522864	527386	You can say normal.
527446	528286	I say this lightly.
536911	538412	What if it got you that too?
538472	539494	We have to continue.
539914	541897	There's a large shark patrolling.
542457	548685	Whoever can get to a barrel first, if you see a barrel, crack it open and throw it into the water.
548865	552069	Like, I mean, or sprinkle it, whatever the hell you gotta do.
552850	553691	It's either gonna work...
554462	560565	Well, we're all fucked, including Fairwind, in which case I would suggest that you push his ass off into the water first.
560785	561706	Understandable.
561786	566328	Fairwind, do you have any, like, magic dust on ya?
566568	568089	In your pockets, perchance?
568109	571230	I think I actually have a little.
571250	572271	Can we go?
572331	572711	You go.
572731	577113	No, I have a little serum full of the yellow stuff that I took with me.
577533	578634	You didn't bring that with you.
579254	579554	Really?
579794	581075	No, I don't think you brought that with you.
583011	586833	He says, What did I say?
586853	594717	We're still going forward.
594858	595538	Push me off.
597767	598007	Yeah.
598767	598988	Sure.
599528	599708	Yeah.
600048	603890	If this thing starts to like crawl out of the water on like four legs.
