start	end	text
1432	10725	Third Wealsun in the evening as Paul Rivero returns to Monmurg on the coast air from his adventures on Helm Island.
12282	22451	All right, so what happens is the group returns to Monmurg on the Kosair and they dock at the Royal Docks.
23152	30939	This is not normally where these ships dock, however, for whatever reason they were given permission to do that, most likely because you were on the boat.
31359	32160	Yeah, I figured.
33655	45925	After you dock, basically what happens is an attendant says to you and Jude, you guys are wanted to debrief with Prince Jeon and Lord Jamis.
45945	55092	Jude is supposed to go talk to Lord Jamis, and you are supposed to go talk to Jeon.
56193	60936	Lord Jamis does not have the authority to debrief you, and that's kind of why that is the case.
61037	62598	Jeon wants to basically get
64517	66779	What you observed directly from your mouth.
67719	67959	Right?
69420	69881	Okay.
70681	85752	So, you're led up the stairway, the private stairway, passed several guards, into the Prince's, you know, royal palace.
86692	87653	Your home, too.
88133	88354	Yeah.
89714	92957	And led to John's office.
96674	105441	When you enter, he's basically already there, and he has somewhat of a concerned look on his face.
105462	118673	He's kind of like looking at this map of what you can tell is the outer islands, the Salinmoor Bay to the north, and then the Jerley Bay to the south.
119573	121475	But when you walk in, he says, Paul.
123822	124723	Sit down, please.
125363	126043	Who says this to me?
126364	126764	Jeon.
126924	127624	Jeon, okay.
128705	129125	I sit down.
130806	134469	I heard there was some trouble on Helm Island.
134849	135229	Oh yeah.
138932	147117	I've gotten reports that the ship we sent you on was overwhelmed.
147537	147757	Yep.
149598	151539	There were 300 marines on that ship.
152060	152420	All gone.
154041	157523	Maybe a hundred made it off.
159564	160625	And it is sahaugin.
161305	161605	Yeah.
163006	165347	There's also hobgoblins that had taken over the island.
169970	171030	Tell me more of that.
172651	173552	Fairwind is a traitor.
177494	178334	How do you know this?
179034	179895	We... okay.
181419	182980	Is Jamis in the room with this?
183240	183440	No.
183701	184121	Oh, he's not.
184181	185221	It's just you and Jeon.
185542	185822	Okay.
186002	190005	Obviously, he wants to get your point of view... First.
190785	194768	And in private, which is... Sus.
196008	202733	Maybe not sus, but I think what that kind of tells you is that he's not just completely trusting everybody else right now.
203313	205094	He wants to know what you know... First hand.
205214	205514	Okay.
205615	207196	Before you say it to everybody else.
207216	209337	So, I'll explain to him, um...
210907	213671	We sailed to the island, you know, we got there ready.
214652	217115	I said, you know, be ready in case it was taken over.
217155	221601	We had dropped 50 Marines on one shore side.
221621	223023	I explained which one that is to them.
223043	223663	Southern Beacon.
223904	224184	Yeah.
224605	226888	And then we had docked our ship in the harbor.
228362	240391	Me, Jude, and 20 other Marines got off onto the docks and started scouting ahead, and all of a sudden we came under fire from the towers up above, so we had to storm that.
240811	246315	Me and Jude thought about turning around, but we looked behind and saw Sahaugin tearing up the ship.
247096	248277	Like, just swarming it.
248757	251199	So, everyone on that ship was gone.
251219	256103	I'm pretty sure it sank and is in the harbor, and everyone on it's dead.
258427	261008	We stormed inside and we got to the barracks.
262308	267270	We met up with some Marines that were resisting there that were stationed on the Helm Island.
268090	271971	They knew nothing about what happened to Fairwind or anything.
272031	274252	Now those were Fairwind's men.
