start	end	text
431	5137	Third of Wealsun early in the morning as they take the place.
5658	8962	After the battle, the party is taking the place and they're in the inner sanctum.
10475	12516	Well, I already moved in.
14116	17637	Baudron pointed, just in case... At Farrowind?
18037	18537	At Farrowind.
18657	20418	Okay, now he's tied up, right?
20458	25219	So when he looks at you, he's like... Pat kind of looking at you.
25239	26459	That's fine.
26619	30260	And he looks up at you and goes...
30380	30880	Eyes on me.
31040	31981	Eyes on me.
33961	35082	Just up as a precaution.
35102	36542	Not that I want to attack, but...
37763	38063	Okay.
38303	38624	Alright.
38644	40045	What are you guys gonna say?
41266	41906	Is that everybody's?
42427	44268	Yeah, that's everybody.
44408	46810	I am totally focused on this soul motherfucker.
46830	48492	I'm like still like, you know.
48512	49633	There's stairs that go out.
49693	51995	I got my wallet pointed at his ear.
52015	53336	I turn to Merrick.
58880	61422	And, uh, so you haven't been in here, right?
61763	63484	We need to know how we can lock this down.
63524	64825	We don't want anyone else coming in here.
64925	66767	Okay, so, hold on.
66827	66967	Okay.
66987	68188	There's two things we can do from here.
68989	73793	We can try to get out of here and leave with them, which I don't think we should do.
74173	76335	That's too risky, carrying two prisoners.
76976	80218	You've got a whole thing of people out there that, am I a prisoner?
81199	82180	I'm Lord Fairwind.
82440	83521	Shut up.
84242	85323	Um, the second...
87203	89244	The other option is to go to the tower.
89424	90585	Is that Paul Ribeiro?
91166	91686	Hey, Fairwind.
92426	96629	Paul, you are below my station, young man.
96669	98931	Fairwind, you are under arrest by Jeon.
99111	100872	I am hereby representative of him.
101592	102653	You have committed treason.
104474	106135	Merrick, I know you.
107196	108777	Are you going to allow this to happen?
111179	113060	Uh, yeah, your words can't be trusted right now.
114372	118253	I'm under orders of Lord Jamis.
118293	119214	Lord Jamis, yeah.
119794	120574	Lord Jamis, too.
120814	124175	Lord Jamis and their suspicion of treason.
125836	127156	Suspicion of treason?
129457	131278	You can see that I'm under duress here.
131798	136099	I demand that you cooperate and we get back to the barracks.
136840	137560	Where are your men?
139775	141257	They've been taken prisoner.
141317	145682	They're in the lower... Nah, you're full of it, you're full of it.
145702	147024	You can find them yourself.
147084	150568	We're just gonna waste time trying to argue right now.
150708	153751	Fairwind, just keep your mouth shut.
154913	157435	They told me you've gotten too big for your britches, boy.
158156	158537	You'll...
161342	162804	You'll regret this.
162844	164607	Oh, I'll regret it.
165308	165909	No threats.
166229	167511	No threats right now.
168272	168913	He doesn't know me.
169714	172298	We have some Toli trash right here.
172739	176204	Okay, so the other thing we can do is we can get to the tower.
177165	179928	I just want to hop down and keep my eyes down the hallway.
179988	180869	It's like that.
180989	182130	Basically they're walls.
182170	186434	This is like an interplace with walls, but they're closed off.
186594	190257	Okay, so I'm just gonna walk around and make sure there's nobody there.
190357	194761	Why has the spell that has prevented the sahaugin been broken?
197323	198665	I yell that out loud.
198785	199545	You say that?
199665	202188	While I got my wand pointed at the Suli guy's ear.
206720	207080	Sharpie.
207100	208161	Does this go all the way around?
208181	208921	Does this meet this?
209121	209361	Yes.
209621	212982	It's like an enclosed cavern and you just walk around it.
213943	215423	Doors, windows, anything like that.
215643	217044	Speak quickly, Lord Fairway.
219145	220225	That's a state secret.
220325	221005	I cannot tell you.
221025	222606	The sahaugin must be repelled.
222646	227808	They have already damaged and killed a formal ship of Marines sent here.
229568	234950	I would defend your honor only if we can repel the sahaugin and reclaim the island.
238437	243659	I don't know what caused the enchantment to go away, but it can be reinstated.
244340	245360	How?
245601	247622	In the caverns.
247922	248282	Below.
248302	255446	If you take the stairs over there, they go to the caverns, there are barrels down there.
257967	258988	They contain a power.
259028	259628	Hold on.
260629	262190	This is of sensitive information.
263117	264138	I don't care.
264158	265399	We don't care about it either.
265479	268381	I don't care about sensitive information.
268682	270743	The powder is being packed on the ships.
270803	272405	Those are the barrels that he's talking about.
273065	274847	Continue to speak about this, please.
279991	280852	Paul is right.
281893	283554	This is sensitive information.
283574	285456	I'm glad you've come to your senses, young men.
285536	289139	However, I believe that the Toli are stealing...
289999	291761	The sahaugin can be repelled.
293121	295903	Only if we re-institute the barrier.
296183	297664	No.
297804	299205	Are you keeping shit from us?
299326	299626	Yeah.
300286	303468	As we serve Lord Jameson, Prince GM?
306431	306931	You are.
309893	311354	Continue, please, Lord Fairwind.
311914	314777	It will speak best in your case, should there be a trial.
314897	316958	The Sahaugin are not of concern as of right now.
317639	319340	As I said, they can be repelled.
320872	321532	And they will.
321713	326495	Not if the things that have been stored underneath are being packed away.
328756	329977	You're obviously not listening.
332458	333598	Got any more of those fireballs?
334039	335199	That ship would go up.
336960	342323	That's what I'm thinking.
342343	345504	Paul, they need to be told.
345724	346445	Then they'll suffer.
346565	348666	Below, in the caverns,
349967	356352	There are barrels of a material, a powder, that is poisonous to the sahaugin.
356612	357813	It's a chemical reaction.
357873	358613	It's not a spell.
360214	363497	Something that you keep and see in the water around the island?
364177	368921	This is how the sea principalities have repelled the sahaugin for over 150 years.
370021	371943	There's only a limited supply.
373424	377067	The spell is a state secret that we use so people do not know of it.
377107	379088	However, they totally have figured out our secret.
380282	383990	They are taking our supply of it right now.
386976	389782	So the Toli, do they have problems with the sahaugin?
