start	end	text
671	10995	All right, you follow the voices, and I can describe the passageways to you later, but basically you take a right and then a left, and you're crawling along the wall.
11015	11895	Okay, right.
12175	23219	A right, and then you turn left, and you come to what you think is a council room, right?
23419	25379	Because your homunculus can look into it.
27920	32881	And there's a big table that has like a map engraved in it.
33001	35642	And you realize it's a map of the Azure Seed.
35782	41123	So this is obviously the place where the admirals come and talk tactics or something like that.
43564	49765	In one of the seats in the room, you see Lord Fairwind sitting there.
52916	57938	Talking to two Suel, obviously, Toli people.
58199	58559	Toli?
58979	59359	Yeah.
59419	60660	Okay.
60680	68103	And you hear Ferenwin say, Don't worry, they'll never be able to get through the defenses here.
68323	70344	Your hobgoblins will be able to keep them off.
70724	73606	If you think this attack will succeed, obviously it will not.
76967	77908	One of the Toli says,
80710	81471	We're not worried.
81631	85053	In fact, we think we have most of what we need from the caves below.
87175	94580	It seems, Lord Fairwind, that you've taken most of the chemicals for yourself.
96962	97903	We'll have the rest.
98563	104588	We'll take them to our island, to Kane Toli's island, Lord Fairwind says.
105889	107670	Our deal is still in place then.
110849	112510	You will vouch for me on the council.
114191	123977	Forcing Prince Jeon to give me more of the profits from his trade with the rest of the trader nations.
125117	131101	The Toli says, one of the Toli says, yes of course, you'll be well compensated.
132221	132722	After this
134686	140269	When the pressure on Prince John ends, everything will go back to normal as it was.
141270	153537	We'll return all of the barrels of the, um, well, the pest control, as it were, and you can go about your business as usual.
154458	157400	Until then, we'll store it in our location.
163789	164610	What do you realize?
166131	166972	What do I realize?
168473	170134	Are you asking me, like, what do I think?
170575	170815	Yeah.
172757	173877	About the chemicals?
175499	181504	I'm thinking that of the chemicals that I had found earlier, that yellow stuff, wasn't it?
181784	182625	Yeah, that's what I'm thinking.
185704	186965	But I don't have any proof.
187205	188666	I don't see a barrel full.
188686	190287	You don't see a barrel of this stuff, no.
190648	193750	But that's my most logical connection.
196231	197272	What did that stuff do again?
198293	199234	Or what did I think it did?
199614	208420	Well, if you remember the letters between... My mom and... And... My dad.
208440	208900	Yeah.
209941	212783	It was... Basically, it killed Sahaugin.
214646	219875	It poisoned the waters to make sure that they could never come near.
221197	225383	And it was used in the wars against the Sahaugin 150 years ago.
225404	227667	I gotta remember all this.
227687	229069	And your father...
230364	234086	Was trying to figure out a way to make it because they didn't know how to make it.
234366	236628	They got it from the Duke of Berghof.
237088	237348	Okay.
238128	251576	Now, the truth about this is this is a very big secret because everybody thinks that Helm Island has a magical enchantment that makes sure that the sahaugin cannot attack Monmurg.
251836	253137	Do I want to keep it that way?
254077	255038	The question is do you?
262378	267982	And the question is, do you want to keep Fairwind's treason a secret or not?
268702	270243	Oh no, I'm gonna rat.
270844	272144	His fate is sealed.
272625	274306	Would Jeon be mad if I...
285078	292561	Do I think he would be upset if I had proven that it's not a spell, it's chemicals that's actually keeping them back?
292761	296102	Well, I mean, I don't think he wants you to yell it from the rooftop.
296142	301344	I mean, the problem with this stuff is the fact that the supply comes from Burkoff.
302137	303057	And it's a weakness.
303238	303698	What is that?
303898	307960	The Duke of Berkhof is the Plar that's on the inland side of things.
308260	313322	He's one of the Plars, the two Plars, the Plar from West Keep and the Plar from Berkhof, right?
313703	316904	The Prince of Toli is Suel, but those two guys are Suel too.
317604	322427	Berkhof is a very ancient and strange land.
323567	328850	It was allied with the sea principalities, the pirates, 150 years ago and actually gave them
330895	331876	Society in a way.
331956	334338	Well, sophistication, weapons, stuff like that.
334378	337521	There was an alliance between them and that's what caused all this to happen.
338382	343106	You're not really sure about everything, the details of it, but obviously this was part of it.
343446	343726	Okay.
344046	345187	I'm going to...
352434	353955	I'm not going to tell them about the chemicals.
354195	354956	I don't think I should.
358135	366826	But I'm going to say that Fairwinds are talking to Toli and that they're in there and he's evil.
366846	367146	Okay.
