start	end	text
1937	9219	Third of Wealsun, Merrick has just come into the barracks and heard the end of Folsom's disastrous song.
12420	13001	You're shocked.
13681	15401	I'm not too happy right now.
16362	18682	Because this is exactly what you were told to avoid.
22083	28005	Gouge takes Folsom outside and you're a little worried he's gonna stab the kid and throw him in a...
28860	29200	Me too.
29360	30021	Me too.
30041	31062	Throw him in an alleyway.
31442	37527	But you see Owen Black up against the bar going, laughing and drinking right next to Tyrus.
37547	39989	He goes, what happened to Folsom?
41009	42971	That must have been rough on our whole mind.
45738	46539	It's a farce.
47060	48922	It was meant to be a farce, a joke.
49643	51785	Kid always tries to crack jokes.
52085	52766	I keep telling him.
52786	53527	It's not working.
53607	55950	Yeah, you should tell him Marines don't like jokes.
56010	57592	Especially not when it's about them.
57752	58653	You know what Marines like?
59073	59554	Beer!
60655	62437	And put my gold on the table there.
64887	69548	Kevin looks like I came in at a wrong time.
69809	71769	That song, was that for In My Favor?
71789	73670	You guys put that on for me when I came in?
73850	74690	Not at all.
74970	77551	Did you talk to him at all?
78671	83593	Yeah, so, I'm gonna see you later, buddy.
83633	84313	Good to see you, Owen.
84433	84993	I'll talk to...
85213	86974	I think we all owe a full small word after this.
86994	87574	Yeah, yeah.
87754	91035	Well, I gotta talk, I gotta report to my captain, so...
92691	93512	I'm bailing from the bar.
93672	95474	Was that Gouge in the bar?
95655	97136	I have no idea who that guy was.
98258	100080	Why'd you let him take your friend out?
100120	100781	I'll see you later.
101021	101702	I'm out the bar.
101822	102443	I'm out the door.
102463	104165	Because I don't know what Gouge is going to be.
104185	105147	Okay, so you're going to leave.
105227	105868	What do you want to do?
106048	107350	I'll talk to Owen for a second.
107470	109352	Okay, so you go, and they'll talk.
113372	115593	That was a show.
115653	116853	Strange circumstances.
117293	117893	Absolutely.
117913	118593	Good to see you.
118613	119893	Hope your travels have been good.
120874	122534	Good to see you in one piece as well.
125295	126535	I mean, you know, how's it been?
127755	128335	It's been good.
128395	129015	Stay busy?
129095	129696	Absolutely.
129736	131036	Just got back from Red Shore.
131516	131876	Awesome.
131956	132696	Made quite a haul.
132736	136677	That's where all the merchants have been stuck by the Duke of Gradsall, by the way.
136737	140878	I was able to load up the skiff, make it back with quite a bit of food.
141729	142270	Have a drink.
142350	142830	It's full.
143772	145754	Not watered-down ale or anything like that.
145774	146134	Perfect.
146455	147696	Perfect.
147997	149879	Care if I join you for a drink really quick?
150099	150600	Not at all.
150960	151561	I'll buy you one.
152162	153383	I'd be all free anyway.
153403	154605	I appreciate it.
154845	158830	After a performance like that, I think I need to clear my mind a little bit.
160251	160892	Red Shore, you say?
160972	161232	Busy?
163062	164904	Oh, 50 merchant ships there.
166185	167086	They can't unload them.
167226	168327	They don't have the docks for it.
168747	170549	You've been to Red Shore, you know what it looks like.
170589	171970	It's a whaling town.
172210	172550	Of course.
172570	175913	They have a hard time unloading ships, I mean, fishing ships.
176554	178996	But merchant ships, they can't do it.
179016	180517	They're all there languishing.
181378	184901	Full of food that's rotting, full of goods that are not being sold.
186662	190546	Duke of Gradsul is making a mess of it.
