start	end	text
2527	19880	Evening of the Third of Wealsun, after the party returns to Monmurg on the Kosair, Gouge and Merrick are summoned to go and see Lord Jamis.
21282	25425	You actually hear the captain say, you're supposed to go see Lord Jamis so he can debrief you.
27907	41041	Jude and Paul make their way from the Royal Docks up the stairs towards the palace, leaving the two of you basically hanging out by yourself, just kind of going... Let's hit the bar.
41061	42262	No, we are hitting the bar.
42282	43063	We are hitting the bar.
45563	57848	Okay, so you walk out of the Royal District and the Royal docks back towards the Harbor District, which you're much more familiar with and comfortable with, right?
59549	67392	And actually the local barracks, the Marine barracks, seems to be happening.
67532	74715	There are a lot of people outside partying, and you haven't seen it this cherry in many, many weeks.
76228	77049	What do you guys want to do?
77069	79951	Well, I'm definitely...
80271	81092	These are all my men.
81112	83233	These are all my guys here, right?
83413	87536	Well, I guess a lot of my guys are still on the island, but I mean, I'm still... No, these are your guys.
87556	90598	Yeah, I'm familiar with... A lot of your guys died.
90799	95222	Yeah, but... Not your guys.
95422	101266	Yeah, but I mean, a lot of Marines died, but these guys are all still people I know, so let's go have a drink real quick before we hit the bar.
101326	101667	Agreed.
104642	109245	I'm assuming the occasion is us returning, but I'm just going to tap one guy on the shoulder.
109345	114808	One of the guys who's got a beer out in front, looking at the dogs, cheering, goes, Folsom!
115069	119071	I go, hey, it's a special occasion.
119291	121733	Tyrus, Owen Black came back today!
122904	123925	He was in Red Shore.
123965	124706	He smuggled.
125287	126889	He smuggled food back for us.
127389	133216	Well, he smuggled back food back for the city, but he was sure to give a couple of barrels of cider to his good friends.
133736	137160	These are not watered down, my boys, like they have been in the past weeks.
137661	139403	You can get a real drunk on with this stuff.
140004	140624	Right on.
140644	141846	Go get yourselves one.
143059	145122	I mean, gotta follow orders.
145523	148086	Holin' Black, I'm assuming, is a name I would know.
148527	149849	You know Owen, kind of.
150329	157360	He's actually, yeah, well, he's actually, he used to be a Marine, he's not anymore, but he knows the waters very well.
157400	159643	He's actually a relative of Merrick's.
159983	160703	Oh, okay.
160763	161964	In a way.
162344	163784	Is a bit of a pirate?
163804	166025	More of a smuggler.
166265	167045	Copy.
167145	171746	But, you know, he was a little too wild for the Marines.
171766	174907	He wasn't dishonorably discharged, but he just had bigger brains.
174967	176707	Yes, better to part ways.
176767	180028	Before I go and go get a beer, I tap the guy on the side.
180468	181528	Is Owen Black around here?
181548	182629	Is he still here?
182649	183689	At the bar!
184269	185890	Well, I would love to get a beer with him.
185910	187390	Let's go do it.
189746	195372	Okay, so you walk over, and Owen's basically sitting there telling tall tales.
196012	202799	He's got this splint on his left arm, as if he has hurt his arm in some way.
204300	206362	And you haven't seen Owen for a couple of months now.
206402	209646	In fact, I think it was wintertime when you last saw him and he was around.
212538	215621	It seems like he was kind of making himself scarce there for a bit.
216122	218724	You don't know why, but he's back to himself.
219205	225811	He's the more gregarious of him and Merrick.
226152	228994	Merrick is a little bit more serious, more duty-oriented.
230015	236262	Owen is more friendlier, more freer, with a smile and a joke and so on.
237614	239435	But he knows both of you, right?
240335	244838	So he's basically laughing at the ball when the two of you walk up.
247619	248039	What do you say?
249445	251987	Owen, long time no see, good to see ya.
252168	256091	He takes a drink and looks around and goes, Ah, Folsom, how are you, lad?
257012	257853	You're looking good.
257873	263558	And who's this giant next to you that just punches you in the arm?
263778	265780	I understand you're the one who's responsible for this.
266120	270404	Well, I am responsible for it, and you owe me greatly, especially in these dire times.
272145	274366	I definitely owe you well, for sure.
274546	278427	Not a good drink to be had in the Harbor District, if it were not for me.
278447	279208	No.
279788	281289	Well, we appreciate both.
281329	285470	How did you get past the Sahuagins coming in?
285870	290552	Well, to be honest with you, I didn't even know we were having trouble with them when I was going through the waters.
291172	291813	Where have you been?
291833	295734	A little bit here, a little bit there.
295754	297715	You know it's not good to ask me that question.
299286	300807	I understand, I understand.
301728	303209	Well, it's not a big secret.
304711	306893	Redshore is where all the ships are going, you know?
308014	310396	The ones being blockaded by the Duke of Gradsul.
311477	312198	It's a mess.
313119	313559	Oh, I bet.
313679	314820	It's a mess in the harbor.
314961	316042	Have you ever been to Redshore?
316442	316983	I have not.
317888	318829	I'm assuming my character hasn't.
319169	319809	No, never.
320450	321450	I haven't.
321851	323051	No, you never have either.
323191	324452	It's a whaling town.
324612	328395	A whaling town that has docks that are fit for nothing but fishing.
329535	340182	Trying to undock 50 ships there without any kind of dockmaster that knows what to do, a navigator that knows his way, running lights, shipping lanes, anything.
340242	340943	It's chaos.
341403	344005	There are ships, merchant ships, languishing.
345556	350159	In the harbor and the merchants are grumbling because they can't get any of their wares off.
351299	357643	I go in there with my little cutter, buy everything I can from the merchants unwittingly.
358063	361885	They give me great prices, load up my ship, come back.
363578	364978	I'm not charging you twice.
365659	367339	Only a 50% markup for you.
368960	371001	But in the marketplace, I make quite a bit of money.
371041	374802	I'm looking for foods, oils, things everybody needs in this town.
374842	378083	I'm doing my small bit for Monmurg.
378123	378763	How does it work?
379844	380344	No doubt.
380764	381324	No doubt.
384305	385725	And the money isn't bad either, I bet.
385786	386666	Money's not bad.
386706	387026	Yeah.
388767	390087	Well, this would be an interesting way.
390107	392768	I think there's an opportunity to get more
394038	395319	You looking for a job, Tyrus?
396460	398382	Well, I'm always looking for something.
399403	401405	An opportunity to help Monmurg, that's for sure.
401525	403527	Well, I thought you were a marine golden boy.
403887	406870	You wouldn't want to be running around with a smuggler now, would you?
406890	413556	If there's an opportunity to help Monmurg in this blockade is my biggest thing.
413796	414577	I fully agree.
415157	415758	Where's Merrick?
417285	417745	Who knows?
418145	419566	The brooding boy is off somewhere.
419586	420987	Probably hiding in a corner somewhere.
421047	427210	Well, to be honest with the two of you, I was actually looking for him because he knows these waters as well as anyone.
427270	428491	Better even than me, even.
428911	431432	Merrick is skilled at what he does.
431552	442658	Yeah, I'd say that he's the only one besides me that can make it through the Red Shore patrols and slip into the harbor of Red Shore and make the trades.
444012	446894	Well, are you going to be in town for a couple of days?
447835	454379	I'm going to be in town for a couple of days, yes, but I'm going to be making my way back to Red Shore in some time.
455740	463245	Well, we'll definitely be seeing him and maybe we can get to him together with you.
464326	465727	Find out something that he wants to do.
465927	466868	That sounds excellent.
467328	469590	Now, you wouldn't be talking to any authorities, would you?
471091	472492	No, I like my ale.
473286	475007	Yeah, there you are.
475567	482651	But maybe there's a big opportunity here to provide more supplies for Monmurg.
482671	483872	That's what I would be interested in.
483892	485993	The city of Monmurg is dying here.
486673	487754	Yeah, it seems dire.
487774	490075	It seems very dire.
490095	490655	For sure.
490836	495178	So if we could provide more supplies, that would be an opportunity.
495418	496759	I heard about Port Torvid.
497639	498300	Oh, what did you hear?
499160	500501	Well, it was burned to the ground.
502318	503899	That's why we're in dire straits here.
504199	514884	All the supplies from the yeomanry coming to the Prince of Alley, to the Monmurg, got destroyed by this person called the Toli Rat, the Scarlet Rat.
516964	518865	You haven't heard that rumor, have you?
518885	524208	Oh, I've heard something about it, but didn't know if there was any validity to it, the way rumors work.
524608	525888	I know the Scarlet Rat.
525928	526809	I've met him before.
528406	528806	Really?
528826	529326	Yeah.
529766	531707	Okay, you can see he's a little tipsy.
532447	536108	And what's your thoughts of him?
537008	540588	He's a fraud.
543589	543809	Really?
543849	544309	How so?
546670	553111	Well, I'm not saying, well, just between the two, three of us.
558448	566093	Two months ago, I was in Saltmarsh, smuggling weapons in and out of Saltmarsh.
568274	575959	And I had dealings with a certain Kane Tolley on this mission he was having.
576139	580462	I was acting sort of as a scout to make sure that there were no patrols in the area for him.
584955	588556	There was a certain sailor that worked for Kane Toli on his ship.
589236	591137	A gangly Toli rat.
594577	596698	Not much more than a cabin boy, as it were.
598919	608261	And then lo and behold, a couple of weeks later, this rat I find in Monmurg.
612987	617230	Not three or four doors down from where we are right now, in a bar.
617871	618751	And he attacks me.
621233	622434	He knows my face.
625817	638867	Come to find out, he's associated with some wizard called Lord Phranck, who I happen to know is affiliated with a nobleman of Keoland.
643263	651226	Local appointee in Saltmarsh, a new military commander called the Plar, glowing Baywin.
652767	654768	I had had actual dealings with Baywin.
654928	656568	Oh, excuse me.
657949	658389	See this?
659850	662511	He broke my arm.
663951	668653	Captured me and interrogated me in the Apple Yard Shell Keep.
674028	674849	You think I'm lying?
675870	676690	No, no, no.
676950	678131	I'm wondering how you made it out.
679072	680493	Well, that's the funny part of it.
681094	686298	There were a couple of bugbears that were captive down there as well, and a couple of hobgoblins also.
687759	693143	I think they were part of Toli's crew, or at least associated with them.
694004	694845	We broke out.
695959	707884	We managed to get advantage and face down one of Lord Baywin's guard dogs, a crazy dwarf from the Yoten Mountains.
708764	709524	And we escaped.
709765	711665	I was able to get a skiff and leave.
715270	716731	That's a pretty lucky turn of events.
717332	718512	No, tell me it was.
719193	720974	Anyway, we ran down the coast.
721655	724577	We were able to make ourselves the salt marsh and then on to Seaton.
724997	729060	And from there, it was just a couple of friends that I was able to hook up with.
729741	731882	They got me back to Monmurg and I got a new ship.
733664	733884	Wow.
734404	734744	Yes.
735905	736626	Quite the adventure.
737887	738928	Yeah, definitely lucky.
740749	741950	So then you decided to score some
748326	751488	Well, I had to make money to pay off the new skiff somehow.
751728	752249	That's true.
752409	754710	And Red Shore is definitely the best place to go now.
755411	755631	Yeah.
756391	758813	Well, I mean, that's where all the trade is.
758873	760514	That's where all the goods are.
761875	763136	And they aren't moving.
763556	765757	You can't find...nobody's buying.
766718	768139	Nobody can unload their goods.
768279	770020	If you have a ship and you're willing to go up...
771025	772546	Take what you can, you can get it.
773067	773767	Whatever you need.
774448	778110	I thought I had a map of the... That's not...
778571	782294	It doesn't have... That's got...
782554	784695	The marsh is kind of like up over here, isn't it?
785876	786797	There's Red Shore.
786817	788658	Oh, that's the Red Shore.
788718	789179	Okay, yeah.
789399	790520	Salt marsh is around here.
790740	791340	Oh, okay.
791360	792081	Salt marsh is there.
792121	793622	I thought it was more inland than there.
793642	794583	That's my mistake.
794683	794903	Okay.
796584	797845	So that's why he...
798065	798326	Okay.
802945	807526	So that's where everybody's going because of the blockade then, huh?
807546	808166	That makes sense.
811086	816127	We'll definitely have to think on this.
816467	818468	There's definitely an opportunity here to...
820968	822729	There are a lot of opportunities.
822849	827649	If you just leave the Marines and come and work for me, you can make quite a bit of coin.
830030	830450	You too.
832073	834636	To, of course, help the city of Monmurg.
835516	837278	Of course, to help the city of Monmurg.
837358	837759	Why not?
838439	840301	But, I mean, what was Monmurg founded on?
841923	842443	Smuggling.
843564	844185	Piracy.
845026	845526	Profit.
846147	847428	That's what we're about here.
848349	852493	So, of course, helping Monmurg is helping ourselves.
852874	854816	Are we not children of this town?
855732	856252	The city?
856673	857313	This is true.
857453	863177	And that's why we feel like we have a responsibility to see that it endures as much as we can.
863597	865938	This is the place that we make money.
866619	867319	We make coin.
869561	870201	Free trade.
871202	871922	Fantastic.
872002	874724	And commerce, as it were.
878066	880247	I'll have to let Merrick know.
880688	881228	What of you?
881848	883830	I've heard tale, rumors.
884740	886121	That the helm was in jeopardy.
888704	890686	That's what I've heard, that it's still in jeopardy.
892667	894309	Ah, you're not letting on something.
894389	894930	You were there.
895010	895410	I know it.
895790	896231	I heard.
898193	899574	Your platoon shipped out.
899754	901496	However, you return without them.
904780	908723	Yeah, there was quite a bit of... We narrowly escaped.
908743	912827	On a homemade skiff, as a matter of fact.
914408	922315	Overrun by... You haven't seen any sharks in the water lately, have you?
922335	922795	Yeah.
924477	926038	Actually, you're unaware of the sharks.
926258	929801	Well, I have to be honest with you, when I was coming into the bay,
930808	935449	This today, there were sahaugin in the water, and I was very surprised on it.
935689	936129	Really?
936329	936749	Really?
937049	942611	They attacked us, but there were not enough of them to overtake us.
942831	945971	My men were pretty handy with the blades, so we were able to survive.
948172	951092	We lost a man or two, but we got back to the bay.
953033	956153	I heard it was much worse on the helm.
956694	958234	I heard that they lost the ship.
959915	960696	When did you get in?
962156	962837	Noon, today.
