start	end	text
1255	4356	Okay, Third of Wealsun, as the battle begins.
4456	6737	Okay, guys, rollin' ash.
6937	13540	Pirate Scouts, tell me what you get.
13860	14080	16.
14180	15181	16 with your pluses?
15621	16361	No, I'm sorry.
16381	18402	7 plus 4 on initiative is 11.
19142	19342	18.
19462	19582	18.
19663	20203	With my pluses.
20543	20903	Okay.
22144	22584	Old of view.
22844	23224	16.
23964	24745	With my pluses.
24765	25005	16.
25025	25145	12.
25165	25325	12.
33169	36311	Eight, 12, Paul?
38252	39272	Four plus four, eight.
39612	40493	Eight, okay.
46115	48617	Okay, so, Tyrus, you get to start it.
48637	55340	All right, I am, I get to go 60 feet on this?
55500	57661	You can, if you want to dash, you can go 60 feet.
57681	59182	Okay, I can go 30 feet.
60537	61938	Yeah, still dash too.
62158	65820	So you go one, two, three, four, five, six.
65920	66960	That's 30 feet.
67200	68721	Okay.
68741	71782	And you see a man standing here.
72883	74124	Okay.
74164	75104	Good fucking hell.
75604	76285	Fucking hell.
77605	79566	Shield is up.
80026	80767	That's 30 feet.
81707	82087	Dash.
82468	83208	I'm gonna yell.
86509	89191	Now, you can dash or dodge.
89271	89491	Right.
91489	96713	I'm going to hold my dodge.
96853	98654	I'm going to go ahead and dodge if I can.
98694	102217	But I'm going to yell, we'll kill him if you don't give us safe passage.
102477	104859	Okay, we'll kill him if you don't give us safe passage.
105319	107060	You are dodging.
107701	109082	Do you want to use your bonus action?
110337	111178	No, not at this point.
111378	114001	Is his shield still shining bright?
114141	114842	It's lit up.
114902	116324	He becomes this giant target.
116344	117305	Nice.
118426	121750	You can use a bonus action to cast a smite.
122130	122370	Right.
122971	124633	And that smite lasts for 10 rounds.
127467	130028	Yeah, I'm not gonna, I'm gonna hold on to that just yet.
130048	136470	Because I can also use Divine Smite, if I hit somebody I can take a spell slot and use a Divine Smite.
136510	137350	You can do all of it.
137710	137930	Right.
138490	140211	So in other words... Do I take a Divine Smite and a Smite?
140611	148914	Well, you can have a Smite ready, hit somebody with a Divine Smite, and then next attack... What I'm trying to say is, if you want to do a Smite...
149774	151875	It's good to do it before you attack somebody.
151935	152155	Right.
152315	154316	Because you have one always locked and loaded.
154756	157557	But I could also use that if I don't use it.
157577	159077	It's there.
159517	163319	But then do I get that spell slot wasted if I don't use it?
163759	166880	If you don't use it for 10 rounds, that spell slot goes away.
167600	167860	Okay.
167940	171143	Yeah, so if you want to be conservative, you can definitely say I don't want to use it.
171503	175106	What I'm trying to say is if you think you're gonna use it, do it now.
175246	175746	Do it now.
176006	176226	Right.
176527	178368	But if you want to save it, that's fine.
178548	178828	Okay.
179009	180510	Okay, you go to there and you dodge.
183592	186834	Alright, next person in line, Merrick.
187235	191558	Okay, I'm all the way in the back, so I don't really know what I can do.
191978	192178	Jay.
194200	194440	Um...
196717	203067	And how much time has gone by since we've been in the, since the last battle with the Toli then?
203147	208074	I would say it's been about 30 minutes with all the talking that's gone on and the walking that's happened.
208094	210097	Okay, I think one of my spells is still active.
210157	211799	My Hunter's Mark is still active.
213221	214643	No, Hunter's Mark is not active.
214683	216105	What's active is Longstride.
216866	217126	Okay.
217266	218688	Which lasts eight hours.
218949	220070	So you move 40 feet.
220651	221011	Oh, cool.
221031	222133	Ninety.
222173	222673	Ninety feet.
222994	224276	I think I have 120.
224376	226458	Well, I draw my bow for sure.
226478	228621	Okay, bonus action, you take out your bow.
230924	235865	Can I see around them at all, or am I really just trapped behind there?
236805	237605	Countback from 90.
237645	248508	No, it's 90 feet from, okay, from here to... That's more.
248788	250688	You're in short range with your longbow.
251968	254409	So if you want to fire at that guy in the silhouette, you can do it.
254669	258790	Fuck it, we've all, I'm taking a shot.
261117	266061	Okay, so if you roll a one, you may hit one of your companions.
266462	266702	Yeah.
266722	267843	Fuck it.
268483	268984	Don't roll a one.
269004	271406	That's if I roll a one.
271446	271926	Right.
272026	272387	Hang on.
272427	272927	And the one.
273087	278912	And also, the rules are if the person you're shooting at cannot see you, you get an advantage on the shot.
279072	280253	So you get to roll two dice.
280754	280914	Right.
280934	281875	And you get the highest.
282135	282855	And you get the highest.
282875	283996	Oh, so he can't see me.
287560	289181	So you're firing from back here?
289341	289502	Yeah.
289522	290663	So you're definitely not getting one.
290803	291724	Unless you roll two ones.
292204	292925	Which would be awesome.
292945	294226	Which would be one in 400 chance.
294246	294506	Yeah.
294946	295547	Which happens.
295627	297509	I'm feeling pretty lucky.
299170	299671	One, one.
300191	301312	17 and 11.
301793	307358	Okay, so the 17, your arrow streaks out of the darkness and you hit the guy.
307718	308298	Roll damage.
309379	312002	One die eight plus three of just grabbing the arrow.
318320	320121	Four plus three is seven?
320221	320761	Seven.
321722	330566	Okay, so the arrow strikes out and you hit the guy for seven points of damage and you hear him yell out, under attack!
332186	335168	Okay, so that was Merrick.
336528	337929	Do you want to do anything else?
340110	342491	Do you want to move back this way or just hang out where you're at?
342951	345092	Did we go around the bend already?
347033	348094	There's a bend back here.
348295	349116	The bend's back.
349216	350497	It doesn't go bend out or anything?
350737	350938	No.
351018	353821	Okay, so there's no advantage point I can get right now.
353841	357045	So if there's no advantage point I can reach, I'm just gonna chill right here.
357345	357665	Okay.
359447	362671	The next one is Jude or Folsom?
362931	363572	I'll give it to Jude.
364713	365795	I am going to...
369522	370463	Am I 120 feet?
370583	374064	I'd like to see if I can firebolt the same guy that he just shot with the arrow.
374124	375285	Firebolt or ball?
375445	379347	Firebolt, not ball.
379707	381408	Firebolt is 120 feet.
386991	388832	You're not in range.
389052	391353	You're almost right out of range.
392374	393754	You'd have to move forward 20 feet.
394175	394415	Right.
394495	396576	Well, I don't mind doing that, but can I?
396676	398777	Or what's the role if I want to push forward?
399792	400974	You push somebody off the cliff.
402115	403076	Don't whoa, whoa, whoa.
403096	403997	Literally off the cliff?
404838	405239	Yeah.
405339	407482	Or they just have to make a save.
407642	410706	Dan, yo, whoa.
411186	411567	Whoa.
411627	412128	Whoa, dude.
412148	412909	Yeah, sure.
413029	414190	Whoa, dude, whoa, whoa.
414210	415912	They could be hanging on by their fingertips.
415932	417354	You guys thought I was the asshole.
421836	426359	Okay, I just yell, fucking move!
426439	427879	Okay, so you want to save your action.
427980	431201	I save an action and I say, get the fuck off the rails.
431241	432102	Move forward.
433022	434463	Attack.
434523	435704	It's not my initiative.
436124	437425	Okay, but you have your action saved.
438408	439569	And what is that safe going to be?
439889	442411	It's going to be, if I get in range, I'm going to fireball.
442551	447974	So if everybody moves forward and I'm allowed to move forward, I'll fireball.
448294	450676	If I see, can I say, can I divide it up?
450796	456639	If I see more than one person down there, I will fireball, which I'm 150 feet range, so I can do that.
456860	457140	Okay.
457680	459541	So if I can move forward, great.
459661	464845	If I can't move forward, then I'll fireball, but only if there's more than one dude there.
465105	465385	Okay.
466955	469197	Alright, um... Folsom.
470398	474462	Um... Get him under control, goddammit!
474482	480227	I'm going to grab... Lord Farron, and I'm gonna...
481798	484140	Are you going to sleeper hold him or are you going to hug him?
484500	490484	I'm going to hold on to him like this and I'm going to whip out my dagger and hold him like this just so.
490504	491044	Oh, okay.
491184	493226	So you're going to try and grapple?
493266	496948	I'm going to try and grapple him, yeah.
496968	497529	Okay.
497549	497629	Try?
497849	498790	Roll your grapple attack.
498810	499850	Did you let go of him?
501171	502552	Were you holding hands at them?
502572	503193	Fourteen.
504834	506175	It's an athletics check.
506195	506895	What's your athletics?
506915	508817	Athletics is plus three.
509277	509937	That's seventeen.
510097	510698	Seventeen.
516691	517852	That should be my hold.
518093	522897	If Lord Fairwind turns around, I throw his ass off and I, like, you know, let him go home.
523137	523838	Send him down to the
532519	536181	We'll get off the bridge!
536781	538622	Get off the bridge!
538722	543084	You might want to back up because I'm like, forward, forward, forward!
554572	556333	Okay, so you grab around him.
556594	556834	Yeah.
557074	558355	And put the dagger to his neck.
558375	558535	Yeah.
558735	561617	And what do you say to him?
561917	563018	I say, hey man, be chill.
563038	563879	Don't say anything.
564139	564519	Stop.
564659	565440	Don't say it.
565720	566220	Be chill.
566240	567301	Are you like a bird?
567521	568482	Are you a bird?
570475	573617	Be chill, man, be chill.
573777	579381	Can you yell at the men to maybe halt or to cease fire?
579441	582142	He's all, kill them all.
582182	585084	Tell him that arrow was an accident.
585264	588967	All right, so you have the dagger to tip Erwin's neck.
589087	589347	Yes.
589707	591048	Okay.
593649	594490	Next one is Gouge.
595651	596751	Never trust a body.
598914	599915	Move forward.
599955	602736	I pull a crossbow.
603937	604437	Bonus action.
604457	605258	Pull out your crossbow.
605478	605818	Load it.
606398	607359	You gotta move forward 30?
607439	609060	Yeah, I'll move.
609080	613643	While I'm doing that, I'll move forward.
613963	617305	Okay, so one, two, three, four, five, six.
617785	618085	There.
618285	620266	You move up behind Tyrus.
620887	624028	You see the guy in the darkness.
