start	end	text
1562	13291	Okay, so you go back to the... Yeah, and I'm moving and I'm looking for either like wet feet, like any kind of marks where if he climbed up the wall, got back into the bridge.
13311	18736	So you look for Fairfield as you walk back up the path that you've come.
19196	20377	All right.
20697	28604	Morning of the Third of Wealsun, Jude goes back up the path towards basically the castle.
31138	38421	All right, so you travel back to the stairway.
38521	41102	And nobody had hit the water before a certain point.
41142	44983	So as I backtrack, if I see dripping water on the floor, I'll know that was him.
45184	45484	Okay.
45744	48205	Along the path, you find no dripping water.
49045	49785	Nothing like that.
50786	53347	You make your way back to where the stair is.
54352	54972	What do you want to do?
55572	59873	Uh, start searching the lower levels, uh, looking for- The lower levels?
60433	64814	Well, by the lower levels I just mean like, um, I don't want to go up if I don't have to.
64834	67815	I want to see where like- So there's that- He said like there was barracks.
68055	69196	I know where the armory was.
69256	70116	Well, well, no, no, no.
70196	73877	There was that one room that takes the stairs up to the inner sanctum.
74297	78978	And that's where we were where we- And that's where when you fought the, um,
80098	81719	The Toli is where you were.
81880	82980	That was the inner sanctum.
83020	84762	Was there only one route?
84782	86163	There was no offshoots?
86523	87183	No offshoots.
87424	88444	Then I'll go ahead and go back up.
88464	93588	And then you go up to the top of that and that's where the inner sanctum is and the door is barred there.
94889	96350	So nobody can come in or out.
96730	97471	The door is barred?
98312	101434	When you guys went into the inner sanctum, you barred that door.
101714	103775	Well, but we would have barred it from the inside, right?
103816	104716	That's what I'm saying.
105417	106678	What I'm trying to say is...
108832	112674	The inner sanctum, where you are, was barred off when you left it.
113155	115816	So you can walk all the way up the stairs and get to that area.
115876	116956	Okay, so I do that.
117197	118117	Okay, you go up there.
118277	121779	And nobody's banging on the door to try to get in or anything like that?
121919	125121	Well, you come up there and you don't hear anybody banging on the door.
125821	128883	There's the dead body of the hobgoblin there that you had left.
129143	129403	Right.
130023	131444	Everything was as it was.
131884	133585	Okay.
133605	134486	The dead Toli guy?
135310	136051	You go in and check?
136231	136371	Yeah.
136411	136971	He's there too.
137612	137852	Okay.
138112	140775	No wet soaking footprints anywhere around?
140855	141635	Nothing like that.
147300	150983	I listen where we barred the door and I'll unbar it and go through.
152624	153805	So you want to look out there?
154026	154226	Yeah.
154846	156508	Hobgoblins all over that place.
157413	158393	Like, all over what place?
158894	169118	So, here's the door to the Inner Sanctum, and there's a little hallway, and this is the place, basically, that goes to the armory, that goes to the barracks.
169478	170318	They're hobgoblins.
170378	171899	Oh, the ones that we snuck by?
172079	172539	Exactly.
172559	173339	That's right.
173380	177901	They're all there, and you see them all there, and then one of them... No, I close it and bar it.
178141	178462	Okay.
178562	179982	I don't make eye contact.
180002	183884	I just be like... Because remember, I'm invisible, so I just...
184981	186522	Close it.
186962	189003	No wet footprints anywhere.
190163	191524	You see no wet footprints?
191904	192164	No.
192704	193065	Fucker.
193905	204990	He's either still down below or he swam his way out, which could mean he's on the ship with Kane Toli or he's talking to his troops on the outside.
205010	205090	Hmm.
211555	212175	Any other way.
212415	214136	I checked that big area.
214456	219259	There's no private staterooms, no other rooms that we didn't explore.
219439	224061	No, one side is basically a records station, a library, the other room is a council room.
224341	228483	Those are the only two areas that there are, besides the stairs that go down.
229243	232425	And you don't see any other exits or entrances.
232485	236046	This truly is closed off from the rest of the keep.
236066	239768	Right, like basically from kind of like the lord of the keeps.
240368	241968	It was the only way to get down.
242048	242529	Exactly.
243069	251091	Looking out the window in the inner sanctum where the council room is, you can actually look out over the island, right?
252071	259052	And the army that had attacked the night before, they're not attacking anymore.
260293	260653	Okay.
260753	262813	So, you know, they did their diversion.
263053	263534	It was done.
263554	263794	Yeah, right.
263814	264934	Who said don't waste guys.
265114	269455	In the other area where the library is, you actually can see that
271673	274414	The ship, the Sea Ghost.
274434	275194	Yeah, the Sea Ghost.
275574	276114	It's gone.
282736	283876	Would he have had time in 30?
283936	289597	Yeah, he would have had time in 30 minutes while we were moving the barrels to swim out from the cove.
290258	292718	Can I gauge to get to the Sea Ghost?
292738	293278	He could have done it.
293298	296719	There would have been sharks, but I mean, after the barrel, totally.
296739	297479	Yeah, right.
297519	299020	Especially after the barrel, right?
299040	300000	They would have all jetted.
301586	304588	So if the sea ghost is gone... Alright.
306690	307850	Anything cool in the library?
310692	312514	Histories, nothing magical.
313434	314755	I think there's some interesting stuff.
314775	315776	Anything on Suley's ship?
316296	316997	On Suel's stuff?
317137	317877	Not really.
318578	324662	Most of this stuff is kind of like maps, almanacs, trade routes.
325542	327484	Any recipes for the mix?
327944	328184	No.
328625	330066	Okay, that's super secret.
331007	335651	Alright, I leave it barricaded and I guess I work my way back.
335731	347462	So, unless the, since there's no threat, unless for some reason the hobgoblins think that they need to break in on the inner sanctum, so to speak,
348807	354251	Unless they decide to beat that door down, then there's no way that people can come down back at us, right?
354591	354791	No.
355091	355231	Okay.
355712	362897	On my way back, I just double check, make sure that there's no, you know, water on the floor leading to a secret spot in the wall, shit like that.
363097	363377	Sure.
363757	369662	The only place you really don't know is that, and this is right where the party is, that side tunnel.
370548	377457	With the bars that goes into the big area, the caverns, that Gouge looked at but hasn't gone to explore.
378358	379119	Can I check that?
379159	381082	Is that locked?
381242	386810	The gate's open, but I mean, if you want to, you can check right in with the guys there first, because they're right there.
388480	391043	But if I talk to them, will I break my invisibility?
391323	391523	Yeah.
391603	392644	Because I only get that now.
392684	395326	So I'm going to check that out.
395386	396547	If it's locked, then I can't.
397208	399269	If it is unlocked, then I'll check it.
399369	399930	It's unlocked.
400350	403293	You go through it and basically there are a lot of caverns back here.
404634	409218	And what you notice is back in this area there are these racks
410703	412784	Obviously where the barrels were.
413224	415245	Oh, like a lot more of the barrels, yeah.
415525	416346	Or they were.
416366	416806	Yeah.
416906	422569	Because the truth is, it seems like there would be tens of thousands of barrels that could be stored here.
422729	422969	Right.
423489	423769	Right?
424029	429532	So obviously this warehouse, you don't know what it was filled like beforehand.
429552	431273	Okay, no wet footprints on the floor.
431353	433214	No wet footprints on the floor at all.
433834	439297	However, after going through this area, which is a large area, you do find another tunnel that leads to
441327	447269	Another bar door, like the place before, that is closed and locked.
447789	448690	Like I can't get through it?
449850	450330	Exactly.
451150	455992	It's got a key, but it looks out onto a little cove and you can see the outside.
456072	457292	The sun is up by now.
457453	459193	The beach.
459373	460454	A little cove right now.
460634	464555	Can I see any footprints in the sand since the sun is up?
465666	468827	Like since I can see the cove?
469207	471208	If there's a little grill or a little opening.
473908	479950	Yeah, actually you do see some footprints on the sand, but that's it.
480811	481871	But like, okay.
481891	483371	Okay.
483391	483671	All right.
485892	486732	Is that it?
486972	487372	That's it.
487613	488053	All right.
488093	488673	We'll be right in.
