start	end	text
2052	11415	Early morning on the third of Wealsun as gouge.
11635	24419	So the party had just defeated a couple of Toli agents in the inner sanctum and are sitting there wondering what to do.
25840	28201	Lord Fairwind, who was
30080	39564	Either captured or acting captured has said some things, but it is not entirely clear what the next acts are.
40124	47687	So the party is going to be discussing this.
48328	51969	Can you ask Lord Freyrwen if he's involved in this?
53110	53810	Yeah, I can try.
55618	56399	I'm right here.
56799	58501	Gentlemen, I am not involved in this.
58982	59823	Whatever this is.
59843	60364	Shut up.
60384	62306	Well, what do you mean, whatever this is?
62607	64950	This is the seizure of the helm.
65671	66933	Yes, exactly.
68615	69236	Involved.
70743	71944	Dude, I've got it.
72064	75407	I go over to Gouge, I'll just turn my back.
75568	78230	I don't know if you've still got Charm on, so this is just to me.
78250	78871	Do I still have Charm?
78891	79732	Yeah, Charm is work.
79772	82915	Charm lasts for, I think, an hour or at least 10 minutes.
83075	84416	Here, I'll double check.
85897	86538	Gouge?
86658	87359	I'll look it up.
90363	92404	Can I talk to Fairwind one-on-one?
94584	97646	Do you want to ask these guys if you can talk to Fairwind one-on-one?
97686	98026	I mean...
98466	99326	So here's the deal.
99406	102967	If there are private conversations, we should go have them each individually.
103407	103808	With that?
104228	104908	Yes.
104928	105528	Just asking.
106288	113771	So I don't mind standing here because I don't mind if the group hears, but I wanted to talk to Gouge and we can do it on the record if you wanted.
113791	114931	I do want to do it on the record.
115211	116852	No, well, I know you do, but I mean...
117132	122215	I don't care if the other, I just need to say this aside so that Fairwind and the Toli got done here.
122496	125598	Okay, so we're gonna step aside if the group can hear this.
125658	125838	Yeah.
125898	127439	Okay.
127459	130401	So just so long as Fairwind and the Toli got done.
130421	133323	Okay, so basically you say, let's go over here.
134544	140348	I'll be right back.
148932	159676	Okay, Gouge, if we do decide to try to rush down, remember how he said that he had, his troops were, that they had been, they were imprisoned?
160376	165778	The garrison, there's about 100, 150 of his men minus whoever was killed that were imprisoned.
166758	174521	I think that he might try to call out to them, we need to get him the fuck off this rock without his troops knowing, okay?
174561	174781	Yeah.
174901	177522	Because I'm thinking, like, maybe you guys take the
185183	196368	We'll rally the troops, get them unlocked, say we haven't even seen the Baron we were looking for, I mean Lord Farrowind, and we'll try to coordinate with the troops on the outside to retake the helm.
197168	202090	You take the Toli fuck and you take Lord Farrowind back to Monmurg.
202751	206352	Yeah, I'd rather have the interrogation go to Jamis.
206672	207953	That's what I was thinking.
208193	210214	And the decisions.
210294	212095	Unless you were told to...
213613	215234	No, I'm just investigating.
215375	218097	Then it seems to me that they can get information.
218257	219838	We wouldn't be having this conversation.
219858	220599	Of course, of course.
220819	227464	Okay, so what I'm thinking is that as we go down, we're going to need to hood him and gag him so he can't call out to his troops.
227545	232709	But the problem is he's supposed to show us how to get to the lower level, the secret level.
233089	233429	So, yeah.
233730	235751	I don't know what's down there.
235771	237052	I don't know what's down there.
237072	238934	Do you know who's in support of the Tolis down there?
238954	240916	Because we don't want this guy talking.
241796	242117	I would...
243117	252328	I would bet that this place is garrisoned with those hobgoblin troops that are wearing and that the Tolis are probably trying to make a deal with Lord Fairwind and maybe he's agreed to it.
252348	254510	I don't know what Paul said or heard exactly.
257063	262884	We're gonna trust Paul, you're gonna take Lord Farrow, and I just wanna secret him off this island if we can take the boat.
263064	263804	If we can take the boat.
263824	275547	But if he calls out to his troops and they know that he's alive, it's gonna be harder because he's gonna be like, hey, help me, don't let them take me.
276067	280848	So we're riding this balance where he has to guide us, but if the
284406	286928	We need a guy to tell him to remain silent.
287248	289550	I don't know if that works with charm, but...
289590	289891	Okay.
290571	295735	What do you think about having Ty go down ahead dressed in the rust plate and everything?
296516	298958	Not to go into... Well, I mean, he can go ahead.
299018	300579	We just don't know where the secret passage is.
300599	305423	There's got to be a secret passage because this whole from the sea side, that's all secret.
305463	307005	So there's got to be some secret door.
